CODE,NAME
95AA,Antrim
95BB,Ards
95CC,Armagh
95DD,Ballymena
95EE,Ballymoney
95FF,Banbridge
95GG,Belfast
95HH,Carrickfergus
95II,Castlereagh
95JJ,Coleraine
95KK,Cookstown
95LL,Craigavon
95MM,Derry
95NN,Down
95OO,Dungannon
95PP,Fermanagh
95QQ,Larne
95RR,Limavady
95SS,Lisburn
95TT,Magherafelt
95UU,Moyle
95VV,Newry and Mourne
95WW,Newtownabbey
95XX,North Down
95YY,Omagh
95ZZ,Strabane
