GeographyCode,QS101NI0001,QS101NI0002,QS101NI0003
95AA01,4444,4290,154
95AA02,1734,1734,0
95AA03,1822,1822,0
95AA04,3013,3002,11
95AA05,2701,2654,47
95AA06,4647,4604,43
95AA07,2140,2119,21
95AA08,1698,1676,22
95AA09,2220,2143,77
95AA10,1953,1953,0
95AA11,5364,5129,235
95AA12,2775,2775,0
95AA13,3307,3268,39
95AA14,2349,2302,47
95AA15,4186,4102,84
95AA16,1807,1807,0
95AA17,2142,2142,0
95AA18,2439,2373,66
95AA19,2687,2645,42
95BB01,3609,3609,0
95BB02,2347,2334,13
95BB03,4219,4217,2
95BB04,3048,3009,39
95BB05,3401,3401,0
95BB06,2870,2870,0
95BB07,2953,2896,57
95BB08,2625,2625,0
95BB09,2943,2909,34
95BB10,3327,3278,49
95BB11,2955,2903,52
95BB12,2776,2776,0
95BB13,4444,4438,6
95BB14,3116,3088,28
95BB15,3489,3489,0
95BB16,3136,3133,3
95BB17,3556,3535,21
95BB18,4279,4212,67
95BB19,4788,4725,63
95BB20,3413,3368,45
95BB21,4719,4699,20
95BB22,3040,2993,47
95BB23,3025,2976,49
95CC01,2558,2376,182
95CC02,2725,2693,32
95CC03,2817,2791,26
95CC04,2440,2384,56
95CC05,2774,2749,25
95CC06,2776,2750,26
95CC07,3475,3475,0
95CC08,2565,2511,54
95CC09,3354,3323,31
95CC10,2577,2495,82
95CC11,1795,1787,8
95CC12,2785,2751,34
95CC13,2474,2474,0
95CC14,3035,3017,18
95CC15,2903,2893,10
95CC16,2820,2801,19
95CC17,2730,2724,6
95CC18,2342,2309,33
95CC19,2720,2720,0
95CC20,3010,2966,44
95CC21,2925,2925,0
95CC22,1740,1724,16
95DD01,2099,2031,68
95DD02,3888,3872,16
95DD03,3503,3474,29
95DD04,1926,1926,0
95DD05,1739,1739,0
95DD06,2588,2427,161
95DD07,3363,3363,0
95DD08,2126,2083,43
95DD09,2590,2572,18
95DD10,2805,2805,0
95DD11,2363,2363,0
95DD12,2610,2582,28
95DD13,1784,1743,41
95DD14,3277,3268,9
95DD15,3451,3451,0
95DD16,2981,2943,38
95DD17,3461,3461,0
95DD18,1885,1813,72
95DD19,3364,3315,49
95DD20,1746,1742,4
95DD21,2139,2130,9
95DD22,3136,3118,18
95DD23,2509,2490,19
95DD24,2711,2692,19
