GeographyCode,QS411NI0001,QS411NI0002,QS411NI0003
95LL07,1059,1059,0
95LL08,1397,1396,1
95LL09,1493,1493,0
95LL10,1803,1803,0
95LL11,1519,1519,0
95LL12,1520,1520,0
95LL13,1190,1190,0
95LL14,995,995,0
95LL15,1431,1430,1
95LL16,2370,2370,0
95LL17,1150,1150,0
95LL18,1423,1423,0
95LL19,1982,1982,0
95LL20,979,979,0
95LL21,1776,1776,0
95LL22,1482,1482,0
95LL23,1046,1046,0
95LL24,1389,1389,0
95LL25,1825,1825,0
95LL26,1624,1624,0
95MM01,1942,1942,0
95MM02,1167,1167,0
95MM03,1206,1206,0
95MM04,908,908,0
95MM05,1092,1091,1
95MM06,962,962,0
95MM07,1228,1228,0
95MM08,1300,1300,0
95MM09,1250,1250,0
95MM10,1010,1010,0
95MM11,860,860,0
95MM12,2036,2036,0
95MM13,3015,3015,0
95MM14,1292,1291,1
95MM15,1611,1611,0
95MM16,2138,2138,0
95MM17,1376,1376,0
95MM18,1795,1795,0
95MM19,1314,1314,0
95MM20,1516,1516,0
95MM21,1277,1277,0
95MM22,999,999,0
95MM23,1212,1210,2
95MM24,906,906,0
95MM25,2219,2219,0
95MM26,1068,1068,0
95MM27,1884,1882,2
95MM28,1234,1229,5
95MM29,1631,1631,0
95MM30,938,938,0
95NN01,1347,1347,0
95NN02,849,849,0
95NN03,1210,1210,0
95NN04,1233,1233,0
95NN05,1123,1123,0
95NN06,1299,1299,0
95NN07,1309,1309,0
95NN08,1252,1252,0
95NN09,1133,1132,1
95NN10,1513,1513,0
95NN11,1352,1352,0
95NN12,1309,1309,0
95NN13,1116,1116,0
95NN14,1394,1394,0
95NN15,1311,1311,0
95NN16,1172,1172,0
95NN17,1011,1011,0
95NN18,1107,1107,0
95NN19,1413,1413,0
95NN20,1143,1143,0
95NN21,1339,1338,1
95NN22,1146,1145,1
95NN23,1287,1287,0
95OO01,860,860,0
95OO02,800,800,0
95OO03,1022,1022,0
95OO04,932,932,0
95OO05,1068,1068,0
95OO06,992,992,0
95OO07,902,902,0
95OO08,926,926,0
95OO09,805,805,0
95OO10,1210,1210,0
95OO11,1024,1024,0
95OO12,1049,1049,0
95OO13,1017,1017,0
95OO14,909,909,0
95OO15,892,892,0
95OO16,911,911,0
95OO17,1026,1026,0
95OO18,1163,1163,0
95OO19,1128,1128,0
95OO20,887,887,0
95OO21,948,948,0
95OO22,1003,1003,0
95PP01,995,995,0
95PP02,1040,1040,0
95PP03,1190,1190,0
95PP04,1174,1174,0
95PP05,914,914,0
95PP06,1665,1665,0
95PP07,1092,1092,0
95PP08,1073,1073,0
95PP09,820,820,0
95PP10,847,847,0
95PP11,1098,1098,0
95PP12,964,964,0
95PP13,1122,1122,0
95PP14,1506,1506,0
95PP15,1151,1151,0
95PP16,766,766,0
95PP17,1105,1105,0
95PP18,1168,1168,0
95PP19,1030,1030,0
95PP20,1582,1582,0
95PP21,833,833,0
95PP22,1085,1084,1
95PP23,945,945,0
95QQ01,765,765,0
95QQ02,1095,1095,0
95QQ03,532,532,0
95QQ04,706,706,0
95QQ05,1176,1175,1
95QQ06,874,874,0
95QQ07,1031,1031,0
95QQ08,719,719,0
95QQ09,877,876,1
95QQ10,807,807,0
95QQ11,818,818,0
95QQ12,847,847,0
95QQ13,1141,1141,0
95QQ14,2143,2143,0
95QQ15,816,816,0
95RR01,1531,1531,0
95RR02,666,666,0
95RR03,655,655,0
95RR04,816,816,0
95RR05,988,988,0
95RR06,739,739,0
95RR07,878,878,0
95RR08,741,741,0
95RR09,1565,1565,0
95RR10,646,646,0
95RR11,682,682,0
95RR12,628,628,0
95RR13,699,699,0
95RR14,670,670,0
95RR15,825,825,0
95SS01,1735,1735,0
95SS02,1571,1571,0
95SS03,1231,1231,0
95SS04,3049,3049,0
95SS05,1504,1504,0
95SS06,2015,2015,0
95SS07,3579,3579,0
95SS08,1766,1766,0
95SS09,1402,1402,0
95SS10,1706,1706,0
95SS11,1965,1965,0
95SS12,1287,1286,1
95SS13,1447,1447,0
95SS14,1310,1310,0
95SS15,1615,1615,0
95SS16,1184,1184,0
95SS17,1831,1831,0
95SS18,1395,1395,0
95SS19,1290,1290,0
95SS20,1133,1133,0
95SS21,1715,1715,0
95SS22,1297,1297,0
95SS23,1591,1591,0
95SS24,2032,2032,0
95SS25,1163,1163,0
95SS26,1363,1363,0
95SS27,1249,1249,0
95SS28,1133,1133,0
95SS29,1093,1093,0
95SS30,1169,1168,1
95TT01,868,868,0
95TT02,909,909,0
95TT03,1228,1228,0
95TT04,1074,1074,0
95TT05,1168,1168,0
95TT06,920,920,0
95TT07,901,901,0
95TT08,880,880,0
95TT09,902,902,0
95TT10,1086,1086,0
95TT11,962,962,0
95TT12,936,936,0
95TT13,1123,1123,0
95TT14,858,858,0
95TT15,856,856,0
95TT16,895,895,0
95UU01,408,408,0
95UU02,576,576,0
95UU03,540,540,0
95UU04,530,530,0
95UU05,391,391,0
95UU06,670,669,1
95UU07,452,452,0
95UU08,573,573,0
95UU09,712,712,0
95UU10,538,538,0
95UU11,393,393,0
95UU12,658,658,0
95UU13,398,398,0
95UU14,772,772,0
95UU15,395,395,0
95VV01,1304,1304,0
95VV02,1015,1015,0
95VV03,1021,1021,0
95VV04,1125,1125,0
95VV05,1432,1432,0
95VV06,1205,1205,0
95VV07,1720,1720,0
95VV08,1120,1120,0
95VV09,1054,1054,0
95VV10,1216,1215,1
95VV11,1527,1527,0
95VV12,1201,1201,0
95VV13,1090,1090,0
95VV14,1327,1327,0
95VV15,1162,1162,0
95VV16,1101,1101,0
95VV17,1512,1512,0
95VV18,1455,1455,0
95VV19,1220,1220,0
95VV20,1048,1048,0
95VV21,1306,1306,0
95VV22,1034,1034,0
95VV23,1231,1231,0
95VV24,1368,1368,0
95VV25,1350,1350,0
95VV26,1240,1240,0
95VV27,928,928,0
95VV28,1379,1379,0
95VV29,1123,1123,0
95VV30,1126,1126,0
95WW01,1329,1329,0
95WW02,1589,1589,0
95WW03,1648,1648,0
95WW04,1112,1112,0
95WW05,1208,1208,0
95WW06,1269,1269,0
95WW07,1668,1668,0
95WW08,1065,1065,0
95WW09,1152,1152,0
95WW10,1197,1197,0
95WW11,1142,1142,0
95WW12,1151,1151,0
95WW13,1480,1480,0
95WW14,1091,1091,0
95WW15,1247,1247,0
95WW16,1307,1307,0
95WW17,1029,1029,0
95WW18,1044,1044,0
95WW19,2257,2257,0
95WW20,3184,3184,0
95WW21,1540,1540,0
95WW22,1249,1249,0
95WW23,1539,1539,0
95WW24,1649,1649,0
95WW25,1234,1234,0
95XX01,1878,1878,0
95XX02,1153,1153,0
95XX03,1080,1080,0
95XX04,1436,1436,0
95XX05,1321,1321,0
95XX06,1703,1703,0
95XX07,1347,1347,0
95XX08,1225,1224,1
95XX09,1325,1325,0
95XX10,1918,1918,0
95XX11,2685,2685,0
95XX12,1071,1071,0
95XX13,1262,1262,0
95XX14,1001,1001,0
95XX15,1253,1253,0
95XX16,1510,1510,0
95XX17,1636,1631,5
95XX18,1455,1454,1
95XX19,1177,1176,1
95XX20,1474,1474,0
95XX21,1282,1282,0
95XX22,1067,1067,0
95XX23,1525,1525,0
95XX24,1226,1226,0
95XX25,1138,1138,0
95YY01,918,918,0
95YY02,939,938,1
95YY03,1044,1044,0
95YY04,1334,1334,0
95YY05,844,844,0
95YY06,926,926,0
95YY07,960,960,0
95YY08,834,834,0
95YY09,1101,1101,0
95YY10,738,738,0
95YY11,901,901,0
95YY12,1002,1002,0
95YY13,1155,1155,0
95YY14,1200,1200,0
95YY15,980,979,1
95YY16,834,834,0
95YY17,800,800,0
95YY18,796,796,0
95YY19,782,782,0
95YY20,782,782,0
95YY21,843,843,0
95ZZ01,1040,1040,0
95ZZ02,780,780,0
95ZZ03,958,958,0
95ZZ04,953,953,0
95ZZ05,831,831,0
95ZZ06,826,826,0
95ZZ07,1051,1051,0
95ZZ08,1011,1011,0
95ZZ09,936,936,0
95ZZ10,1365,1365,0
95ZZ11,807,807,0
95ZZ12,920,920,0
95ZZ13,920,920,0
95ZZ14,1133,1133,0
95ZZ15,834,834,0
95ZZ16,1290,1290,0
