GeographyCode,QS213NI0001,QS213NI0002,QS213NI0003,QS213NI0004,QS213NI0005,QS213NI0006
95VV16,3000,55,10,6,4,55
95VV17,4128,67,20,18,13,70
95VV18,3522,339,68,83,40,347
95VV19,2831,211,62,67,27,217
95VV20,2863,149,44,39,21,158
95VV21,3819,121,39,41,22,126
95VV22,2695,120,28,34,17,127
95VV23,2762,86,21,21,11,89
95VV24,2968,71,26,33,22,75
95VV25,3588,40,13,11,6,41
95VV26,3369,114,35,32,20,116
95VV27,2205,52,19,18,11,55
95VV28,3370,65,20,17,11,70
95VV29,3187,172,30,48,18,180
95VV30,2868,98,15,16,8,100
95WW01,2692,211,55,72,41,222
95WW02,3701,581,168,162,72,604
95WW03,3451,470,129,131,69,491
95WW04,2735,219,60,62,34,228
95WW05,2651,188,44,58,33,195
95WW06,3029,590,171,190,85,611
95WW07,4094,551,146,145,67,574
95WW08,2455,160,43,44,20,165
95WW09,2458,224,55,69,32,227
95WW10,2806,175,62,67,38,182
95WW11,2970,124,31,33,18,129
95WW12,2316,173,63,63,46,181
95WW13,3522,648,172,160,77,671
95WW14,2160,133,59,48,32,151
95WW15,3171,136,41,41,23,143
95WW16,2837,141,40,49,28,155
95WW17,2181,196,55,54,33,208
95WW18,2147,180,38,47,29,183
95WW19,6005,518,96,126,52,526
95WW20,7849,458,115,127,54,468
95WW21,3366,213,71,70,44,227
95WW22,2871,217,41,50,22,219
95WW23,4771,377,66,84,40,405
95WW24,3333,143,44,48,29,146
95WW25,2007,132,38,40,25,133
95XX01,5103,303,52,79,30,316
95XX02,2580,214,41,55,15,222
95XX03,2626,210,48,63,27,224
95XX04,3562,232,43,68,35,250
95XX05,2552,244,57,72,38,249
95XX06,3580,246,45,72,29,256
95XX07,2761,256,36,67,24,263
95XX08,2533,180,25,36,16,185
95XX09,2728,244,45,53,28,250
95XX10,4652,292,61,78,39,308
95XX11,5896,394,82,99,53,413
95XX12,2492,200,34,48,21,200
95XX13,2689,234,43,65,20,244
95XX14,2413,186,25,41,10,189
95XX15,2367,192,25,30,14,199
95XX16,2939,301,58,77,32,311
95XX17,2900,224,61,68,37,245
95XX18,2917,181,52,62,34,189
95XX19,2605,220,32,58,18,231
95XX20,3255,215,44,47,29,225
95XX21,2778,269,51,69,27,276
95XX22,2136,178,47,45,24,189
95XX23,3001,211,49,62,25,222
95XX24,2632,207,40,66,28,224
95XX25,2371,183,55,62,32,190
95YY01,2389,209,43,61,22,221
95YY02,2213,106,33,32,23,112
95YY03,3003,163,32,30,18,167
95YY04,3316,71,25,25,20,73
95YY05,1634,86,22,31,15,90
95YY06,2282,57,10,13,7,59
95YY07,2774,113,23,26,12,116
95YY08,2136,116,19,21,9,120
95YY09,2249,193,34,42,13,201
95YY10,2090,170,24,34,12,178
95YY11,1971,66,15,15,8,69
95YY12,2711,204,70,68,41,212
95YY13,2692,97,17,20,11,98
95YY14,2966,86,17,23,13,87
95YY15,1898,67,20,25,18,70
95YY16,2304,130,29,29,15,137
95YY17,2243,73,12,23,13,83
95YY18,2256,88,13,10,6,88
95YY19,1438,66,21,17,9,72
95YY20,2238,39,4,4,2,41
95YY21,2317,104,24,28,14,108
95ZZ01,2660,258,58,57,36,264
95ZZ02,1762,61,11,13,6,62
95ZZ03,2027,104,33,43,25,110
