GeographyCode,QS110NI0001,QS110NI0002,QS110NI0003,QS110NI0004,QS110NI0005,QS110NI0006,QS110NI0007,QS110NI0008,QS110NI0009,QS110NI0010,QS110NI0011,QS110NI0012,QS110NI0013,QS110NI0014,QS110NI0015,QS110NI0016,QS110NI0017,QS110NI0018,QS110NI0019,QS110NI0020,QS110NI0021,QS110NI0022,QS110NI0023,QS110NI0024,QS110NI0025,QS110NI0026,QS110NI0027
95AA01,4290,296,94,202,3628,142,2990,512,617,1493,368,2,199,88,36,63,12,295,64,111,120,366,78,136,6,2,144
95AA02,1734,346,155,191,1246,106,720,186,116,214,204,0,153,68,43,33,9,267,67,107,93,142,44,29,0,2,67
95AA03,1822,323,123,200,1357,108,671,138,136,265,132,0,168,62,39,64,3,410,111,180,119,142,40,28,0,2,72
95AA04,3002,171,73,98,2468,154,1981,282,319,936,444,0,150,36,41,60,13,183,39,54,90,363,93,142,2,10,116
95AA05,2654,192,88,104,2252,138,1738,182,266,846,444,0,130,34,31,43,22,246,88,76,82,210,83,53,0,10,64
95AA06,4604,356,159,197,3876,147,2787,282,477,1597,431,2,269,72,53,130,14,671,166,386,119,372,115,158,0,7,92
95AA07,2119,201,73,128,1726,138,1195,216,166,502,311,0,147,48,39,53,7,246,55,104,87,192,57,57,0,16,62
95AA08,1676,215,67,148,1287,96,615,100,119,185,211,0,158,36,45,62,15,418,109,198,111,174,38,58,0,4,74
95AA09,2143,307,87,220,1655,116,868,192,159,289,228,0,194,58,51,60,25,477,149,235,93,181,70,28,0,7,76
95AA10,1953,199,64,135,1579,138,886,188,136,334,228,0,146,34,28,69,15,409,96,191,122,175,72,42,0,8,53
95AA11,5129,487,159,328,4132,232,2975,524,607,1428,416,2,438,168,105,138,27,485,137,212,136,510,154,124,3,8,221
95AA12,2775,180,92,88,2354,130,1946,306,401,918,321,2,111,48,22,31,10,165,31,75,59,241,48,99,0,14,80
95AA13,3268,326,125,201,2658,144,1779,258,311,850,360,0,270,62,82,111,15,465,123,215,127,284,59,86,0,8,131
95AA14,2302,130,80,50,1951,116,1589,270,288,667,364,0,54,20,6,22,6,192,30,85,77,221,57,86,0,14,64
95AA15,4102,395,78,317,3315,100,2096,386,444,937,329,0,418,152,114,140,12,701,216,339,146,392,113,90,0,3,186
95AA16,1807,318,91,227,1333,116,721,144,150,291,136,0,174,60,54,49,11,322,83,142,97,156,33,26,0,2,95
95AA17,2142,237,71,166,1721,88,1022,192,146,405,279,0,192,42,55,78,17,419,137,171,111,184,55,71,3,0,55
95AA18,2373,257,121,136,1930,290,1321,346,133,556,286,2,139,66,24,46,3,178,50,68,60,186,64,24,4,8,86
95AA19,2645,157,66,91,2240,80,1729,118,357,899,355,2,54,18,6,30,0,375,67,165,143,248,85,88,0,12,63
95BB01,3609,270,107,163,3070,196,2328,350,472,1030,476,2,211,56,39,62,54,333,88,146,99,269,78,43,0,7,141
95BB02,2334,438,202,236,1672,217,894,214,203,278,199,2,163,66,35,54,8,396,121,104,171,224,28,32,0,20,144
95BB03,4217,477,251,226,3399,376,2186,490,396,901,399,4,360,154,63,128,15,473,163,168,142,341,73,81,0,15,172
95BB04,3009,349,176,173,2447,374,1641,424,287,508,422,2,150,54,35,40,21,280,83,88,109,213,47,62,0,17,87
95BB05,3401,282,134,148,2857,268,2103,454,333,835,481,2,212,72,27,93,20,272,96,77,99,262,50,88,0,13,111
95BB06,2870,680,296,384,1908,184,931,296,158,258,219,9,253,146,60,27,20,531,207,156,168,282,39,62,0,19,162
95BB07,2896,431,210,221,2338,242,1338,326,260,477,275,0,285,114,80,65,26,473,173,145,155,127,23,36,0,2,66
95BB08,2625,279,130,149,2162,156,1539,304,268,602,365,0,150,58,38,44,10,317,88,110,119,184,37,71,0,14,62
95BB09,2909,340,141,199,2392,236,1715,436,343,556,380,4,173,92,27,40,14,264,95,46,123,177,39,41,0,5,92
95BB10,3278,515,247,268,2553,362,1674,456,304,565,349,0,201,92,50,43,16,316,106,118,92,210,39,57,0,16,98
95BB11,2903,477,235,242,2294,288,1368,298,290,460,320,4,172,58,35,62,17,462,140,158,164,132,25,38,0,20,49
95BB12,2776,291,125,166,2267,214,1321,252,275,499,295,0,236,72,65,77,22,496,145,217,134,218,59,76,0,12,71
95BB13,4438,323,110,213,3884,278,2653,504,515,1139,495,7,313,124,55,97,37,633,200,301,132,231,57,83,0,7,84
95BB14,3088,259,131,128,2597,254,1939,358,289,838,454,2,167,74,30,60,3,235,51,90,94,232,61,57,0,12,102
95BB15,3489,301,128,173,2912,178,2086,326,369,1003,388,0,216,68,68,66,14,432,132,146,154,276,49,87,0,21,119
95BB16,3133,225,111,114,2658,274,2076,416,385,834,441,0,121,30,15,57,19,187,31,70,86,250,45,69,0,18,118
95BB17,3535,335,115,220,2930,158,1922,406,326,855,335,0,286,96,73,111,6,564,174,248,142,270,74,92,0,4,100
95BB18,4212,372,146,226,3517,282,2457,486,417,1129,425,3,321,116,60,115,30,454,106,234,114,323,89,80,0,17,137
95BB19,4725,301,116,185,4137,186,3196,584,607,1406,599,0,274,96,70,88,20,481,147,189,145,287,67,114,0,6,100
95BB20,3368,369,158,211,2730,176,1976,270,380,837,489,0,158,54,43,49,12,420,66,198,156,269,61,92,0,23,93
95BB21,4699,440,197,243,3876,296,2864,556,544,1289,475,0,265,106,49,93,17,451,170,159,122,383,83,145,0,2,153
95BB22,2993,320,68,252,2482,104,1403,240,242,676,245,2,270,90,37,131,12,703,234,328,141,191,56,46,0,4,85
95BB23,2976,236,106,130,2566,270,1909,424,316,660,509,4,118,38,25,52,3,265,67,75,123,174,46,80,2,4,42
95CC01,2376,234,92,142,1851,84,1174,130,276,507,261,0,112,54,30,25,3,481,158,157,166,291,74,81,0,5,131
95CC02,2693,171,83,88,2288,108,1823,176,286,884,477,0,139,34,44,57,4,218,30,79,109,234,60,67,0,27,80
95CC03,2791,367,145,222,1976,62,1007,132,177,442,256,0,213,72,61,80,0,694,204,348,142,448,100,156,0,20,172
95CC04,2384,177,94,83,2026,94,1566,116,241,815,394,0,87,26,35,26,0,279,39,113,127,181,48,67,0,8,58
95CC05,2749,227,114,113,2271,116,1759,190,290,945,334,0,79,38,9,32,0,317,63,122,132,251,52,71,0,25,103
95CC06,2750,301,123,178,2276,166,1596,274,286,700,336,0,151,70,9,69,3,363,118,137,108,173,55,62,0,4,52
95CC07,3475,227,99,128,2876,90,2223,188,329,1243,463,0,125,32,27,60,6,438,121,195,122,372,107,143,0,8,114
95CC08,2511,286,120,166,2016,116,1259,106,259,591,303,0,151,54,45,49,3,490,220,143,127,209,61,35,0,20,93
95CC09,3323,235,95,140,2876,178,2280,350,327,1094,509,0,142,66,33,36,7,276,70,92,114,212,19,93,2,6,92
95CC10,2495,186,80,106,2058,184,1554,220,265,662,407,0,109,32,22,52,3,211,38,63,110,251,40,84,0,14,113
95CC11,1787,290,112,178,1327,104,813,140,181,263,229,0,66,36,12,15,3,344,94,141,109,170,38,20,0,8,104
95CC12,2751,175,76,99,2360,126,1901,166,291,1012,432,0,60,18,15,27,0,273,65,108,100,216,46,85,0,8,77
95CC13,2474,168,65,103,2073,100,1692,188,246,839,419,0,47,26,17,4,0,234,37,79,118,233,40,110,0,13,70
95CC14,3017,249,119,130,2640,172,1969,340,309,922,398,0,150,68,37,42,3,349,70,165,114,128,31,33,0,3,61
95CC15,2893,213,98,115,2469,122,1899,200,311,986,402,0,130,50,30,41,9,318,89,96,133,211,58,69,0,12,72
95CC16,2801,302,158,144,2332,152,1683,220,312,829,322,0,139,44,46,42,7,358,131,135,92,167,47,33,0,27,60
95CC17,2724,178,78,100,2312,108,1868,174,348,894,452,0,87,24,29,31,3,249,47,92,110,234,67,80,0,5,82
95CC18,2309,284,138,146,1825,148,1227,160,196,546,325,0,146,50,44,30,22,304,105,79,120,200,53,52,6,6,83
95CC19,2720,242,124,118,2269,118,1803,246,249,957,351,0,84,20,29,26,9,264,64,99,101,209,65,39,0,4,101
95CC20,2966,275,114,161,2490,136,1862,320,335,833,374,0,189,60,52,71,6,303,79,133,91,201,65,49,0,3,84
95CC21,2925,307,119,188,2463,182,1705,336,285,741,343,0,197,72,36,78,11,379,114,141,124,155,53,15,0,6,81
95CC22,1724,370,166,204,1208,104,664,142,134,231,157,0,112,42,40,24,6,328,103,86,139,146,26,22,0,4,94
