GeographyCode,QS409NI0001,QS409NI0002,QS409NI0003,QS409NI0004,QS409NI0005
95AA01,4290,2378,1830,71,11
95AA02,1734,966,719,39,10
95AA03,1822,957,789,70,6
95AA04,3002,1836,1097,60,9
95AA05,2654,1387,1150,82,35
95AA06,4604,1846,2562,162,34
95AA07,2119,1233,832,46,8
95AA08,1676,787,830,54,5
95AA09,2143,1125,968,46,4
95AA10,1953,1084,815,54,0
95AA11,5129,2691,2373,47,18
95AA12,2775,1910,828,28,9
95AA13,3268,1639,1511,89,29
95AA14,2302,1411,832,49,10
95AA15,4102,1841,2088,143,30
95AA16,1807,877,858,65,7
95AA17,2142,971,1076,86,9
95AA18,2373,1719,607,42,5
95AA19,2645,1108,1315,188,34
95BB01,3609,1945,1612,48,4
95BB02,2334,1472,804,52,6
95BB03,4217,2496,1626,74,21
95BB04,3009,2127,850,17,15
95BB05,3401,2113,1219,51,18
95BB06,2870,1707,1099,50,14
95BB07,2896,1731,1091,64,10
95BB08,2625,1210,1336,68,11
95BB09,2909,1838,1017,41,13
95BB10,3278,2371,807,68,32
95BB11,2903,1745,1112,34,12
95BB12,2776,1614,1055,85,22
95BB13,4438,2255,2034,116,33
95BB14,3088,2029,1018,41,0
95BB15,3489,1804,1587,66,32
95BB16,3133,2159,935,35,4
95BB17,3535,1702,1732,77,24
95BB18,4212,2452,1686,68,6
95BB19,4725,2401,2238,65,21
95BB20,3368,1509,1714,131,14
95BB21,4699,2500,2093,101,5
95BB22,2993,1312,1548,109,24
95BB23,2976,1775,1155,39,7
95CC01,2376,1075,1152,132,17
95CC02,2693,1237,1310,124,22
95CC03,2791,1129,1407,175,80
95CC04,2384,1002,1253,116,13
95CC05,2749,1357,1245,121,26
95CC06,2750,1555,1120,66,9
95CC07,3475,1499,1851,97,28
95CC08,2511,1175,1234,86,16
95CC09,3323,1930,1327,66,0
95CC10,2495,1533,922,36,4
95CC11,1787,928,770,81,8
95CC12,2751,1325,1327,81,18
95CC13,2474,1228,1083,147,16
95CC14,3017,1631,1343,31,12
95CC15,2893,1491,1287,82,33
95CC16,2801,1477,1273,42,9
95CC17,2724,1318,1344,30,32
95CC18,2309,1521,690,58,40
95CC19,2720,1459,1186,60,15
95CC20,2966,1557,1324,75,10
95CC21,2925,1656,1211,44,14
95CC22,1724,1015,641,50,18
95DD01,2031,1403,619,0,9
95DD02,3872,2222,1611,33,6
95DD03,3474,2344,1090,18,22
95DD04,1926,967,881,62,16
95DD05,1739,714,888,125,12
95DD06,2427,1521,846,51,9
95DD07,3363,2134,1183,29,17
95DD08,2083,1147,814,98,24
95DD09,2572,1750,793,27,2
95DD10,2805,1563,1140,79,23
95DD11,2363,1024,1177,103,59
95DD12,2582,1517,999,66,0
95DD13,1743,871,766,85,21
95DD14,3268,2024,1168,69,7
95DD15,3451,1779,1581,76,15
95DD16,2943,1799,1096,40,8
95DD17,3461,1957,1443,46,15
95DD18,1813,1155,603,43,12
95DD19,3315,1862,1400,34,19
95DD20,1742,926,731,72,13
95DD21,2130,1177,865,64,24
95DD22,3118,1759,1229,105,25
95DD23,2490,1617,845,15,13
95DD24,2692,1336,1240,99,17
95EE01,1895,766,1028,70,31
95EE02,2095,1160,861,68,6
95EE03,1983,1068,861,43,11
95EE04,1990,924,1007,51,8
95EE05,1497,905,553,31,8
95EE06,2278,817,1291,149,21
95EE07,1798,968,785,40,5
95EE08,1633,1055,538,40,0
95EE09,1859,869,914,58,18
95EE10,1797,726,960,90,21
95EE11,1677,852,780,29,16
95EE12,2500,1324,1083,74,19
95EE13,1529,986,506,29,8
95EE14,2684,1520,1084,75,5
95EE15,1728,881,778,64,5
95EE16,2111,1052,943,97,19
95FF01,4753,2892,1801,56,4
95FF02,2817,1307,1403,103,4
95FF03,3006,1441,1453,94,18
95FF04,2629,1513,1063,53,0
95FF05,2563,1484,1015,62,2
95FF06,4054,2215,1762,51,26
95FF07,2763,1259,1403,91,10
95FF08,2328,1316,995,17,0
95FF09,2521,1292,1126,85,18
95FF10,3473,1924,1456,64,29
95FF11,2582,1403,1101,70,8
95FF12,2721,1463,1211,39,8
95FF13,2708,1536,1072,82,18
95FF14,2413,1668,721,22,2
95FF15,2680,1312,1267,88,13
95FF16,2317,1491,785,30,11
95FF17,1717,970,689,51,7
95GG01,4845,2303,2298,191,53
95GG02,5987,2443,3081,387,76
95GG03,5857,3752,1944,94,67
95GG04,4908,2261,2356,241,50
95GG05,5892,3303,2325,193,71
95GG06,5567,2844,2462,200,61
95GG07,5467,2173,2804,376,114
95GG08,4910,2517,2171,173,49
95GG09,6055,3364,2480,167,44
95GG10,3997,2128,1627,211,31
95GG11,5389,3264,1874,139,112
95GG12,8726,2944,4937,576,269
95GG13,4697,2627,1926,114,30
95GG14,4820,2670,2086,46,18
95GG15,5690,3602,1989,65,34
95GG16,5366,2857,2313,134,62
95GG17,5330,2500,2584,180,66
95GG18,4975,2037,2467,412,59
95GG19,4524,2262,2043,178,41
95GG20,4792,2325,2157,176,134
95GG21,5079,2093,2560,334,92
95GG22,5290,2474,2547,233,36
95GG23,4499,2632,1764,85,18
95GG24,4364,2427,1751,137,49
95GG25,5527,2347,2816,273,91
95GG26,3675,1780,1746,138,11
95GG27,6406,2455,3467,369,115
95GG28,5635,2680,2767,165,23
95GG29,5004,2363,2341,241,59
95GG30,4827,2802,1926,80,19
95GG31,6519,2767,3460,203,89
95GG32,6391,2958,3112,233,88
95GG33,5452,3665,1688,63,36
95GG34,4866,2505,2246,88,27
95GG35,4869,2209,2338,246,76
95GG36,5619,3099,2389,107,24
95GG37,5891,3543,2228,86,34
95GG38,6379,3817,2426,92,44
95GG39,7172,3291,3233,447,201
95GG40,3705,1884,1636,141,44
95GG41,5272,3681,1545,26,20
95GG42,6592,3711,2709,96,76
95GG43,4783,2690,1971,101,21
95GG44,5591,2632,2502,379,78
95GG45,4817,2806,1860,113,38
95GG46,5204,1849,2883,363,109
95GG47,5764,2871,2513,255,125
95GG48,5601,1739,3163,561,138
95GG49,8036,3513,3647,538,338
95GG50,5445,2826,2288,259,72
95GG51,4073,2303,1613,144,13
95HH01,1981,1247,717,17,0
95HH02,2962,1763,1159,24,16
95HH03,1663,1104,521,24,14
95HH04,3067,1764,1288,15,0
95HH05,2171,1003,1110,56,2
95HH06,4788,2726,2003,52,7
95HH07,1493,907,562,24,0
95HH08,2553,1674,831,36,12
95HH09,2543,1626,849,60,8
95HH10,2488,1723,746,17,2
95HH11,1366,709,639,12,6
95HH12,1552,784,712,56,0
95HH13,1407,686,677,34,10
95HH14,1530,896,598,32,4
95HH15,2585,1510,1011,56,8
95HH16,2159,1481,656,20,2
95HH17,2477,1378,1050,44,5
95II01,3066,1950,1090,22,4
95II02,4600,2828,1690,65,17
95II03,3523,1846,1566,92,19
95II04,4245,2119,1995,107,24
95II05,3412,1791,1484,97,40
95II06,3398,1752,1552,64,30
95II07,2077,1072,887,99,19
95II08,2417,1220,1128,59,10
95II09,3347,1810,1453,67,17
95II10,2592,1326,1181,80,5
95II11,2555,1561,957,28,9
95II12,2481,1481,961,22,17
95II13,2701,1549,1036,101,15
95II14,2521,1565,944,12,0
95II15,3357,2007,1243,93,14
95II16,2126,1094,984,48,0
95II17,2493,1637,840,16,0
95II18,2226,1189,977,39,21
95II19,3765,2264,1425,68,8
95II20,2743,1572,1086,74,11
95II21,2419,1127,1212,75,5
95II22,2248,1384,820,37,7
95II23,2190,1184,958,38,10
95JJ01,2495,1491,911,73,20
95JJ02,2367,1478,836,31,22
95JJ03,2470,1085,1250,114,21
95JJ04,3111,1876,1194,41,0
95JJ05,1775,1055,627,55,38
95JJ06,2432,1099,1204,110,19
95JJ07,2596,1191,1314,67,24
