GeographyCode,QS207NI0001,QS207NI0002,QS207NI0003,QS207NI0004,QS207NI0005,QS207NI0006,QS207NI0007,QS207NI0008,QS207NI0009,QS207NI0010,QS207NI0011,QS207NI0012,QS207NI0013,QS207NI0014,QS207NI0015,QS207NI0016,QS207NI0017,QS207NI0018,QS207NI0019,QS207NI0020,QS207NI0021
95AA01,4444,4302,4116,722,105,3255,34,0,45,0,2,139,133,6,56,31,33,0,3,19,0
95AA02,1734,1708,1619,89,21,1505,4,0,23,0,1,65,64,1,3,9,9,0,1,4,0
95AA03,1822,1790,1720,65,19,1632,4,0,23,0,0,47,45,2,11,15,3,0,0,3,0
95AA04,3013,2979,2919,113,12,2791,3,0,40,0,1,19,10,9,7,8,13,0,1,5,0
95AA05,2701,2662,2586,90,14,2477,5,0,28,0,0,48,47,1,11,5,13,1,0,9,0
95AA06,4647,4594,4492,165,21,4296,9,1,59,0,1,42,41,1,12,14,21,0,1,5,0
95AA07,2140,2123,2055,77,21,1956,1,0,15,0,0,53,52,1,3,3,3,1,0,7,0
95AA08,1698,1677,1580,88,25,1465,2,0,19,0,0,78,71,7,7,11,1,0,0,2,0
95AA09,2220,2140,2025,101,24,1898,2,0,37,0,0,78,77,1,6,68,4,0,0,2,0
95AA10,1953,1918,1842,101,16,1721,4,0,24,0,2,50,49,1,11,21,0,0,0,3,0
95AA11,5364,5211,4837,308,80,4438,11,0,58,0,2,314,305,9,14,104,12,0,3,20,0
95AA12,2775,2753,2706,105,12,2582,6,1,33,0,1,13,12,1,6,8,6,0,0,2,0
95AA13,3307,3271,3055,127,29,2895,4,0,48,0,2,166,163,3,3,14,14,0,2,3,0
95AA14,2349,2322,2292,83,22,2185,2,0,23,0,0,7,7,0,2,10,9,0,0,6,0
95AA15,4186,3966,3592,210,44,3328,10,0,36,0,1,337,331,6,19,184,8,0,1,8,0
95AA16,1807,1773,1618,92,31,1490,5,0,16,0,0,139,135,4,10,19,3,0,0,2,0
95AA17,2142,2101,1994,114,21,1857,2,0,28,0,0,79,77,2,7,26,3,0,3,2,0
95AA18,2439,2376,2310,85,23,2201,1,0,37,0,1,28,27,1,16,33,7,2,1,4,0
95AA19,2687,2660,2601,38,12,2551,0,0,34,0,0,25,25,0,1,14,10,0,0,2,0
95BB01,3609,3570,3524,98,39,3384,3,0,24,0,0,22,20,2,11,6,10,2,4,6,0
95BB02,2347,2326,2229,74,24,2122,9,0,40,0,4,53,49,4,4,13,1,0,2,1,0
95BB03,4219,4179,4098,239,64,3784,11,0,38,0,0,43,41,2,6,13,13,0,1,7,0
95BB04,3048,3011,2932,129,21,2777,5,0,39,0,0,40,32,8,3,22,11,0,0,1,0
