GeographyCode,QS404NI0001,QS404NI0002,QS404NI0003,QS404NI0004,QS404NI0005,QS404NI0006,QS404NI0007
95AA01,252,222,1,3,0,14,12
95AA02,273,178,0,55,2,18,20
95AA03,231,145,0,64,5,9,8
95AA04,229,208,2,0,0,10,9
95AA05,216,176,1,13,0,12,14
95AA06,304,199,5,35,37,9,19
95AA07,209,168,0,15,1,13,12
95AA08,162,118,1,26,0,6,11
95AA09,207,136,0,57,0,4,10
95AA10,193,132,1,41,3,9,7
95AA11,374,285,2,21,19,28,19
95AA12,230,185,0,13,3,11,18
95AA13,276,176,2,22,32,25,19
95AA14,219,201,0,1,1,8,8
95AA15,192,128,2,44,0,8,10
95AA16,199,135,0,43,0,4,17
95AA17,161,122,2,17,4,6,10
95AA18,344,313,0,1,0,12,18
95AA19,193,153,0,16,1,11,12
95BB01,280,233,0,23,0,6,18
95BB02,410,222,0,74,61,24,29
95BB03,574,438,1,68,15,29,23
95BB04,472,367,1,45,17,18,24
95BB05,371,306,0,32,2,16,15
95BB06,488,207,1,111,96,51,22
95BB07,413,244,0,41,76,23,29
95BB08,282,157,0,89,0,9,27
95BB09,346,288,0,6,9,33,10
95BB10,537,392,2,50,41,33,19
95BB11,477,347,1,67,20,20,22
95BB12,318,241,1,49,2,10,15
95BB13,358,286,0,46,4,4,18
95BB14,354,330,0,4,0,9,11
95BB15,324,239,0,36,0,29,20
95BB16,355,319,1,6,0,25,4
95BB17,273,219,5,28,1,13,7
95BB18,407,323,2,39,12,17,14
95BB19,288,245,0,22,0,15,6
95BB20,356,234,3,44,9,35,31
95BB21,469,381,0,36,1,35,16
95BB22,181,107,0,59,1,5,9
95BB23,326,316,4,0,0,2,4
95CC01,200,151,0,28,0,13,8
95CC02,235,202,0,7,0,12,14
95CC03,261,117,2,61,37,34,10
95CC04,219,184,0,11,0,6,18
95CC05,273,233,0,15,1,11,13
95CC06,280,246,1,10,1,13,9
95CC07,230,188,0,8,14,11,9
95CC08,236,161,1,37,8,16,13
95CC09,277,239,0,7,0,15,16
95CC10,266,227,0,11,0,14,14
95CC11,232,158,2,29,0,22,21
95CC12,235,212,0,8,0,4,11
95CC13,194,164,0,12,1,8,9
95CC14,278,231,0,15,0,18,14
95CC15,266,213,3,17,0,16,17
95CC16,306,216,2,40,5,15,28
95CC17,217,191,0,2,0,10,14
95CC18,288,217,0,40,8,6,17
95CC19,268,213,0,19,1,16,19
95CC20,240,192,1,23,12,3,9
95CC21,296,238,1,31,1,13,12
95CC22,275,169,0,58,11,15,22
95DD01,320,288,0,7,0,15,10
95DD02,337,237,0,38,19,21,22
95DD03,373,329,0,5,0,20,19
95DD04,232,99,0,80,29,8,16
95DD05,121,67,2,43,1,4,4
95DD06,323,299,1,1,0,8,14
95DD07,483,327,3,57,30,34,32
95DD08,333,176,0,49,53,30,25
95DD09,274,233,0,8,0,19,14
95DD10,375,238,1,69,34,13,20
95DD11,175,78,1,38,36,12,10
95DD12,252,215,0,4,0,12,21
95DD13,218,161,0,29,4,14,10
95DD14,321,271,4,15,2,16,13
95DD15,258,221,1,8,1,12,15
95DD16,253,223,0,2,0,16,12
