GeographyCode,QS412NI0001,QS412NI0002,QS412NI0003,QS412NI0004
95AA01,154,144,5,5
95AA02,0,0,0,0
95AA03,0,0,0,0
95AA04,11,3,2,6
95AA05,47,46,0,1
95AA06,43,43,0,0
95AA07,21,21,0,0
95AA08,22,21,0,1
95AA09,77,77,0,0
95AA10,0,0,0,0
95AA11,235,229,5,1
95AA12,0,0,0,0
95AA13,39,39,0,0
95AA14,47,47,0,0
95AA15,84,78,6,0
95AA16,0,0,0,0
95AA17,0,0,0,0
95AA18,66,64,2,0
95AA19,42,42,0,0
95BB01,0,0,0,0
95BB02,13,8,1,4
95BB03,2,0,2,0
95BB04,39,33,0,6
95BB05,0,0,0,0
95BB06,0,0,0,0
95BB07,57,48,0,9
95BB08,0,0,0,0
95BB09,34,30,0,4
95BB10,49,43,1,5
95BB11,52,42,0,10
95BB12,0,0,0,0
95BB13,6,6,0,0
95BB14,28,21,0,7
95BB15,0,0,0,0
95BB16,3,3,0,0
95BB17,21,21,0,0
95BB18,67,60,0,7
95BB19,63,54,0,9
95BB20,45,45,0,0
95BB21,20,19,0,1
95BB22,47,40,0,7
95BB23,49,43,0,6
95CC01,182,182,0,0
95CC02,32,32,0,0
95CC03,26,25,1,0
95CC04,56,47,2,7
95CC05,25,25,0,0
95CC06,26,26,0,0
95CC07,0,0,0,0
95CC08,54,52,0,2
95CC09,31,31,0,0
95CC10,82,82,0,0
95CC11,8,8,0,0
95CC12,34,30,4,0
95CC13,0,0,0,0
95CC14,18,14,0,4
95CC15,10,10,0,0
95CC16,19,19,0,0
95CC17,6,6,0,0
95CC18,33,31,0,2
95CC19,0,0,0,0
95CC20,44,44,0,0
95CC21,0,0,0,0
95CC22,16,15,1,0
95DD01,68,49,1,18
95DD02,16,16,0,0
95DD03,29,28,0,1
95DD04,0,0,0,0
95DD05,0,0,0,0
95DD06,161,148,0,13
95DD07,0,0,0,0
95DD08,43,43,0,0
95DD09,18,12,0,6
95DD10,0,0,0,0
95DD11,0,0,0,0
95DD12,28,25,0,3
95DD13,41,38,0,3
95DD14,9,8,1,0
95DD15,0,0,0,0
95DD16,38,34,0,4
95DD17,0,0,0,0
95DD18,72,67,0,5
95DD19,49,47,0,2
95DD20,4,4,0,0
95DD21,9,8,0,1
95DD22,18,18,0,0
95DD23,19,18,0,1
95DD24,19,18,0,1
95EE01,0,0,0,0
95EE02,0,0,0,0
95EE03,16,16,0,0
95EE04,3,3,0,0
95EE05,12,12,0,0
95EE06,0,0,0,0
95EE07,0,0,0,0
95EE08,86,82,0,4
95EE09,31,28,0,3
95EE10,0,0,0,0
95EE11,0,0,0,0
95EE12,7,7,0,0
95EE13,0,0,0,0
95EE14,0,0,0,0
95EE15,0,0,0,0
95EE16,15,12,0,3
95FF01,43,38,0,5
95FF02,0,0,0,0
95FF03,0,0,0,0
95FF04,0,0,0,0
95FF05,0,0,0,0
95FF06,62,60,0,2
95FF07,6,6,0,0
95FF08,36,25,2,9
95FF09,1,1,0,0
95FF10,0,0,0,0
95FF11,0,0,0,0
95FF12,3,3,0,0
95FF13,0,0,0,0
95FF14,19,17,0,2
95FF15,60,60,0,0
95FF16,57,57,0,0
95FF17,7,7,0,0
95GG01,62,53,0,9
95GG02,0,0,0,0
95GG03,82,78,0,4
95GG04,0,0,0,0
95GG05,36,36,0,0
95GG06,59,59,0,0
95GG07,18,18,0,0
95GG08,0,0,0,0
95GG09,110,94,0,16
95GG10,1,1,0,0
95GG11,64,62,0,2
