GeographyCode,QS603NI0001,QS603NI0002,QS603NI0003,QS603NI0004
95AA01,220,74,23,123
95AA02,71,31,9,31
95AA03,68,21,8,39
95AA04,231,88,18,125
95AA05,169,61,9,99
95AA06,356,124,39,193
95AA07,105,33,10,62
95AA08,82,23,16,43
95AA09,117,38,10,69
95AA10,111,44,16,51
95AA11,253,100,26,127
95AA12,202,58,7,137
95AA13,183,56,14,113
95AA14,149,61,9,79
95AA15,212,84,25,103
95AA16,85,36,1,48
95AA17,116,34,9,73
95AA18,135,53,2,80
95AA19,196,51,10,135
95BB01,227,77,10,140
95BB02,125,41,14,70
95BB03,178,42,14,122
95BB04,160,44,13,103
95BB05,156,54,7,95
95BB06,133,39,17,77
95BB07,142,49,12,81
95BB08,121,39,8,74
95BB09,163,66,7,90
95BB10,154,46,4,104
95BB11,152,49,12,91
95BB12,151,43,11,97
95BB13,282,90,33,159
95BB14,195,55,8,132
95BB15,213,61,25,127
95BB16,190,56,6,128
95BB17,175,53,12,110
95BB18,185,57,10,118
95BB19,296,109,28,159
95BB20,205,52,8,145
95BB21,236,75,15,146
95BB22,140,36,15,89
95BB23,185,64,12,109
95CC01,174,48,14,112
95CC02,212,62,15,135
95CC03,172,40,8,124
95CC04,186,52,6,128
95CC05,189,41,23,125
95CC06,157,36,18,103
95CC07,257,52,14,191
95CC08,175,31,14,130
95CC09,196,50,8,138
95CC10,169,52,7,110
95CC11,98,16,6,76
95CC12,206,59,11,136
95CC13,177,56,7,114
95CC14,151,46,11,94
95CC15,197,44,12,141
95CC16,177,63,5,109
95CC17,202,52,16,134
95CC18,146,30,6,110
95CC19,164,47,5,112
95CC20,164,38,6,120
95CC21,145,53,4,88
95CC22,98,27,7,64
95DD01,103,31,1,71
95DD02,204,61,16,127
95DD03,172,50,19,103
95DD04,101,27,21,53
95DD05,99,32,7,60
95DD06,146,46,7,93
95DD07,160,46,11,103
95DD08,91,24,12,55
95DD09,150,38,10,102
95DD10,140,50,10,80
95DD11,124,33,4,87
95DD12,169,48,15,106
95DD13,73,16,5,52
95DD14,197,57,16,124
95DD15,198,52,9,137
95DD16,165,56,11,98
95DD17,240,68,17,155
95DD18,64,26,3,35
95DD19,186,58,11,117
95DD20,67,19,9,39
95DD21,113,40,11,62
95DD22,200,50,6,144
95DD23,152,55,1,96
95DD24,170,53,21,96
95EE01,137,13,13,111
95EE02,109,34,10,65
95EE03,110,24,8,78
95EE04,133,28,8,97
95EE05,91,15,6,70
95EE06,199,28,13,158
95EE07,91,15,3,73
95EE08,89,14,6,69
95EE09,143,29,1,113
95EE10,100,24,4,72
95EE11,113,25,2,86
95EE12,158,37,18,103
95EE13,77,14,5,58
95EE14,158,31,10,117
95EE15,107,18,2,87
95EE16,129,28,4,97
95FF01,295,98,14,183
95FF02,171,62,6,103
95FF03,169,62,14,93
95FF04,175,45,10,120
95FF05,115,22,6,87
95FF06,196,51,13,132
95FF07,141,30,14,97
95FF08,157,52,7,98
95FF09,139,39,6,94
95FF10,195,48,14,133
95FF11,144,38,9,97
95FF12,177,63,13,101
95FF13,156,52,9,95
95FF14,122,40,9,73
95FF15,144,31,11,102
95FF16,130,39,8,83
95FF17,75,22,2,51
95GG01,357,107,36,214
95GG02,446,107,51,288
95GG03,324,107,19,198
95GG04,299,76,29,194
95GG05,407,175,36,196
95GG06,369,125,24,220
95GG07,408,130,52,226
95GG08,290,79,23,188
95GG09,342,116,17,209
95GG10,366,156,19,191
95GG11,244,77,17,150
95GG12,3835,1862,265,1708
95GG13,277,88,31,158
95GG14,409,138,19,252
95GG15,302,85,17,200
95GG16,387,109,33,245
95GG17,369,109,24,236
95GG18,321,90,27,204
95GG19,232,60,28,144
95GG20,300,99,30,171
95GG21,356,97,26,233
95GG22,396,127,48,221
95GG23,331,125,34,172
95GG24,255,101,15,139
95GG25,490,164,53,273
95GG26,202,58,19,125
95GG27,548,175,53,320
95GG28,308,94,21,193
95GG29,220,73,14,133
95GG30,295,111,10,174
95GG31,563,173,57,333
95GG32,407,121,26,260
95GG33,502,138,13,351
95GG34,376,126,38,212
95GG35,287,98,30,159
95GG36,280,98,19,163
95GG37,337,118,23,196
95GG38,434,151,17,266
95GG39,731,293,59,379
95GG40,201,52,23,126
95GG41,386,94,14,278
95GG42,2847,1150,256,1441
95GG43,226,94,5,127
95GG44,313,117,29,167
95GG45,327,85,28,214
95GG46,440,118,59,263
95GG47,423,121,45,257
95GG48,465,104,41,320
95GG49,3011,1185,168,1658
95GG50,279,95,26,158
95GG51,190,59,14,117
95HH01,108,26,5,77
95HH02,239,82,22,135
95HH03,73,21,9,43
95HH04,240,86,22,132
95HH05,123,33,13,77
95HH06,347,108,34,205
95HH07,74,18,7,49
95HH08,185,72,13,100
95HH09,103,34,4,65
95HH10,158,56,10,92
95HH11,47,20,2,25
95HH12,56,13,6,37
95HH13,55,13,8,34
95HH14,69,19,12,38
95HH15,212,89,16,107
95HH16,132,32,9,91
95HH17,188,58,25,105
95II01,204,71,4,129
95II02,325,100,22,203
95II03,279,102,9,168
95II04,244,99,26,119
95II05,292,112,15,165
95II06,243,77,9,157
95II07,105,31,13,61
95II08,134,51,7,76
95II09,181,65,10,106
95II10,168,64,13,91
95II11,152,43,10,99
95II12,162,49,8,105
95II13,130,45,15,70
95II14,152,50,9,93
95II15,210,62,21,127
95II16,115,37,14,64
95II17,125,38,12,75
95II18,110,34,15,61
95II19,296,110,21,165
95II20,160,62,5,93
95II21,119,42,7,70
95II22,112,42,9,61
95II23,164,64,7,93
95JJ01,142,33,8,101
95JJ02,157,46,4,107
95JJ03,145,47,20,78
95JJ04,160,45,9,106
95JJ05,100,25,13,62
95JJ06,129,30,14,85
95JJ07,157,38,16,103
95JJ08,535,231,52,252
95JJ09,102,38,0,64
95JJ10,137,34,12,91
95JJ11,267,51,28,188
95JJ12,141,32,2,107
95JJ13,269,65,19,185
95JJ14,125,45,9,71
95JJ15,79,18,1,60
95JJ16,128,47,13,68
95JJ17,152,37,7,108
95JJ18,112,28,4,80
95JJ19,797,394,41,362
95JJ20,284,70,39,175
95JJ21,816,314,114,388
95JJ22,209,45,23,141
95KK01,187,29,12,146
95KK02,116,33,7,76
95KK03,168,39,21,108
95KK04,227,45,21,161
95KK05,228,61,10,157
95KK06,131,28,14,89
95KK07,118,29,5,84
95KK08,137,33,1,103
95KK09,108,28,12,68
95KK10,169,58,9,102
95KK11,129,37,8,84
95KK12,181,39,10,132
95KK13,179,64,7,108
95KK14,183,40,8,135
95KK15,212,54,7,151
95KK16,150,41,17,92
95LL01,362,121,28,213
95LL02,127,35,10,82
95LL03,125,25,14,86
95LL04,198,52,13,133
95LL05,298,106,21,171
95LL06,187,53,19,115
95LL07,91,20,10,61
95LL08,208,60,17,131
95LL09,189,55,20,114
95LL10,471,169,31,271
95LL11,257,81,18,158
95LL12,274,71,26,177
95LL13,174,45,19,110
95LL14,212,66,21,125
95LL15,175,49,9,117
95LL16,364,103,22,239
95LL17,134,47,5,82
95LL18,188,54,7,127
95LL19,331,101,16,214
95LL20,152,55,17,80
95LL21,184,53,18,113
95LL22,253,93,25,135
95LL23,91,24,3,64
95LL24,211,49,3,159
95LL25,273,79,25,169
95LL26,313,108,18,187
95MM01,272,59,20,193
95MM02,280,74,22,184
95MM03,219,47,10,162
95MM04,159,42,13,104
95MM05,222,59,19,144
95MM06,192,47,17,128
95MM07,138,42,15,81
95MM08,211,47,18,146
95MM09,242,65,13,164
95MM10,285,57,29,199
95MM11,206,49,32,125
95MM12,614,149,66,399
95MM13,733,183,84,466
95MM14,149,36,7,106
95MM15,338,68,39,231
95MM16,393,102,38,253
95MM17,374,112,40,222
95MM18,376,105,45,226
95MM19,182,54,15,113
95MM20,176,36,26,114
95MM21,245,70,19,156
95MM22,200,48,19,133
95MM23,230,65,16,149
95MM24,226,55,23,148
95MM25,556,128,64,364
95MM26,323,94,38,191
95MM27,926,334,127,465
95MM28,172,40,17,115
95MM29,214,54,26,134
95MM30,155,26,14,115
95NN01,183,45,3,135
95NN02,141,46,7,88
95NN03,143,44,18,81
95NN04,173,51,15,107
95NN05,138,44,8,86
95NN06,242,76,5,161
95NN07,238,71,21,146
95NN08,239,70,13,156
95NN09,203,51,9,143
95NN10,220,64,16,140
95NN11,298,98,13,187
95NN12,157,51,16,90
95NN13,195,72,14,109
95NN14,222,89,2,131
95NN15,171,43,11,117
95NN16,230,66,13,151
95NN17,132,31,14,87
95NN18,189,54,15,120
95NN19,237,54,20,163
95NN20,205,73,14,118
95NN21,174,63,13,98
95NN22,188,63,13,112
95NN23,256,74,14,168
95OO01,181,41,7,133
95OO02,176,37,9,130
95OO03,154,37,7,110
95OO04,162,37,9,116
95OO05,143,32,12,99
95OO06,176,47,12,117
95OO07,172,55,8,109
95OO08,202,60,10,132
95OO09,153,40,14,99
95OO10,241,53,14,174
95OO11,180,50,13,117
95OO12,184,46,6,132
95OO13,167,56,7,104
95OO14,199,45,11,143
95OO15,156,51,10,95
95OO16,99,35,3,61
95OO17,150,46,10,94
95OO18,166,40,4,122
95OO19,199,43,17,139
95OO20,111,39,10,62
95OO21,169,56,10,103
95OO22,297,72,15,210
95PP01,170,58,7,105
95PP02,163,30,12,121
95PP03,168,33,10,125
95PP04,189,55,3,131
95PP05,141,37,10,94
95PP06,229,54,19,156
95PP07,160,37,14,109
95PP08,139,32,3,104
95PP09,84,22,9,53
95PP10,175,37,6,132
95PP11,158,39,11,108
95PP12,182,55,4,123
95PP13,128,38,2,88
95PP14,209,63,8,138
95PP15,213,55,8,150
95PP16,124,30,9,85
95PP17,152,45,10,97
95PP18,215,49,8,158
95PP19,163,39,4,120
95PP20,170,46,13,111
95PP21,127,31,6,90
95PP22,129,39,2,88
95PP23,148,42,7,99
95QQ01,65,16,3,46
95QQ02,160,63,10,87
95QQ03,36,4,2,30
95QQ04,89,27,2,60
95QQ05,164,58,16,90
95QQ06,121,34,4,83
95QQ07,92,33,10,49
95QQ08,76,17,8,51
95QQ09,100,30,8,62
95QQ10,103,31,4,68
95QQ11,113,38,5,70
95QQ12,94,31,10,53
95QQ13,138,41,12,85
95QQ14,285,100,19,166
95QQ15,71,29,1,41
95RR01,321,77,22,222
95RR02,130,36,10,84
95RR03,106,10,11,85
95RR04,172,27,6,139
95RR05,190,45,10,135
95RR06,170,34,9,127
95RR07,185,30,12,143
95RR08,132,31,6,95
95RR09,241,63,23,155
95RR10,81,6,11,64
95RR11,114,22,4,88
95RR12,91,15,6,70
95RR13,68,6,5,57
95RR14,143,30,8,105
95RR15,194,31,9,154
95SS01,278,80,17,181
95SS02,328,120,17,191
95SS03,241,83,13,145
95SS04,470,169,27,274
95SS05,169,61,10,98
95SS06,598,130,53,415
95SS07,629,194,51,384
95SS08,296,76,15,205
95SS09,215,52,15,148
95SS10,444,161,21,262
95SS11,396,149,40,207
95SS12,205,53,20,132
95SS13,152,38,14,100
95SS14,155,34,13,108
95SS15,234,70,4,160
95SS16,290,90,27,173
95SS17,221,61,18,142
95SS18,159,49,13,97
95SS19,145,46,7,92
95SS20,152,49,9,94
95SS21,263,105,17,141
95SS22,193,70,11,112
95SS23,195,65,8,122
95SS24,275,95,12,168
95SS25,156,39,12,105
95SS26,315,99,29,187
95SS27,186,48,22,116
95SS28,137,50,12,75
95SS29,205,42,22,141
95SS30,202,75,22,105
95TT01,217,61,6,150
95TT02,204,44,6,154
95TT03,201,56,8,137
95TT04,190,39,9,142
95TT05,238,68,9,161
95TT06,170,42,6,122
95TT07,215,62,5,148
95TT08,219,53,13,153
95TT09,207,40,8,159
95TT10,198,45,8,145
95TT11,228,43,4,181
95TT12,158,31,8,119
95TT13,215,55,13,147
95TT14,150,46,11,93
95TT15,168,36,6,126
95TT16,229,52,5,172
95UU01,55,13,2,40
95UU02,35,13,2,20
95UU03,44,13,0,31
95UU04,31,4,0,27
95UU05,59,10,7,42
95UU06,123,20,4,99
95UU07,39,11,5,23
95UU08,61,14,1,46
95UU09,121,28,4,89
95UU10,86,26,2,58
95UU11,80,24,2,54
95UU12,77,14,7,56
95UU13,56,12,2,42
95UU14,102,14,0,88
95UU15,53,11,1,41
95VV01,162,41,15,106
95VV02,118,32,10,76
95VV03,152,51,13,88
95VV04,188,49,8,131
95VV05,338,99,18,221
95VV06,251,82,24,145
95VV07,335,93,18,224
95VV08,211,32,9,170
95VV09,193,46,22,125
95VV10,224,50,28,146
95VV11,339,111,24,204
95VV12,208,73,11,124
95VV13,238,80,10,148
95VV14,206,63,20,123
95VV15,251,69,21,161
95VV16,242,70,7,165
95VV17,326,97,29,200
95VV18,208,50,4,154
95VV19,161,44,9,108
95VV20,169,46,8,115
95VV21,267,90,12,165
95VV22,182,43,11,128
95VV23,198,40,7,151
95VV24,183,45,7,131
95VV25,251,62,5,184
95VV26,236,56,12,168
95VV27,114,39,7,68
95VV28,234,80,18,136
95VV29,215,64,18,133
95VV30,227,81,24,122
95WW01,166,51,11,104
95WW02,230,82,17,131
95WW03,163,60,9,94
95WW04,169,57,25,87
95WW05,156,63,11,82
95WW06,175,48,10,117
95WW07,254,85,16,153
95WW08,149,45,9,95
95WW09,131,46,21,64
95WW10,160,57,12,91
95WW11,270,107,19,144
