GeographyCode,QS406NI0001,QS406NI0002,QS406NI0003,QS406NI0004,QS406NI0005,QS406NI0006,QS406NI0007,QS406NI0008,QS406NI0009,QS406NI0010
95AA01,1522,1,9,56,120,261,359,264,174,278
95AA02,839,3,28,96,157,345,132,40,21,17
95AA03,845,3,17,66,164,411,131,22,15,16
95AA04,1014,1,1,20,43,155,167,153,180,294
95AA05,920,3,5,32,57,220,187,163,118,135
95AA06,1570,9,19,79,157,495,325,206,174,106
95AA07,820,0,7,25,107,237,122,92,94,136
95AA08,699,0,3,63,25,361,163,45,21,18
95AA09,943,1,5,64,92,495,101,56,71,58
95AA10,792,0,3,58,54,321,196,65,46,49
95AA11,1993,4,26,89,189,626,457,269,185,148
95AA12,971,3,1,16,55,127,152,136,174,307
95AA13,1239,4,48,97,117,372,210,149,112,130
95AA14,779,0,6,14,49,91,146,130,127,216
95AA15,1595,2,13,116,192,587,367,203,82,33
95AA16,832,2,2,77,102,488,105,32,12,12
95AA17,855,1,10,37,57,445,188,67,31,19
95AA18,1004,0,6,45,89,176,173,175,119,221
95AA19,832,0,16,40,71,194,146,129,111,125
95BB01,1307,1,8,46,94,316,321,186,146,189
95BB02,1126,2,62,115,218,296,246,80,43,64
95BB03,1776,2,22,74,288,627,354,152,129,128
95BB04,1307,3,14,54,197,330,211,139,144,215
95BB05,1318,1,10,44,154,325,229,170,143,242
95BB06,1518,8,81,270,484,420,176,41,24,14
95BB07,1315,3,45,115,286,424,197,95,75,75
95BB08,1068,3,24,35,198,466,216,70,34,22
95BB09,1253,3,8,77,200,354,241,159,108,103
95BB10,1509,5,46,128,283,261,183,170,151,282
95BB11,1338,5,16,71,284,459,286,106,73,38
95BB12,1130,4,18,54,171,318,213,124,106,122
95BB13,1687,3,11,71,220,614,324,164,144,136
95BB14,1172,1,16,15,86,189,214,191,176,284
95BB15,1287,1,9,35,139,416,240,164,112,171
95BB16,1176,1,5,15,85,203,202,149,177,339
95BB17,1399,1,6,71,165,611,251,128,72,94
95BB18,1638,2,8,76,151,454,344,227,193,183
95BB19,1724,0,6,35,87,552,503,277,162,102
95BB20,1290,6,25,84,156,464,213,153,81,108
95BB21,1821,0,12,54,229,626,311,255,177,157
95BB22,1194,3,14,80,202,526,203,82,47,37
95BB23,1161,1,1,11,33,345,278,250,144,98
95CC01,904,5,12,49,90,379,171,89,57,52
95CC02,875,2,8,18,51,187,175,152,117,165
95CC03,1127,7,48,114,149,477,168,98,39,27
95CC04,790,1,3,31,45,206,171,138,95,100
95CC05,954,3,13,19,76,260,195,119,121,148
95CC06,1096,0,3,19,99,328,292,168,106,81
95CC07,1108,4,3,37,73,215,249,186,150,191
95CC08,990,5,24,36,153,411,175,79,61,46
95CC09,1190,0,1,19,39,316,244,179,174,218
95CC10,901,0,1,10,50,197,171,129,156,187
95CC11,786,4,19,43,135,296,150,70,30,39
