GeographyCode,QS109NI0001,QS109NI0002,QS109NI0003,QS109NI0004,QS109NI0005,QS109NI0006,QS109NI0007,QS109NI0008,QS109NI0009,QS109NI0010,QS109NI0011,QS109NI0012,QS109NI0013,QS109NI0014,QS109NI0015,QS109NI0016,QS109NI0017
95AA01,1522,371,41,133,197,661,111,134,416,238,50,165,23,252,94,153,5
95AA02,839,134,37,44,53,295,115,64,116,137,39,91,7,273,155,115,3
95AA03,845,179,48,38,93,304,97,67,140,131,55,68,8,231,123,107,1
95AA04,1014,95,21,18,56,495,49,133,313,195,28,151,16,229,73,151,5
95AA05,920,126,20,30,76,409,52,96,261,169,32,120,17,216,88,125,3
95AA06,1570,274,43,52,179,774,95,138,541,218,59,132,27,304,159,143,2
95AA07,820,97,29,22,46,347,58,90,199,167,41,112,14,209,73,131,5
95AA08,699,142,39,21,82,263,59,69,135,132,50,77,5,162,67,93,2
95AA09,943,203,51,31,121,365,116,87,162,168,53,103,12,207,87,118,2
95AA10,792,133,30,14,89,297,64,78,155,169,41,115,13,193,64,126,3
95AA11,1993,419,91,144,184,957,172,233,552,243,65,151,27,374,159,209,6
95AA12,971,61,10,18,33,500,45,120,335,180,33,119,28,230,92,138,0
95AA13,1239,220,44,46,130,566,104,143,319,177,53,106,18,276,125,148,3
95AA14,779,55,5,14,36,335,20,96,219,170,25,122,23,219,80,138,1
95AA15,1595,482,101,129,252,702,157,171,374,219,59,135,25,192,78,114,0
95AA16,832,209,63,44,102,307,110,73,124,117,54,60,3,199,91,106,2
95AA17,855,161,33,30,98,367,79,104,184,166,54,97,15,161,71,87,3
95AA18,1004,98,29,40,29,356,68,92,196,206,39,150,17,344,121,220,3
95AA19,832,123,17,16,90,371,39,70,262,145,35,86,24,193,66,119,8
95BB01,1307,144,35,33,76,664,79,183,402,219,49,156,14,280,107,167,6
95BB02,1126,169,45,45,79,365,127,88,150,182,64,105,13,410,202,204,4
95BB03,1776,255,46,65,144,642,106,178,358,305,74,210,21,574,251,316,7
95BB04,1307,116,20,34,62,434,93,126,215,285,60,201,24,472,176,292,4
95BB05,1318,140,20,45,75,540,71,157,312,267,57,200,10,371,134,232,5
95BB06,1518,332,106,114,112,495,189,137,169,203,89,104,10,488,296,188,4
95BB07,1315,218,45,70,103,466,105,118,243,218,71,136,11,413,210,202,1
95BB08,1068,170,29,45,96,402,64,110,228,214,56,150,8,282,130,150,2
95BB09,1253,161,45,42,74,461,88,148,225,285,66,198,21,346,141,203,2
95BB10,1509,158,44,45,69,510,135,129,246,304,89,186,29,537,247,287,3
95BB11,1338,128,21,21,86,489,126,129,234,244,95,136,13,477,235,237,5
95BB12,1130,208,36,34,138,415,77,120,218,189,53,116,20,318,125,187,6
95BB13,1687,256,44,49,163,756,113,187,456,317,56,229,32,358,110,244,4
95BB14,1172,79,10,29,40,493,65,135,293,246,53,164,29,354,131,219,4
95BB15,1287,151,17,38,96,566,88,126,352,246,68,157,21,324,128,192,4
95BB16,1176,60,9,19,32,478,59,113,306,283,46,202,35,355,111,244,0
95BB17,1399,251,44,52,155,642,114,182,346,233,62,145,26,273,115,152,6
95BB18,1638,265,37,65,163,703,114,194,395,263,75,170,18,407,146,256,5
95BB19,1724,230,36,50,144,868,91,247,530,338,58,257,23,288,116,169,3
95BB20,1290,167,38,35,94,514,95,118,301,253,78,151,24,356,158,195,3
95BB21,1821,261,42,61,158,758,112,199,447,333,89,206,38,469,197,264,8
95BB22,1194,281,67,42,172,565,131,140,294,167,54,98,15,181,68,110,3
95BB23,1161,97,21,22,54,454,59,140,255,284,50,207,27,326,106,219,1
95CC01,904,162,30,26,106,397,72,102,223,145,40,91,14,200,92,106,2
95CC02,875,92,11,24,57,387,55,76,256,161,22,115,24,235,83,151,1
95CC03,1127,297,51,56,190,419,109,93,217,150,62,74,14,261,145,108,8
95CC04,790,101,15,27,59,318,35,61,222,152,33,96,23,219,94,121,4
95CC05,954,137,19,39,79,387,57,71,259,157,37,102,18,273,114,152,7
95CC06,1096,192,51,39,102,422,64,110,248,202,63,121,18,280,123,155,2
95CC07,1108,174,27,35,112,522,61,106,355,182,40,110,32,230,99,123,8
95CC08,990,209,35,32,142,406,95,89,222,139,36,88,15,236,120,114,2
95CC09,1190,200,46,70,84,521,60,141,320,192,34,136,22,277,95,179,3
95CC10,901,89,20,33,36,373,55,97,221,173,31,115,27,266,80,181,5
95CC11,786,153,47,38,68,261,77,61,123,140,54,76,10,232,112,116,4
95CC12,890,91,14,21,56,398,46,67,285,166,39,104,23,235,76,151,8
95CC13,817,117,25,31,61,331,39,76,216,175,39,111,25,194,65,127,2
95CC14,1132,194,34,44,116,465,64,122,279,195,32,150,13,278,119,159,0
