GeographyCode,QS602NI0001,QS602NI0002,QS602NI0003,QS602NI0004,QS602NI0005,QS602NI0006,QS602NI0007,QS602NI0008,QS602NI0009,QS602NI0010,QS602NI0011,QS602NI0012,QS602NI0013,QS602NI0014,QS602NI0015,QS602NI0016
95AA01,1400,1233,80,888,6,83,32,115,22,7,167,117,2,10,24,14
95AA02,711,496,76,350,0,15,7,15,30,3,215,132,0,13,56,14
95AA03,744,490,94,329,0,6,4,24,32,1,254,129,4,28,57,36
95AA04,918,766,61,434,3,80,26,141,16,5,152,104,2,12,26,8
95AA05,821,633,52,413,2,40,10,92,21,3,188,118,3,16,34,17
95AA06,1421,1121,166,749,5,41,19,88,43,10,300,163,4,44,69,20
95AA07,733,562,63,331,0,36,14,97,20,1,171,99,2,11,47,12
95AA08,639,418,88,266,2,7,4,13,34,4,221,103,3,32,69,14
95AA09,856,574,101,389,3,13,13,18,34,3,282,138,5,36,75,28
95AA10,723,455,74,292,1,11,9,28,34,6,268,138,0,38,65,27
95AA11,1819,1500,128,1152,2,50,26,101,35,6,319,201,4,25,64,25
95AA12,874,729,48,454,3,67,18,129,10,0,145,119,0,7,13,6
95AA13,1106,853,99,584,2,31,17,80,33,7,253,154,2,26,59,12
95AA14,670,547,46,330,2,56,9,90,12,2,123,97,2,7,9,8
95AA15,1521,1218,137,912,2,26,26,52,56,7,303,134,5,39,97,28
95AA16,744,527,86,359,1,8,3,24,40,6,217,111,1,21,62,22
95AA17,808,583,93,393,0,12,7,35,42,1,225,121,2,27,60,15
95AA18,851,637,62,401,6,70,19,68,8,3,214,175,0,7,19,13
95AA19,740,558,75,301,0,48,12,104,18,0,182,77,2,26,45,32
95BB01,1176,973,89,657,3,62,27,114,17,4,203,156,1,18,22,6
95BB02,889,574,103,325,0,34,23,35,53,1,315,171,3,26,86,29
95BB03,1516,1032,132,639,4,69,25,102,57,4,484,326,4,24,93,37
95BB04,1081,762,106,475,2,53,32,59,32,3,319,259,2,11,43,4
95BB05,1168,890,96,493,4,83,32,156,25,1,278,198,0,19,44,17
95BB06,1245,813,147,520,0,19,10,45,66,6,432,226,7,41,116,42
95BB07,1101,772,124,500,0,36,12,62,35,3,329,221,5,32,56,15
95BB08,936,672,92,461,1,21,10,56,27,4,264,176,2,15,60,11
95BB09,1107,844,105,580,0,33,21,82,19,4,263,229,1,7,21,5
95BB10,1255,889,110,511,7,71,28,121,37,4,366,269,1,20,58,18
95BB11,1104,712,120,446,1,21,20,59,40,5,392,258,1,30,75,28
95BB12,1015,664,119,412,5,25,18,40,41,4,351,221,7,35,72,16
95BB13,1560,1168,157,787,9,54,28,84,44,5,392,248,8,40,79,17
95BB14,1011,797,84,453,5,71,29,141,10,4,214,171,2,9,21,11
95BB15,1148,818,79,438,4,59,31,160,46,1,330,197,3,30,81,19
95BB16,1020,802,75,487,9,100,34,90,6,1,218,182,1,13,16,6
95BB17,1282,996,148,637,3,39,30,104,30,5,286,167,6,32,62,19
95BB18,1469,1080,106,697,2,56,30,149,32,8,389,245,4,32,86,22
95BB19,1589,1346,154,994,0,50,22,97,26,3,243,185,3,15,29,11
95BB20,1135,749,99,383,2,40,24,136,56,9,386,226,2,27,92,39
95BB21,1645,1161,145,670,9,58,38,192,47,2,484,325,3,36,90,30
95BB22,1134,817,139,511,5,27,16,43,75,1,317,124,8,51,94,40
95BB23,1036,789,119,521,7,39,16,72,13,2,247,211,3,9,15,9
95CC01,818,577,107,313,4,29,13,48,60,3,241,113,5,26,66,31
95CC02,773,609,54,303,6,70,26,120,28,2,164,105,1,11,38,9
95CC03,1000,623,137,330,1,15,16,41,75,8,377,126,5,57,140,49
95CC04,677,523,65,258,3,47,25,98,26,1,154,100,1,8,32,13
95CC05,821,615,71,358,2,43,18,96,26,1,206,126,3,22,34,21
95CC06,951,730,100,479,4,43,17,48,37,2,221,149,1,21,35,15
95CC07,1000,751,99,381,3,58,25,144,37,4,249,112,9,41,58,29
95CC08,868,583,95,326,3,31,15,40,69,4,285,127,7,40,71,40
95CC09,1091,895,90,524,4,76,27,149,23,2,196,149,3,7,22,15
95CC10,790,631,56,375,5,59,18,95,21,2,159,129,4,7,14,5
95CC11,667,423,79,206,0,25,7,45,57,4,244,102,6,24,76,36
95CC12,795,618,75,313,1,52,20,131,25,1,177,115,2,10,33,17
95CC13,713,566,69,292,3,52,17,113,17,3,147,68,1,9,53,16
95CC14,1006,781,117,483,4,46,19,91,19,2,225,145,2,18,50,10
95CC15,880,669,83,400,2,48,18,92,24,2,211,131,3,23,38,16
95CC16,926,665,91,393,3,35,15,87,36,5,261,148,6,24,62,21
95CC17,806,639,64,337,3,62,25,121,25,2,167,104,2,13,33,15
95CC18,809,569,82,366,3,35,13,40,27,3,240,147,4,19,54,16
95CC19,853,660,71,360,2,53,21,131,19,3,193,115,1,20,42,15
95CC20,1015,812,88,574,5,30,16,69,29,1,203,140,2,18,28,15
95CC21,1032,780,90,528,1,32,22,62,39,6,252,149,4,25,57,17
95CC22,692,455,81,293,0,9,6,23,39,4,237,133,5,15,58,26
95DD01,689,476,62,318,1,41,10,34,8,2,213,173,3,9,20,8
95DD02,1329,1062,106,788,3,39,15,78,30,3,267,173,4,18,47,25
95DD03,1228,966,100,691,1,46,14,87,20,7,262,205,5,19,17,16
95DD04,739,445,111,253,1,5,5,21,42,7,294,122,1,48,92,31
95DD05,651,403,94,232,0,6,7,21,41,2,248,101,1,49,71,26
95DD06,792,598,67,424,2,38,10,43,12,2,194,170,1,5,8,10
95DD07,1154,848,117,574,6,39,20,63,22,7,306,218,6,22,39,21
95DD08,839,552,80,379,2,13,6,28,40,4,287,129,4,19,106,29
95DD09,797,645,45,378,3,59,18,125,14,3,152,119,0,5,17,11
95DD10,996,703,113,459,6,18,18,43,41,5,293,184,2,28,50,29
95DD11,882,590,112,355,2,15,8,31,62,5,292,106,3,63,82,38
95DD12,766,612,41,353,2,60,16,127,10,3,154,111,1,7,26,9
95DD13,630,434,69,283,2,11,12,25,32,0,196,108,4,25,45,14
95DD14,1066,853,81,606,4,67,15,60,18,2,213,161,2,19,26,5
95DD15,1061,848,82,518,1,67,19,129,30,2,213,132,2,23,42,14
95DD16,898,743,79,424,3,62,15,146,13,1,155,116,1,6,19,13
95DD17,1012,839,70,482,4,63,21,180,17,2,173,118,0,14,31,10
95DD18,729,503,82,321,0,14,12,34,38,2,226,137,1,13,55,20
95DD19,1137,880,101,583,0,39,17,103,33,4,257,171,0,21,50,15
95DD20,708,432,103,263,2,1,9,11,41,2,276,119,3,26,97,31
95DD21,770,578,72,399,2,21,9,41,28,6,192,126,1,27,23,15
95DD22,977,712,68,415,4,47,20,136,21,1,265,136,5,24,80,20
95DD23,736,618,46,311,2,67,19,159,12,2,118,82,1,9,20,6
