GeographyCode,QS601NI0001,QS601NI0002,QS601NI0003,QS601NI0004,QS601NI0005,QS601NI0006,QS601NI0007,QS601NI0008,QS601NI0009,QS601NI0010,QS601NI0011,QS601NI0012,QS601NI0013,QS601NI0014,QS601NI0015,QS601NI0016
95AA01,3177,2473,383,1518,14,103,84,167,107,97,704,275,129,157,94,49
95AA02,1319,892,189,543,4,22,13,24,57,40,427,232,32,37,99,27
95AA03,1317,840,204,502,0,8,7,33,57,29,477,204,42,69,103,59
95AA04,2227,1660,318,800,9,99,60,196,72,106,567,244,125,77,75,46
95AA05,1924,1362,228,758,8,50,26,145,77,70,562,242,99,69,98,54
95AA06,3133,2258,503,1231,9,53,53,120,126,163,875,276,197,141,206,55
95AA07,1592,1112,206,591,3,52,32,129,56,43,480,215,64,48,117,36
95AA08,1262,804,200,434,2,10,8,23,88,39,458,182,44,59,136,37
95AA09,1595,1015,233,576,3,16,26,23,90,48,580,251,73,78,126,52
95AA10,1461,900,196,488,1,16,18,44,77,60,561,260,53,75,127,46
95AA11,3834,2934,513,1935,6,58,59,129,108,126,900,416,128,95,186,75
95AA12,2037,1495,283,781,12,86,60,179,29,65,542,252,138,67,56,29
95AA13,2339,1681,293,1000,10,45,41,128,94,70,658,291,117,64,140,46
95AA14,1678,1215,231,627,6,63,32,131,55,70,463,215,80,55,85,28
95AA15,3028,2276,413,1449,6,33,53,77,136,109,752,246,106,114,220,66
95AA16,1351,896,191,552,2,9,7,31,67,37,455,197,48,56,114,40
95AA17,1614,1117,236,658,5,13,18,45,99,43,497,214,73,62,112,36
95AA18,1821,1160,198,655,18,82,33,84,35,55,661,402,83,68,71,37
95AA19,1888,1271,233,653,1,62,31,155,75,61,617,164,135,101,152,65
95BB01,2650,1976,391,1110,12,75,60,153,88,87,674,325,146,74,95,34
95BB02,1711,1037,221,545,1,41,30,50,94,55,674,305,74,73,160,62
95BB03,3080,1861,370,1023,7,84,51,133,137,56,1219,642,126,140,219,92
95BB04,2287,1429,312,756,6,66,58,84,90,57,858,536,107,79,103,33
95BB05,2559,1784,358,864,11,100,83,226,81,61,775,412,95,93,130,45
95BB06,2163,1353,277,773,3,22,24,56,142,56,810,358,82,89,209,72
95BB07,2136,1414,298,781,7,48,30,89,100,61,722,393,82,92,118,37
95BB08,1938,1317,299,762,5,29,21,77,77,47,621,315,74,66,131,35
95BB09,2293,1604,322,934,2,47,57,106,63,73,689,453,92,50,61,33
95BB10,2465,1583,311,816,15,85,62,158,86,50,882,549,106,75,107,45
95BB11,2152,1330,318,707,5,25,34,80,100,61,822,462,92,72,146,50
95BB12,2025,1255,317,635,9,34,40,60,106,54,770,388,99,106,128,49
95BB13,3277,2263,509,1252,19,64,60,109,127,123,1014,501,163,116,182,52
95BB14,2283,1603,300,821,16,90,82,182,49,63,680,379,138,60,56,47
95BB15,2527,1685,290,822,7,77,70,219,114,86,842,371,128,120,162,61
95BB16,2328,1603,301,854,21,122,61,143,39,62,725,413,128,78,61,45
95BB17,2532,1823,400,991,8,52,58,141,108,65,709,324,112,98,131,44
95BB18,3015,2042,384,1154,9,72,70,192,94,67,973,483,121,118,190,61
95BB19,3491,2627,596,1534,5,62,65,126,102,137,864,418,161,114,117,54
95BB20,2495,1537,282,711,11,52,45,202,174,60,958,393,147,94,235,89
95BB21,3420,2209,462,1123,17,69,66,245,137,90,1211,580,149,161,239,82
95BB22,2146,1432,330,763,6,35,27,61,159,51,714,223,94,124,190,83
95BB23,2317,1604,361,906,13,48,47,93,60,76,713,458,113,61,49,32
95CC01,1864,1145,225,582,6,34,28,71,137,62,719,222,116,78,213,90
95CC02,1971,1400,241,657,11,89,59,168,98,77,571,216,137,68,110,40
95CC03,1989,1199,276,575,1,27,24,52,196,48,790,201,128,127,227,107
95CC04,1699,1164,228,532,7,70,47,138,84,58,535,177,129,88,84,57
95CC05,1935,1314,240,677,4,57,51,142,79,64,621,238,128,80,111,64
95CC06,2003,1391,257,805,6,58,34,68,109,54,612,299,103,64,105,41
95CC07,2417,1623,313,759,14,74,52,210,135,66,794,211,198,153,147,85
95CC08,1783,1110,222,568,4,38,24,57,152,45,673,222,133,104,134,80
95CC09,2490,1809,316,993,13,93,66,191,79,58,681,312,140,82,91,56
95CC10,1889,1326,216,700,15,73,51,136,76,59,563,299,114,48,68,34
95CC11,1334,794,160,394,1,29,11,59,118,22,540,194,78,78,125,65
95CC12,1965,1367,249,674,3,66,42,189,74,70,598,236,140,68,100,54
95CC13,1784,1275,259,605,5,68,36,157,82,63,509,161,118,73,109,48
95CC14,2160,1526,318,849,11,56,49,120,66,57,634,294,97,79,133,31
95CC15,2065,1411,274,759,5,58,43,135,81,56,654,249,143,91,128,43
95CC16,1964,1300,268,691,6,49,31,109,78,68,664,262,112,85,165,40
95CC17,2001,1451,275,696,10,89,44,171,98,68,550,214,135,67,90,44
95CC18,1712,1125,219,647,9,44,41,59,70,36,587,273,111,57,100,46
95CC19,1910,1345,264,676,6,63,47,180,57,52,565,218,115,73,115,44
95CC20,2198,1541,312,924,7,41,37,96,80,44,657,266,122,82,132,55
95CC21,2120,1470,283,870,9,41,41,87,82,57,650,297,90,84,130,49
95CC22,1291,825,181,482,0,11,14,32,71,34,466,206,66,41,99,54
95DD01,1527,939,195,553,5,49,23,41,41,32,588,363,72,52,69,32
95DD02,2831,2076,393,1289,8,50,43,116,100,77,755,353,127,90,125,60
95DD03,2537,1819,324,1142,8,59,41,123,53,69,718,410,105,80,71,52
95DD04,1377,824,207,422,6,6,11,25,99,48,553,204,54,95,143,57
95DD05,1286,774,199,389,1,6,16,31,93,39,512,163,60,102,127,60
95DD06,1870,1235,231,745,4,47,35,59,61,53,635,395,95,44,60,41
95DD07,2379,1587,337,938,10,50,36,88,71,57,792,436,107,92,103,54
95DD08,1596,1049,207,644,4,16,11,37,94,36,547,194,58,48,179,68
95DD09,1863,1329,258,674,6,73,57,170,43,48,534,270,106,55,67,36
95DD10,2073,1400,283,816,8,29,32,59,113,60,673,327,80,78,124,64
95DD11,1628,1055,216,599,3,17,14,36,133,37,573,157,89,117,144,66
95DD12,1857,1324,249,660,7,78,38,188,41,63,533,233,108,84,74,34
95DD13,1262,813,165,471,3,12,20,40,81,21,449,195,54,70,95,35
95DD14,2369,1723,333,1025,18,85,51,80,58,73,646,349,128,70,75,24
95DD15,2459,1802,322,976,8,83,50,203,99,61,657,263,139,108,102,45
95DD16,2166,1615,316,824,14,90,41,207,56,67,551,272,100,58,81,40
95DD17,2469,1815,332,905,11,93,62,249,78,85,654,277,158,82,87,50
95DD18,1403,899,197,496,3,28,24,46,76,29,504,256,38,46,116,48
95DD19,2429,1714,350,969,8,50,44,140,84,69,715,329,119,91,132,44
95DD20,1296,773,192,415,4,1,18,17,98,28,523,208,43,65,151,56
95DD21,1579,1138,229,672,6,31,22,50,77,51,441,230,64,57,46,44
95DD22,2274,1541,281,814,13,65,41,202,69,56,733,275,145,101,157,55
95DD23,1810,1354,257,636,10,84,46,223,42,56,456,211,98,57,59,31
95DD24,1997,1422,281,834,5,38,29,74,87,74,575,271,96,69,95,44
95EE01,1339,872,131,418,3,38,40,142,74,26,467,151,115,83,81,37
95EE02,1539,1035,193,515,3,49,36,106,89,44,504,172,67,93,118,54
95EE03,1488,912,180,514,4,28,22,43,89,32,576,190,83,90,163,50
95EE04,1463,986,169,552,4,48,19,84,74,36,477,185,99,80,71,42
95EE05,1136,755,151,361,11,51,30,80,50,21,381,172,71,48,64,26
95EE06,1587,1071,184,550,4,42,31,135,84,41,516,150,159,82,78,47
95EE07,1258,780,180,421,3,14,24,45,75,18,478,221,74,69,85,29
95EE08,1242,792,145,456,5,43,17,40,66,20,450,220,73,39,79,39
95EE09,1358,915,181,438,8,41,28,130,59,30,443,133,115,67,88,40
95EE10,1292,878,145,466,2,39,17,110,71,28,414,145,72,73,82,42
95EE11,1232,820,124,400,5,59,28,135,42,27,412,156,90,68,64,34
95EE12,1862,1197,239,628,4,24,33,59,155,55,665,203,108,106,183,65
95EE13,1102,602,123,316,4,31,22,29,58,19,500,221,61,49,118,51
95EE14,1922,1278,253,682,7,51,50,93,101,41,644,244,118,97,136,49
95EE15,1256,851,164,390,9,53,23,125,67,20,405,165,89,49,65,37
95EE16,1482,996,198,497,11,60,35,116,47,32,486,173,99,76,97,41
95FF01,3432,2562,488,1528,8,103,53,152,118,112,870,396,189,115,117,53
95FF02,1957,1410,252,623,6,66,51,249,95,68,547,196,106,88,101,56
95FF03,2182,1571,334,914,2,26,40,80,99,76,611,213,98,93,155,52
95FF04,1866,1370,255,632,10,87,56,205,70,55,496,179,120,67,94,36
95FF05,1835,1236,226,749,5,32,28,77,91,28,599,290,92,66,123,28
95FF06,2855,2158,426,1299,11,65,54,152,87,64,697,297,139,91,115,55
95FF07,1953,1257,296,640,3,24,28,65,157,44,696,220,102,91,215,68
95FF08,1697,1080,205,593,8,29,32,59,95,59,617,281,103,59,134,40
95FF09,1795,1144,205,639,5,52,22,87,89,45,651,233,97,91,179,51
95FF10,2491,1844,318,978,8,86,62,244,86,62,647,236,134,101,120,56
95FF11,1852,1353,227,700,9,52,57,209,52,47,499,178,98,95,88,40
95FF12,2046,1425,246,817,9,72,39,99,67,76,621,265,102,76,143,35
95FF13,1935,1356,239,697,10,90,48,152,59,61,579,250,96,81,107,45
95FF14,1754,1243,205,665,13,87,44,140,40,49,511,282,73,64,63,29
95FF15,1896,1238,262,684,2,37,28,101,82,42,658,272,103,91,131,61
95FF16,1711,1150,224,676,3,40,29,78,53,47,561,274,85,53,113,36
95FF17,1298,790,152,469,2,18,15,49,61,24,508,214,56,48,146,44
95GG01,3566,2037,487,1029,4,40,36,102,196,143,1529,593,216,158,446,116
95GG02,4177,2044,612,775,3,12,34,32,418,158,2133,501,298,364,749,221
95GG03,4409,3220,576,1995,9,115,101,174,124,126,1189,604,211,112,197,65
95GG04,3584,1948,476,991,5,11,29,41,290,105,1636,415,195,275,576,175
95GG05,4793,3786,562,2426,13,52,86,167,269,211,1007,293,203,121,239,151
95GG06,4081,2694,620,1531,9,27,42,83,233,149,1387,459,230,181,389,128
95GG07,3968,2293,609,1131,3,14,34,53,267,182,1675,422,236,270,551,196
95GG08,3548,2343,537,1257,9,45,55,103,235,102,1205,457,201,166,272,109
95GG09,4463,3074,605,1866,9,87,75,134,165,133,1389,657,214,164,266,88
95GG10,3171,2125,411,1199,4,5,27,42,262,175,1046,292,192,146,319,97
95GG11,4185,2933,516,1825,3,51,59,123,262,94,1252,477,154,161,324,136
95GG12,7945,5236,542,1937,18,22,72,108,410,2127,2709,226,1722,165,417,179
