GeographyCode,QS111NI0001,QS111NI0002,QS111NI0003,QS111NI0004,QS111NI0005,QS111NI0006,QS111NI0007,QS111NI0008,QS111NI0009,QS111NI0010,QS111NI0011,QS111NI0012,QS111NI0013,QS111NI0014,QS111NI0015,QS111NI0016,QS111NI0017,QS111NI0018,QS111NI0019,QS111NI0020,QS111NI0021,QS111NI0022,QS111NI0023,QS111NI0024,QS111NI0025,QS111NI0026,QS111NI0027
95AA01,1522,296,94,202,1135,71,874,256,183,331,104,1,74,44,12,14,4,115,29,32,54,91,18,22,3,1,47
95AA02,839,346,155,191,450,53,236,93,34,47,62,0,59,34,14,8,3,102,31,29,42,43,10,6,0,1,26
95AA03,845,323,123,200,479,54,209,69,39,59,42,0,58,31,12,14,1,158,52,51,55,43,10,5,0,1,27
95AA04,1014,171,73,98,752,77,557,141,90,197,129,0,47,18,12,13,4,71,17,14,40,91,20,27,1,4,39
95AA05,920,192,88,104,675,69,468,91,74,178,125,0,44,17,10,10,7,94,36,21,37,53,19,9,0,4,21
95AA06,1570,356,159,197,1121,73,731,141,129,339,122,1,87,36,17,30,4,229,72,105,52,93,27,30,0,3,33
95AA07,820,201,73,128,569,69,356,108,48,111,89,0,51,24,13,12,2,93,25,31,37,50,14,10,0,7,19
95AA08,699,215,67,148,436,48,189,50,35,40,64,0,51,18,14,14,5,148,48,52,48,48,9,12,0,2,25
95AA09,943,307,87,220,581,58,279,96,49,63,71,0,68,29,17,14,8,176,65,66,45,55,17,6,0,3,29
95AA10,792,199,64,135,542,69,276,94,38,75,69,0,47,17,9,16,5,150,43,51,56,51,19,9,0,3,20
95AA11,1993,487,159,328,1359,116,895,262,185,326,122,1,158,84,34,32,8,189,66,62,61,147,40,24,1,4,78
95AA12,971,180,92,88,733,65,567,153,118,204,92,1,41,24,7,7,3,59,12,21,26,58,10,17,0,5,26
95AA13,1239,326,125,201,836,72,503,129,89,182,103,0,87,31,27,24,5,174,57,61,56,77,14,16,0,4,43
95AA14,779,130,80,50,596,58,454,135,75,142,102,0,19,10,2,5,2,65,11,19,35,53,12,13,0,7,21
95AA15,1595,395,78,317,1091,50,634,193,136,208,97,0,149,76,37,32,4,258,96,97,65,109,28,17,0,1,63
95AA16,832,318,91,227,465,58,224,72,46,65,41,0,62,30,18,11,3,121,38,39,44,49,8,6,0,1,34
95AA17,855,237,71,166,571,44,310,96,42,89,83,0,62,21,17,19,5,155,59,47,49,47,14,13,1,0,19
95AA18,1004,257,121,136,693,145,425,173,41,125,86,1,52,33,8,10,1,70,22,20,28,54,15,4,2,3,30
95AA19,832,157,66,91,612,40,426,59,92,179,96,1,17,9,2,6,0,128,30,40,58,63,19,16,0,6,22
95BB01,1307,270,107,163,968,98,680,175,140,227,138,1,69,28,13,14,14,120,38,40,42,69,18,8,0,3,40
95BB02,1126,438,202,236,620,108,289,107,61,62,59,1,58,33,11,12,2,164,55,30,79,68,8,7,0,6,47
95BB03,1776,477,251,226,1198,188,691,245,122,205,119,2,132,77,21,29,5,185,72,49,64,101,18,14,0,7,62
95BB04,1307,349,176,173,894,187,542,212,84,117,129,1,53,27,11,9,6,111,36,24,51,64,12,12,0,7,33
95BB05,1318,282,134,148,964,134,648,227,91,188,142,1,71,36,9,20,6,110,42,23,45,72,12,17,0,6,37
95BB06,1518,680,296,384,740,92,320,148,48,57,67,4,105,73,20,6,6,219,96,45,78,98,10,13,0,9,66
95BB07,1315,431,210,221,845,121,429,163,76,108,82,0,105,57,26,15,7,190,81,39,70,39,6,7,0,1,25
95BB08,1068,279,130,149,736,78,481,152,82,138,109,0,54,29,12,10,3,123,39,31,53,53,10,12,0,6,25
95BB09,1253,340,141,199,861,118,563,218,100,131,114,2,68,46,9,9,4,110,41,14,55,52,11,7,0,2,32
95BB10,1509,515,247,268,931,181,549,228,91,126,104,0,77,46,16,10,5,124,50,32,42,63,11,11,0,7,34
95BB11,1338,477,235,242,822,144,434,149,86,103,96,1,59,29,11,14,5,184,66,45,73,39,6,7,0,9,17
95BB12,1130,291,125,166,779,107,403,126,83,105,89,0,81,36,21,17,7,188,70,57,61,60,14,15,0,6,25
95BB13,1687,323,110,213,1298,139,810,252,152,256,150,1,112,62,18,21,11,236,91,85,60,66,15,16,0,3,32
95BB14,1172,259,131,128,856,127,580,179,83,187,131,1,62,37,10,14,1,86,22,26,38,57,13,11,0,5,28
95BB15,1287,301,128,173,910,89,585,163,102,213,107,0,72,34,21,13,4,164,59,38,67,76,13,14,0,9,40
95BB16,1176,225,111,114,885,137,636,208,110,189,129,0,39,15,5,13,6,73,13,20,40,66,10,13,0,7,36
95BB17,1399,335,115,220,990,79,597,203,101,195,98,0,98,48,23,25,2,216,82,70,64,74,18,19,0,2,35
95BB18,1638,372,146,226,1170,141,748,243,126,255,124,1,114,58,20,26,10,166,50,63,53,96,23,17,0,8,48
95BB19,1724,301,116,185,1349,93,976,292,179,323,182,0,96,48,23,19,6,184,64,54,66,74,16,22,0,2,34
95BB20,1290,369,158,211,845,88,549,135,104,178,132,0,55,27,14,11,3,153,29,56,68,76,15,15,0,9,37
95BB21,1821,440,197,243,1279,148,855,278,156,284,137,0,94,53,16,20,5,182,80,46,56,102,21,28,0,1,52
95BB22,1194,320,68,252,817,52,415,120,73,149,73,1,92,45,12,31,4,257,104,91,62,57,15,9,0,2,31
95BB23,1161,236,106,130,880,135,603,212,91,150,150,2,40,19,8,12,1,100,29,20,51,45,12,15,1,2,15
95CC01,904,234,92,142,589,42,320,65,74,109,72,0,43,27,9,6,1,184,69,44,71,81,19,15,0,2,45
95CC02,875,171,83,88,644,54,470,88,78,176,128,0,42,17,13,11,1,78,14,21,43,60,13,12,0,12,23
95CC03,1127,367,145,222,637,31,281,66,51,95,69,0,74,36,20,18,0,251,94,94,63,123,27,30,0,8,58
95CC04,790,177,94,83,567,47,389,58,61,160,110,0,30,13,11,6,0,101,18,30,53,46,10,12,0,4,20
95CC05,954,227,114,113,656,58,452,95,78,190,89,0,29,19,3,7,0,117,28,31,58,71,13,13,0,11,34
95CC06,1096,301,123,178,749,83,473,137,83,153,100,0,55,35,3,16,1,138,54,37,47,46,13,11,0,2,20
95CC07,1108,227,99,128,793,45,554,94,86,252,122,0,40,16,9,13,2,154,50,53,51,88,23,21,0,4,40
95CC08,990,286,120,166,639,58,332,53,72,125,82,0,54,27,15,11,1,195,99,38,58,65,14,7,0,8,36
95CC09,1190,235,95,140,901,89,651,175,93,239,144,0,54,33,11,8,2,107,32,26,49,54,5,15,1,3,30
95CC10,901,186,80,106,650,92,439,110,74,140,115,0,36,16,7,12,1,83,16,17,50,65,9,14,0,6,36
95CC11,786,290,112,178,445,52,238,70,49,53,66,0,26,18,4,3,1,129,44,39,46,51,9,4,0,3,35
95CC12,890,175,76,99,662,63,487,83,76,208,120,0,20,9,5,6,0,92,25,28,39,53,11,13,0,4,25
95CC13,817,168,65,103,597,50,443,94,63,172,114,0,19,13,5,1,0,85,17,21,47,52,8,17,0,5,22
95CC14,1132,249,119,130,848,86,579,170,90,204,115,0,56,34,11,10,1,127,33,47,47,35,7,6,0,1,21
95CC15,1007,213,98,115,739,61,507,100,87,206,114,0,46,25,10,8,3,125,39,28,58,55,13,12,0,5,25
95CC16,1076,302,158,144,722,76,463,110,86,173,94,0,47,22,14,9,2,136,58,38,40,52,12,6,0,13,21
95CC17,897,178,78,100,659,54,486,87,95,182,122,0,29,12,9,7,1,90,21,25,44,60,15,13,0,2,30
95CC18,937,284,138,146,598,74,348,80,57,117,94,0,52,25,14,6,7,124,46,23,55,55,13,10,2,3,27
95CC19,981,242,124,118,680,59,493,123,70,202,98,0,28,10,9,6,3,100,31,26,43,59,14,7,0,2,36
95CC20,1127,275,114,161,798,68,555,160,100,183,112,0,65,30,17,16,2,110,33,37,40,54,17,9,0,1,27
95CC21,1167,307,119,188,810,91,507,168,79,162,98,0,68,36,12,17,3,144,49,40,55,50,15,3,0,3,29
95CC22,842,370,166,204,427,52,202,71,38,47,46,0,41,21,13,5,2,132,45,24,63,45,6,4,0,2,33
95DD01,836,196,111,85,593,129,370,141,47,100,82,0,35,13,10,9,3,59,14,15,30,47,10,4,0,3,30
95DD02,1490,345,147,198,1080,90,720,205,144,238,133,1,90,45,25,15,5,179,59,43,77,65,14,16,0,3,32
95DD03,1389,305,142,163,994,145,602,200,123,181,98,0,84,53,17,11,3,163,67,43,53,90,16,10,1,5,58
95DD04,859,303,127,176,508,42,200,76,37,49,38,0,67,30,18,17,2,199,68,62,69,48,9,11,0,1,27
95DD05,685,174,51,123,475,27,224,75,38,54,57,0,51,19,13,15,4,173,59,64,50,36,8,8,0,1,19
95DD06,944,187,109,78,708,129,462,159,69,117,117,0,41,21,8,8,4,76,20,14,42,49,12,9,0,9,19
95DD07,1412,397,208,189,947,155,553,172,103,164,114,0,84,38,16,23,7,155,48,45,62,68,16,9,0,14,29
95DD08,1041,485,218,267,440,46,168,58,28,40,42,0,86,50,20,11,5,140,41,32,67,116,16,10,2,7,81
95DD09,929,164,78,86,705,87,518,150,77,177,114,2,19,11,3,3,2,79,16,20,43,60,7,8,0,11,34
95DD10,1180,361,195,166,760,87,455,139,78,115,123,0,60,27,12,17,4,158,66,27,65,59,12,10,0,2,35
95DD11,955,301,102,199,574,35,236,71,45,83,37,0,88,32,23,27,6,215,69,84,62,80,15,22,0,2,41
95DD12,890,163,82,81,675,83,504,131,94,168,111,0,19,8,6,4,1,69,16,17,36,52,17,7,0,4,24
95DD13,741,272,114,158,392,43,201,51,32,62,56,0,34,18,7,9,0,114,40,31,43,77,19,14,0,7,37
95DD14,1233,259,116,143,914,120,631,188,119,204,120,0,42,23,9,8,2,121,39,35,47,60,13,14,0,6,27
95DD15,1174,239,93,146,867,66,606,122,97,236,151,0,58,23,8,24,3,137,39,32,66,68,15,14,0,8,31
