GeographyCode,QS303NI0001,QS303NI0002,QS303NI0003,QS303NI0004
95AA01,4444,254,253,3937
95AA02,1734,261,204,1269
95AA03,1822,281,179,1362
95AA04,3013,217,219,2577
95AA05,2701,255,235,2211
95AA06,4647,472,349,3826
95AA07,2140,220,187,1733
95AA08,1698,265,187,1246
95AA09,2220,300,214,1706
95AA10,1953,252,213,1488
95AA11,5364,457,437,4470
95AA12,2775,167,204,2404
95AA13,3307,341,252,2714
95AA14,2349,219,176,1954
95AA15,4186,391,271,3524
95AA16,1807,268,177,1362
95AA17,2142,236,183,1723
95AA18,2439,247,216,1976
95AA19,2687,265,171,2251
95BB01,3609,296,272,3041
95BB02,2347,431,278,1638
95BB03,4219,559,486,3174
95BB04,3048,352,352,2344
95BB05,3401,349,316,2736
95BB06,2870,510,368,1992
95BB07,2953,406,319,2228
95BB08,2625,302,281,2042
95BB09,2943,247,248,2448
95BB10,3327,371,363,2593
95BB11,2955,475,350,2130
95BB12,2776,272,275,2229
95BB13,4444,412,386,3646
95BB14,3116,227,299,2590
95BB15,3489,374,322,2793
95BB16,3136,246,266,2624
95BB17,3556,353,335,2868
95BB18,4279,557,372,3350
95BB19,4788,393,358,4037
95BB20,3413,508,346,2559
95BB21,4719,645,451,3623
95BB22,3040,355,244,2441
95BB23,3025,290,294,2441
95CC01,2558,441,224,1893
95CC02,2725,280,221,2224
95CC03,2817,398,230,2189
95CC04,2440,286,172,1982
95CC05,2774,331,230,2213
95CC06,2776,272,234,2270
95CC07,3475,305,240,2930
95CC08,2565,401,208,1956
95CC09,3354,232,255,2867
95CC10,2577,276,227,2074
95CC11,1795,271,182,1342
95CC12,2785,272,206,2307
95CC13,2474,230,208,2036
95CC14,3035,287,296,2452
95CC15,2903,337,217,2349
95CC16,2820,342,287,2191
95CC17,2730,226,214,2290
95CC18,2342,244,234,1864
95CC19,2720,271,229,2220
95CC20,3010,296,241,2473
95CC21,2925,325,243,2357
95CC22,1740,235,169,1336
95DD01,2099,222,195,1682
95DD02,3888,340,287,3261
95DD03,3503,249,297,2957
95DD04,1926,290,183,1453
95DD05,1739,215,171,1353
95DD06,2588,346,232,2010
95DD07,3363,354,319,2690
95DD08,2126,328,259,1539
95DD09,2590,220,206,2164
95DD10,2805,311,270,2224
95DD11,2363,248,199,1916
95DD12,2610,254,215,2141
95DD13,1784,237,180,1367
95DD14,3277,209,247,2821
95DD15,3451,253,228,2970
95DD16,2981,267,261,2453
95DD17,3461,265,262,2934
95DD18,1885,312,190,1383
95DD19,3364,394,266,2704
95DD20,1746,286,210,1250
95DD21,2139,168,177,1794
95DD22,3136,354,291,2491
95DD23,2509,234,210,2065
95DD24,2711,229,227,2255
95EE01,1895,181,144,1570
95EE02,2095,229,163,1703
95EE03,1999,292,166,1541
95EE04,1993,219,145,1629
95EE05,1509,149,160,1200
95EE06,2278,199,163,1916
95EE07,1798,230,197,1371
95EE08,1719,273,157,1289
95EE09,1890,198,164,1528
95EE10,1797,150,122,1525
95EE11,1677,162,139,1376
95EE12,2507,310,219,1978
95EE13,1529,250,196,1083
95EE14,2684,318,214,2152
95EE15,1728,193,141,1394
95EE16,2126,219,204,1703
95FF01,4796,382,357,4057
95FF02,2817,265,190,2362
95FF03,3006,321,251,2434
95FF04,2629,238,228,2163
95FF05,2563,315,233,2015
95FF06,4116,313,330,3473
95FF07,2769,412,232,2125
95FF08,2364,343,225,1796
95FF09,2522,341,247,1934
95FF10,3473,286,233,2954
95FF11,2582,236,196,2150
95FF12,2724,341,213,2170
95FF13,2708,300,211,2197
95FF14,2432,228,183,2021
95FF15,2740,389,247,2104
95FF16,2374,282,200,1892
95FF17,1724,277,189,1258
95GG01,4907,1106,566,3235
95GG02,5987,1282,564,4141
95GG03,5939,565,553,4821
95GG04,4908,954,524,3430
95GG05,5928,496,440,4992
95GG06,5626,816,570,4240
95GG07,5485,944,530,4011
95GG08,4910,630,493,3787
95GG09,6165,757,562,4846
95GG10,3998,568,330,3100
95GG11,5453,679,554,4220
95GG12,8945,593,482,7870
95GG13,4722,639,474,3609
95GG14,4820,374,426,4020
95GG15,5920,663,581,4676
95GG16,5452,716,467,4269
95GG17,5330,805,517,4008
95GG18,4975,996,451,3528
95GG19,4582,1198,561,2823
95GG20,4901,917,522,3462
95GG21,5184,1254,498,3432
95GG22,5343,994,548,3801
95GG23,4555,472,398,3685
95GG24,4561,687,429,3445
95GG25,5573,1059,495,4019
95GG26,3749,730,433,2586
95GG27,6498,1198,588,4712
95GG28,5651,848,561,4242
95GG29,5014,738,452,3824
95GG30,4827,535,482,3810
95GG31,6519,1028,592,4899
95GG32,6409,958,580,4871
95GG33,5555,331,361,4863
95GG34,4927,579,398,3950
95GG35,4950,1276,493,3181
95GG36,5619,595,553,4471
95GG37,6041,517,461,5063
95GG38,6564,587,567,5410
95GG39,7214,1289,662,5263
95GG40,3816,947,433,2436
95GG41,5548,495,509,4544
95GG42,8139,279,463,7397
95GG43,4874,724,458,3692
95GG44,5591,890,522,4179
95GG45,4841,623,466,3752
95GG46,5250,1170,519,3561
95GG47,5829,1188,561,4080
95GG48,5694,1306,547,3841
95GG49,8141,447,388,7306
95GG50,5445,758,515,4172
95GG51,4088,976,461,2651
95HH01,2059,279,221,1559
95HH02,2962,225,227,2510
95HH03,1663,193,213,1257
95HH04,3067,316,290,2461
95HH05,2171,270,190,1711
95HH06,4797,343,326,4128
95HH07,1493,232,173,1088
95HH08,2619,273,240,2106
95HH09,2620,457,340,1823
95HH10,2489,173,203,2113
95HH11,1417,262,148,1007
95HH12,1552,185,157,1210
95HH13,1407,208,122,1077
95HH14,1530,300,203,1027
95HH15,2630,337,287,2006
95HH16,2159,187,234,1738
95HH17,2479,185,195,2099
95II01,3084,249,293,2542
95II02,4961,686,415,3860
95II03,3523,203,197,3123
95II04,4317,469,342,3506
95II05,3546,399,326,2821
95II06,3398,245,225,2928
95II07,2090,373,230,1487
95II08,2417,296,243,1878
95II09,3363,325,291,2747
95II10,2592,432,276,1884
95II11,2567,227,214,2126
95II12,2512,218,245,2049
95II13,2702,425,277,2000
95II14,2561,218,244,2099
95II15,3357,213,269,2875
95II16,2126,316,216,1594
95II17,2493,326,285,1882
95II18,2226,391,250,1585
95II19,3770,339,292,3139
95II20,2780,246,251,2283
95II21,2419,328,250,1841
