GeographyCode,QS604NI0001,QS604NI0002,QS604NI0003,QS604NI0004,QS604NI0005,QS604NI0006,QS604NI0007,QS604NI0008,QS604NI0009,QS604NI0010,QS604NI0011,QS604NI0012,QS604NI0013,QS604NI0014,QS604NI0015,QS604NI0016,QS604NI0017,QS604NI0018,QS604NI0019,QS604NI0020,QS604NI0021,QS604NI0022,QS604NI0023,QS604NI0024,QS604NI0025,QS604NI0026,QS604NI0027,QS604NI0028
95AA01,2343,77,5,214,26,8,7,52,21,57,43,8,17,160,302,116,93,54,63,10,93,134,438,203,279,77,0,0
95AA02,826,3,0,84,7,3,2,14,11,37,10,1,7,43,163,62,68,16,11,3,23,45,69,52,132,44,0,0
95AA03,775,4,1,84,2,2,1,15,15,38,11,0,5,42,150,76,54,10,17,2,15,45,52,38,148,29,2,1
95AA04,1570,94,3,130,21,0,2,20,20,33,34,4,14,124,269,101,72,46,37,16,74,46,124,151,192,71,1,1
95AA05,1276,39,1,118,19,8,2,26,13,36,14,6,11,191,187,50,49,21,32,11,47,29,97,115,238,34,0,0
95AA06,2093,17,5,185,17,5,6,54,16,58,29,6,12,161,370,161,88,65,61,19,90,63,199,174,328,89,0,0
95AA07,1046,40,1,112,19,6,4,18,12,35,18,5,24,114,153,45,44,26,29,5,36,41,63,77,189,42,0,0
95AA08,700,2,0,121,1,4,3,28,9,51,25,1,4,28,135,58,47,4,8,4,18,29,40,30,142,29,0,0
95AA09,915,4,0,106,6,6,6,28,10,30,20,4,7,49,186,63,77,15,17,5,26,55,52,53,159,37,0,0
95AA10,807,3,1,89,3,3,5,17,14,32,15,3,5,46,143,54,71,18,13,8,15,28,56,63,158,32,0,1
95AA11,2800,10,3,307,20,16,12,65,29,119,46,13,24,168,493,199,165,67,67,22,83,96,322,204,477,76,3,1
95AA12,1459,82,2,111,17,3,1,17,19,33,21,13,10,124,242,67,53,41,63,12,90,58,126,137,164,60,1,3
95AA13,1573,23,1,151,16,8,3,21,16,57,30,4,27,187,211,77,84,40,48,11,61,40,124,128,319,37,0,0
95AA14,1151,45,1,103,15,3,3,18,13,39,12,9,7,117,204,41,38,24,35,9,61,43,99,92,185,38,0,0
95AA15,2115,5,3,217,15,9,4,49,29,70,41,7,17,135,364,162,126,53,34,3,55,97,155,124,491,66,0,1
95AA16,828,4,1,115,12,4,2,30,18,33,16,0,10,54,194,65,50,12,17,2,19,49,51,31,124,30,0,0
95AA17,1009,3,1,98,11,5,1,20,6,41,14,4,12,66,169,95,64,14,19,9,29,49,56,65,211,45,0,0
95AA18,1123,29,0,79,16,4,3,14,9,18,15,6,10,59,189,75,70,48,58,15,68,51,96,96,135,39,0,0
95AA19,1186,47,3,121,19,0,6,9,43,31,13,1,9,230,185,40,58,16,17,8,49,15,67,106,169,44,1,0
95BB01,1878,38,8,163,20,3,1,12,26,60,41,11,7,155,299,81,92,54,74,16,77,97,222,128,267,88,1,0
95BB02,929,17,2,81,23,4,1,2,12,26,13,1,11,65,209,41,47,13,40,7,39,55,89,57,123,31,1,0
95BB03,1710,72,4,146,25,6,0,18,25,48,24,5,5,154,273,66,94,18,49,12,80,91,194,105,247,88,6,1
95BB04,1326,14,2,116,19,8,0,6,10,45,28,6,3,78,238,49,56,34,58,14,69,63,149,143,163,70,1,0
95BB05,1696,109,7,136,24,9,1,11,22,42,27,5,15,150,248,80,86,39,61,17,85,86,139,148,199,83,3,0
95BB06,1194,13,1,103,17,12,0,9,14,37,14,3,14,49,230,62,101,22,43,14,27,72,130,62,186,62,0,0
95BB07,1302,19,1,117,10,4,1,15,22,39,26,2,3,93,237,41,74,28,59,12,46,77,144,84,191,74,0,0
95BB08,1232,27,2,109,18,7,3,8,13,48,12,10,7,107,227,62,53,29,43,5,50,75,130,69,179,48,0,0
95BB09,1534,23,6,112,16,2,1,8,16,40,29,10,5,90,248,39,73,51,73,16,67,93,198,118,232,80,0,0
95BB10,1493,35,0,96,11,5,5,9,11,24,31,11,9,88,244,46,83,39,70,23,90,77,153,139,199,88,2,1
95BB11,1218,12,1,77,8,7,4,8,9,26,15,4,9,84,237,59,76,28,25,9,37,69,130,82,201,75,2,1
95BB12,1138,9,1,81,16,13,2,6,11,19,14,5,9,82,207,30,67,29,51,22,53,76,119,87,150,60,0,0
95BB13,2103,14,1,178,23,14,2,14,22,67,36,9,20,141,375,93,115,42,73,17,80,105,279,158,288,114,1,0
95BB14,1546,62,7,122,25,9,3,3,16,32,34,4,9,107,229,31,77,54,58,21,130,64,172,119,217,62,1,0
95BB15,1546,87,5,80,12,5,2,5,10,27,19,8,5,258,224,46,57,22,55,19,60,58,173,118,202,69,0,0
95BB16,1558,57,4,108,16,7,3,8,27,21,26,6,14,136,241,40,53,47,76,17,97,96,156,123,204,83,0,0
95BB17,1703,34,3,144,32,12,2,10,10,49,29,6,14,125,346,73,90,38,68,16,42,116,175,96,244,70,2,1
95BB18,1938,37,2,154,14,13,3,14,12,60,38,10,21,163,333,78,85,58,67,16,71,89,236,135,278,105,0,0
95BB19,2497,3,3,236,40,11,0,21,27,92,45,9,20,121,463,96,113,73,111,23,100,139,333,190,349,114,0,1
95BB20,1355,56,0,60,11,0,0,4,13,19,13,3,9,228,148,47,69,31,47,9,55,54,158,107,200,71,3,0
95BB21,2057,122,4,155,46,9,3,15,19,40,23,12,10,163,279,82,117,46,69,13,80,85,246,156,322,93,3,0
95BB22,1258,25,2,109,24,4,3,17,12,25,24,8,6,80,265,57,65,20,46,6,54,70,132,61,200,52,0,0
95BB23,1532,16,2,139,19,7,0,12,17,61,23,11,8,93,283,34,62,41,54,19,83,64,191,165,198,67,0,2
95CC01,994,21,2,89,27,3,5,9,12,12,21,4,5,42,194,54,70,8,15,8,35,28,66,97,208,48,0,0
95CC02,1287,112,2,125,27,6,5,19,16,24,28,1,18,133,171,68,55,20,18,10,59,40,88,125,184,57,1,0
95CC03,995,30,4,82,28,5,1,7,11,13,17,0,12,79,175,47,87,17,12,9,40,51,56,77,167,50,0,0
95CC04,1074,72,11,80,18,5,4,7,13,15,18,3,16,173,180,67,35,17,23,4,26,17,56,100,150,42,1,1
95CC05,1212,69,5,151,35,2,4,15,35,24,36,5,23,137,231,64,36,11,30,4,46,21,67,102,163,46,1,0
95CC06,1264,23,2,98,24,5,2,11,15,15,26,3,9,83,216,45,57,22,41,10,69,46,110,145,224,61,0,0
95CC07,1474,101,11,137,23,5,8,17,30,18,36,1,21,207,251,81,46,20,35,10,36,40,65,133,210,62,5,2
95CC08,944,19,2,86,30,3,2,16,10,13,12,2,7,99,169,46,60,8,25,11,42,25,53,106,140,44,0,0
95CC09,1722,104,7,245,62,15,7,37,35,35,54,4,16,166,308,62,63,26,34,7,73,60,115,143,233,56,0,0
95CC10,1243,74,3,142,31,7,4,22,12,25,41,5,10,92,242,51,33,18,23,5,58,45,89,132,176,44,0,1
95CC11,670,33,5,58,9,2,3,7,10,11,16,1,21,95,103,25,26,9,15,1,19,20,25,65,113,36,0,0
95CC12,1282,109,13,112,32,8,2,13,16,18,23,6,12,153,218,57,38,12,20,5,63,37,87,109,179,50,1,1
95CC13,1186,105,11,98,28,3,4,12,13,17,21,2,14,139,219,59,49,10,24,11,37,41,70,86,166,42,1,2
95CC14,1449,36,8,211,54,19,4,44,27,29,34,5,13,129,277,64,50,24,39,7,53,50,93,137,199,53,1,0
