GeographyCode,QS221NI0001,QS221NI0002,QS221NI0003,QS221NI0004,QS221NI0005,QS221NI0006,QS221NI0007,QS221NI0008,QS221NI0009,QS221NI0010,QS221NI0011,QS221NI0012,QS221NI0013,QS221NI0014,QS221NI0015,QS221NI0016,QS221NI0017
95OO21,904,279,209,65,0,5,552,508,33,1,10,73,20,4,40,8,1
95OO22,956,169,154,11,2,2,757,732,25,0,0,30,6,0,22,2,0
95PP01,950,243,50,187,3,3,612,106,494,5,7,95,5,18,67,5,0
95PP02,933,274,231,32,3,8,579,507,66,2,4,80,18,5,48,9,0
95PP03,971,303,220,71,2,10,593,434,155,0,4,75,20,6,46,3,0
95PP04,1081,230,124,97,3,6,697,394,298,0,5,154,12,21,102,19,0
95PP05,822,192,89,98,2,3,546,207,332,0,7,84,3,13,67,1,0
95PP06,1554,463,209,244,4,6,876,474,377,3,22,215,26,37,133,18,1
95PP07,987,250,144,101,2,3,613,391,210,4,8,124,13,19,77,15,0
95PP08,960,244,206,34,1,3,670,561,102,4,3,46,11,1,28,6,0
95PP09,757,303,253,47,0,3,400,348,44,4,4,54,15,2,36,1,0
95PP10,798,150,110,38,0,2,603,474,124,2,3,45,9,3,31,1,1
95PP11,1040,305,210,86,4,5,610,471,129,0,10,125,19,12,93,0,1
95PP12,891,199,121,73,0,5,615,425,189,0,1,77,12,5,57,3,0
95PP13,1060,364,226,131,3,4,572,454,112,1,5,124,18,6,93,7,0
95PP14,1347,373,134,232,1,6,845,299,535,5,6,129,11,20,84,14,0
95PP15,1089,236,57,170,2,7,691,193,491,0,7,162,13,26,110,13,0
95PP16,705,167,45,115,1,6,447,118,323,3,3,91,8,13,67,3,0
95PP17,1028,338,222,111,0,5,607,480,123,1,3,83,7,10,59,7,0
95PP18,1093,232,99,126,2,5,729,289,428,1,11,132,17,11,98,6,0
95PP19,933,256,190,58,1,7,617,494,119,0,4,60,11,3,44,2,0
95PP20,1379,526,287,222,5,12,688,413,249,5,21,165,17,32,106,10,0
95PP21,783,200,163,36,0,1,555,469,83,0,3,28,7,5,15,1,0
95PP22,1010,309,154,148,2,5,581,334,231,4,12,120,18,19,72,11,0
95PP23,898,199,111,84,1,3,627,299,320,2,6,72,7,10,55,0,0
95QQ01,707,263,69,182,4,8,346,66,273,0,7,98,5,32,52,9,0
95QQ02,996,223,6,201,3,13,625,8,600,2,15,148,5,86,47,9,1
95QQ03,507,168,38,125,2,3,267,52,202,1,12,72,3,21,42,6,0
95QQ04,692,190,62,123,0,5,389,91,286,2,10,113,7,33,61,12,0
95QQ05,1127,250,61,181,1,7,670,156,501,1,12,207,19,45,126,17,0
95QQ06,754,195,144,43,1,7,473,387,84,0,2,86,12,5,67,2,0
95QQ07,919,433,107,303,5,18,385,113,259,4,9,101,8,30,57,6,0
95QQ08,698,280,69,202,1,8,338,83,246,1,8,80,9,26,41,4,0
95QQ09,838,285,92,185,0,8,442,144,288,0,10,111,10,26,57,17,1
95QQ10,688,171,63,99,5,4,419,170,243,1,5,98,8,18,67,5,0
95QQ11,776,186,11,166,1,8,498,23,456,2,17,92,6,47,33,6,0
95QQ12,758,258,48,197,1,12,398,67,321,1,9,102,6,29,54,13,0
95QQ13,1031,234,11,207,3,13,636,7,589,2,38,161,8,88,52,12,1
95QQ14,2045,412,75,311,1,25,1247,156,1052,5,34,386,31,127,196,31,1
95QQ15,761,294,96,183,2,13,365,112,243,0,10,102,11,19,64,6,2
95RR01,1502,242,92,141,0,9,992,385,598,2,7,268,27,37,186,18,0
95RR02,647,141,66,71,0,4,390,193,196,0,1,116,5,11,90,9,1
95RR03,617,227,141,75,3,8,307,206,100,0,1,83,8,4,64,7,0
95RR04,752,192,174,15,1,2,520,507,11,0,2,40,11,1,25,3,0
95RR05,966,225,68,151,0,6,585,228,345,1,11,156,22,22,101,9,2
95RR06,708,138,111,27,0,0,531,475,55,0,1,39,7,2,30,0,0
