GeographyCode,QS107NI0001,QS107NI0002,QS107NI0003,QS107NI0004,QS107NI0005,QS107NI0006,QS107NI0007,QS107NI0008,QS107NI0009,QS107NI0010,QS107NI0011,QS107NI0012
95AA01,3194,2168,2000,144,2,22,1026,707,31,81,81,126
95AA02,1468,738,606,130,0,2,730,416,15,58,91,150
95AA03,1436,668,548,110,0,10,768,434,11,79,120,124
95AA04,2364,1484,1372,110,0,2,880,651,20,58,56,95
95AA05,2036,1238,1140,96,0,2,798,589,12,42,56,99
95AA06,3303,1882,1684,190,2,6,1421,986,27,143,99,166
95AA07,1693,1020,908,106,0,6,673,446,17,49,74,87
95AA08,1325,614,490,122,0,2,711,432,15,72,110,82
95AA09,1695,858,706,142,0,10,837,507,21,94,114,101
95AA10,1551,832,720,100,0,12,719,486,8,59,76,90
95AA11,3917,2482,2112,348,4,18,1435,956,34,123,142,180
95AA12,2162,1438,1348,80,2,8,724,509,15,27,50,123
95AA13,2490,1399,1210,181,0,8,1091,728,26,92,119,126
95AA14,1805,1146,1098,40,0,8,659,474,18,30,32,105
95AA15,3066,1792,1446,322,0,24,1274,850,35,126,175,88
95AA16,1463,728,592,122,0,14,735,444,9,68,116,98
95AA17,1669,880,738,128,0,14,789,500,14,65,125,85
95AA18,1997,1314,1200,104,2,8,683,430,19,40,64,130
95AA19,1964,1034,992,36,2,4,930,702,22,51,45,110
95BB01,2837,1806,1656,136,2,12,1031,716,19,63,96,137
95BB02,2007,980,842,130,2,6,1027,547,13,89,151,227
95BB03,3400,2124,1828,270,4,22,1276,732,41,91,172,240
95BB04,2578,1626,1498,116,2,10,952,576,23,55,118,180
95BB05,2759,1804,1642,156,2,4,955,617,29,63,95,151
95BB06,2484,1094,856,220,8,10,1390,765,24,111,220,270
95BB07,2388,1336,1110,212,0,14,1052,587,19,89,151,206
95BB08,2102,1272,1150,114,0,8,830,499,11,54,124,142
95BB09,2473,1562,1408,138,4,12,911,554,28,51,126,152
95BB10,2780,1666,1482,166,0,18,1114,624,35,88,162,205
95BB11,2428,1306,1168,130,2,6,1122,615,29,85,186,207
95BB12,2177,1244,1064,172,0,8,933,596,16,65,137,119
95BB13,3442,2178,1928,234,2,14,1264,838,23,86,160,157
95BB14,2505,1624,1472,132,4,16,881,572,19,38,88,164
