GeographyCode,QS214NI0001,QS214NI0002,QS214NI0003,QS214NI0004,QS214NI0005,QS214NI0006,QS214NI0007,QS214NI0008,QS214NI0009,QS214NI0010
95AA01,4202,115,49,6,2,13,1,129,14,3873
95AA02,1683,42,13,0,0,4,0,33,7,1584
95AA03,1736,26,8,1,1,3,2,17,2,1676
95AA04,2922,67,23,4,1,9,3,77,3,2735
95AA05,2586,161,58,11,0,13,4,153,23,2163
95AA06,4421,292,137,15,5,42,6,305,33,3586
95AA07,2070,30,7,5,0,3,1,13,0,2011
95AA08,1616,53,12,4,0,4,1,28,2,1512
95AA09,2105,40,12,0,0,2,2,13,7,2029
95AA10,1884,40,11,2,1,3,0,33,3,1791
95AA11,5109,141,34,13,1,6,0,98,8,4808
95AA12,2690,23,3,0,0,5,1,7,2,2649
95AA13,3147,164,59,16,6,12,9,160,12,2709
95AA14,2275,89,32,8,4,9,1,60,6,2066
95AA15,3906,98,37,8,2,20,5,57,7,3672
95AA16,1722,30,7,3,0,3,0,10,1,1668
95AA17,2044,52,15,5,3,6,5,29,2,1927
95AA18,2369,36,8,4,0,2,0,25,3,2291
95AA19,2555,238,73,16,3,22,12,157,25,2009
95BB01,3485,52,19,7,0,5,1,26,2,3373
95BB02,2280,59,7,0,0,3,0,14,0,2197
95BB03,4058,43,5,5,0,5,0,31,1,3968
95BB04,2959,36,9,2,0,1,1,8,2,2900
95BB05,3301,34,12,3,0,1,2,13,0,3236
95BB06,2778,52,8,1,0,10,1,21,2,2683
95BB07,2850,41,6,1,0,2,0,9,0,2791
95BB08,2508,32,7,1,0,2,5,19,3,2439
95BB09,2850,16,1,4,1,2,0,11,0,2815
95BB10,3242,40,13,6,1,5,1,32,4,3140
95BB11,2868,25,3,1,0,3,4,18,1,2813
95BB12,2651,35,5,2,2,4,0,16,0,2587
95BB13,4271,39,7,3,2,1,1,9,8,4201
95BB14,3036,26,7,1,1,0,0,24,4,2973
95BB15,3358,136,34,9,1,8,7,99,13,3051
95BB16,3052,27,5,4,0,5,1,12,3,2995
95BB17,3406,38,5,0,2,3,0,30,1,3327
95BB18,4094,28,9,6,0,0,0,26,1,4024
95BB19,4603,37,10,4,0,1,1,14,1,4535
95BB20,3297,189,41,9,5,19,7,125,32,2870
95BB21,4514,64,16,5,4,5,6,59,5,4350
95BB22,2911,20,3,3,1,1,3,37,1,2842
95BB23,2941,28,9,2,1,1,0,23,2,2875
95CC01,2462,200,58,19,2,18,5,212,35,1913
95CC02,2613,197,79,16,1,23,13,229,23,2032
95CC03,2649,222,57,18,5,26,5,214,30,2072
95CC04,2348,195,61,27,2,16,7,171,21,1848
95CC05,2655,180,60,12,2,22,7,178,15,2179
95CC06,2648,176,45,19,2,22,13,158,14,2199
95CC07,3309,270,99,18,4,27,18,223,39,2611
95CC08,2446,233,85,17,2,22,8,207,49,1823
95CC09,3220,39,9,3,0,4,2,30,2,3131
95CC10,2505,63,21,3,2,8,2,65,6,2335
95CC11,1732,161,49,9,7,14,4,88,12,1388
95CC12,2650,142,37,9,2,19,8,136,15,2282
95CC13,2365,165,39,15,0,10,5,135,10,1986
95CC14,2892,46,19,5,2,6,3,36,8,2767
95CC15,2781,108,46,10,0,21,1,107,12,2476
95CC16,2715,56,9,3,2,1,2,25,4,2613
95CC17,2609,209,54,16,2,20,6,203,17,2082
95CC18,2270,124,40,17,2,13,11,118,5,1940
95CC19,2599,83,24,10,1,12,2,100,8,2359
95CC20,2857,22,3,0,1,3,3,25,6,2794
95CC21,2791,43,9,6,2,5,2,35,9,2680
95CC22,1676,35,10,2,2,6,5,43,7,1566
95DD01,2053,36,6,0,1,2,0,14,5,1989
95DD02,3720,37,9,5,0,0,0,21,1,3647
95DD03,3354,63,19,11,2,5,3,36,3,3212
95DD04,1836,20,3,1,0,1,1,10,0,1800
95DD05,1665,38,2,3,4,0,1,11,2,1604
95DD06,2537,46,12,6,2,8,0,24,3,2436
95DD07,3214,38,9,8,0,4,0,10,2,3143
95DD08,2051,82,25,5,0,12,1,49,4,1873
95DD09,2506,23,6,0,0,5,0,15,1,2456
95DD10,2710,21,5,2,0,1,0,19,1,2661
95DD11,2215,92,25,7,0,3,2,45,9,2032
95DD12,2506,45,17,3,0,3,0,41,2,2395
95DD13,1709,54,26,9,0,13,3,47,5,1552
95DD14,3177,31,9,2,0,2,2,21,3,3107
95DD15,3295,193,60,13,1,21,1,131,26,2849
95DD16,2892,57,11,3,1,2,0,24,1,2793
95DD17,3317,155,49,7,2,12,4,90,11,2987
95DD18,1822,22,6,1,0,3,2,9,0,1779
95DD19,3213,33,7,0,1,6,1,19,1,3145
95DD20,1688,28,7,0,0,1,0,14,1,1637
95DD21,2055,58,30,5,1,7,2,40,5,1907
95DD22,3012,128,35,7,2,14,3,76,9,2738
95DD23,2438,33,4,5,0,3,5,19,1,2368
95DD24,2616,172,49,9,4,14,5,115,18,2230
95EE01,1821,141,57,4,1,13,3,95,23,1484
95EE02,2004,21,12,0,0,4,2,20,1,1944
95EE03,1924,35,8,4,1,2,0,11,0,1863
95EE04,1923,61,24,4,0,6,4,47,12,1765
95EE05,1454,14,4,5,0,4,1,11,1,1414
95EE06,2178,170,62,4,4,13,8,131,35,1751
95EE07,1723,27,7,1,0,2,1,27,3,1655
95EE08,1678,22,7,0,0,0,1,19,2,1627
95EE09,1818,72,29,6,0,11,2,76,9,1613
95EE10,1706,94,58,1,0,11,1,104,18,1419
95EE11,1615,70,19,0,0,6,2,43,17,1458
95EE12,2376,61,20,4,0,4,0,11,4,2272
95EE13,1472,33,9,2,0,4,0,24,6,1394
95EE14,2565,56,9,4,1,2,0,22,2,2469
95EE15,1651,27,5,3,0,0,2,9,4,1601
95EE16,2029,47,21,5,4,5,0,60,5,1882
95FF01,4566,120,47,12,3,18,8,124,5,4229
95FF02,2659,139,50,5,1,9,5,79,19,2352
95FF03,2850,82,15,3,1,9,2,59,7,2672
95FF04,2512,97,26,12,2,17,6,70,9,2273
95FF05,2442,40,11,8,0,4,0,30,0,2349
95FF06,3918,53,14,7,1,4,1,26,3,3809
95FF07,2616,102,19,8,2,10,1,89,15,2370
95FF08,2277,41,9,5,1,8,0,51,5,2157
95FF09,2421,62,18,3,3,7,6,48,8,2266
95FF10,3297,27,11,1,1,2,1,51,3,3200
95FF11,2466,46,15,6,2,7,3,55,5,2327
95FF12,2614,142,30,4,2,7,8,91,17,2313
95FF13,2583,75,18,7,2,11,1,64,13,2392
95FF14,2362,31,7,3,0,4,0,21,0,2296
95FF15,2593,88,31,2,3,16,3,82,4,2364
95FF16,2279,57,9,9,0,4,0,38,8,2154
95FF17,1657,37,18,2,1,4,3,27,3,1562
95GG01,4771,416,259,21,5,45,9,482,61,3473
95GG02,5669,411,227,15,11,48,12,464,85,4396
95GG03,5714,105,30,17,1,6,6,92,7,5450
95GG04,4662,237,109,12,6,29,4,245,23,3997
95GG05,5692,372,104,42,6,39,12,407,40,4670
95GG06,5391,73,21,0,3,10,2,49,7,5226
95GG07,5223,405,218,17,3,51,15,508,69,3937
95GG08,4655,242,120,17,4,38,2,238,33,3961
95GG09,5904,65,11,8,1,3,1,48,9,5758
95GG10,3857,56,19,7,0,7,3,44,1,3720
95GG11,5224,83,23,18,1,11,0,79,9,5000
95GG12,8735,644,212,75,15,66,33,871,83,6736
95GG13,4527,199,69,16,1,14,4,182,25,4017
95GG14,4653,280,97,21,3,21,9,307,41,3874
95GG15,5715,82,24,13,4,10,3,52,7,5520
95GG16,5210,406,184,35,11,40,18,427,68,4021
95GG17,5085,330,156,24,9,30,20,396,32,4088
95GG18,4720,360,177,28,9,36,8,429,42,3631
95GG19,4386,81,14,6,3,4,2,59,8,4209
95GG20,4659,136,43,13,3,16,6,133,8,4301
95GG21,4953,324,144,17,0,29,4,305,45,4085
95GG22,5147,524,271,26,7,37,14,580,52,3636
