GeographyCode,QS219NI0001,QS219NI0002,QS219NI0003,QS219NI0004,QS219NI0005,QS219NI0006,QS219NI0007,QS219NI0008,QS219NI0009
95AA01,1522,426,365,176,32,165,17,263,78
95AA02,839,223,249,160,12,30,3,86,76
95AA03,845,60,341,162,26,58,8,123,67
95AA04,1014,232,424,106,23,61,7,111,50
95AA05,920,495,185,69,3,43,4,56,65
95AA06,1570,1090,112,126,5,31,3,94,109
95AA07,820,96,405,124,4,75,5,61,50
95AA08,699,268,170,72,6,26,4,90,63
95AA09,943,158,301,169,25,50,9,143,88
95AA10,792,296,187,85,22,45,8,103,46
95AA11,1993,678,476,273,43,96,20,281,126
95AA12,971,37,545,132,14,81,5,110,47
95AA13,1239,747,187,81,6,38,4,82,94
95AA14,779,234,308,64,9,62,5,53,44
95AA15,1595,618,335,171,25,85,29,248,84
95AA16,832,127,298,168,15,52,6,111,55
95AA17,855,264,171,139,18,43,11,132,77
95AA18,1004,100,443,159,23,71,17,131,60
95AA19,832,712,31,14,0,13,0,16,46
95BB01,1307,133,609,162,51,116,15,158,63
95BB02,1126,78,435,206,56,85,12,160,94
95BB03,1776,77,677,404,69,174,20,261,94
95BB04,1307,78,514,219,86,120,9,188,93
95BB05,1318,35,569,261,49,120,15,189,80
95BB06,1518,137,598,222,67,105,29,241,119
95BB07,1315,42,605,197,68,105,14,196,88
95BB08,1068,48,513,159,52,77,12,150,57
95BB09,1253,45,573,196,47,98,4,221,69
95BB10,1509,71,518,323,114,91,18,279,95
95BB11,1338,49,521,299,86,84,12,204,83
95BB12,1130,99,410,191,60,80,16,196,78
95BB13,1687,89,657,282,98,151,21,292,97
95BB14,1172,45,513,207,29,66,17,237,58
95BB15,1287,648,210,122,20,46,6,147,88
95BB16,1176,40,558,208,33,80,6,187,64
95BB17,1399,72,517,236,69,129,8,281,87
95BB18,1638,54,660,287,102,148,14,273,100
95BB19,1724,106,662,299,121,168,11,271,86
95BB20,1290,937,74,69,22,17,4,101,66
95BB21,1821,165,614,269,107,260,18,272,116
95BB22,1194,38,477,222,54,100,4,215,84
95BB23,1161,80,425,189,79,116,14,191,67
95CC01,904,766,14,8,1,10,4,33,68
95CC02,875,551,69,114,17,28,2,43,51
95CC03,1127,863,21,45,4,16,8,60,110
95CC04,790,506,135,45,0,25,2,19,58
95CC05,954,568,83,139,22,29,5,34,74
95CC06,1096,507,172,193,13,44,8,73,86
95CC07,1108,823,87,27,2,21,2,32,114
95CC08,990,831,5,8,0,9,3,27,107
95CC09,1190,74,405,368,53,140,7,73,70
95CC10,901,150,187,271,66,125,7,58,37
95CC11,786,644,12,3,1,5,0,18,103
95CC12,890,361,243,141,8,45,4,34,54
95CC13,817,381,158,160,8,36,6,24,44
95CC14,1132,89,268,425,56,140,12,92,50
95CC15,1007,347,108,296,58,84,4,55,55
95CC16,1076,153,407,259,12,111,7,64,63
95CC17,897,565,109,93,2,39,7,28,54
95CC18,937,450,106,186,14,45,8,66,62
95CC19,981,308,274,175,10,102,3,53,56
95CC20,1127,51,310,386,108,109,8,100,55
95CC21,1167,128,282,391,69,117,5,107,68
95CC22,842,150,164,306,16,56,10,73,67
95DD01,836,114,389,122,21,72,7,67,44
95DD02,1490,58,785,223,26,197,12,123,66
