GeographyCode,QS117NI0001,QS117NI0002,QS117NI0003,QS117NI0004,QS117NI0005,QS117NI0006
95AA01,1215,572,246,257,106,34
95AA02,480,302,89,62,21,6
95AA03,511,266,118,86,29,12
95AA04,835,446,145,152,66,26
95AA05,724,371,137,125,65,26
95AA06,1215,464,256,296,151,48
95AA07,619,357,100,110,46,6
95AA08,472,249,108,73,33,9
95AA09,624,327,151,90,47,9
95AA10,589,332,109,104,30,14
95AA11,1468,703,327,323,94,21
95AA12,790,394,150,160,78,8
95AA13,898,424,195,175,80,24
95AA14,654,374,102,96,58,24
95AA15,1184,538,301,231,87,27
95AA16,493,263,110,86,26,8
95AA17,612,311,141,108,32,20
95AA18,736,493,84,111,36,12
95AA19,669,286,146,125,69,43
95BB01,1048,549,212,192,79,16
95BB02,670,425,138,74,25,8
95BB03,1278,751,234,211,64,18
95BB04,940,634,145,120,34,7
95BB05,1028,627,158,172,55,16
95BB06,786,492,177,82,28,7
95BB07,869,512,191,121,31,14
95BB08,775,440,148,135,40,12
95BB09,904,584,159,132,21,8
95BB10,977,631,170,122,41,13
95BB11,849,509,172,119,39,10
95BB12,826,446,189,110,53,28
95BB13,1342,689,279,257,92,25
95BB14,912,547,130,164,59,12
95BB15,971,501,197,153,84,36
95BB16,945,571,139,172,55,8
95BB17,1061,532,226,224,63,16
95BB18,1248,666,224,253,78,27
95BB19,1425,724,289,315,72,25
95BB20,908,483,169,157,76,23
95BB21,1368,722,275,241,93,37
95BB22,861,378,208,183,68,24
95BB23,924,589,142,146,37,10
95CC01,649,305,177,110,40,17
95CC02,699,358,122,118,61,40
95CC03,741,311,202,149,54,25
95CC04,604,297,103,99,65,40
95CC05,715,352,123,118,80,42
95CC06,791,422,155,137,60,17
95CC07,868,364,168,174,109,53
95CC08,688,307,203,94,61,23
95CC09,937,508,145,186,81,17
95CC10,703,415,110,101,60,17
95CC11,480,278,105,55,24,18
95CC12,713,341,116,138,81,37
95CC13,647,345,94,115,57,36
95CC14,878,470,146,171,72,19
95CC15,788,385,151,149,72,31
95CC16,752,358,168,118,77,31
95CC17,712,344,143,119,78,28
95CC18,639,352,135,87,53,12
95CC19,726,360,128,141,59,38
95CC20,845,434,170,159,55,27
95CC21,845,473,151,138,62,21
95CC22,452,270,102,42,23,15
95DD01,629,420,81,77,41,10
95DD02,1131,581,240,224,68,18
95DD03,1054,586,225,162,63,18
95DD04,545,277,134,82,40,12
95DD05,505,246,122,87,38,12
95DD06,756,499,110,108,31,8
95DD07,997,577,184,170,53,13
95DD08,525,327,107,67,16,8
95DD09,748,438,104,130,58,18
95DD10,803,463,178,106,45,11
95DD11,640,268,160,127,61,24
95DD12,734,406,132,113,53,30
95DD13,457,241,102,71,33,10
95DD14,968,530,181,172,67,18
95DD15,928,458,167,161,99,43
95DD16,818,462,132,138,60,26
95DD17,949,489,160,169,95,36
95DD18,543,370,95,54,19,5
95DD19,977,525,192,177,67,16
95DD20,486,289,107,57,20,13
95DD21,632,357,143,90,32,10
95DD22,853,461,166,145,54,27
95DD23,716,403,113,147,44,9
95DD24,779,416,157,137,50,19
95EE01,497,237,84,93,56,27
95EE02,596,329,97,116,38,16
95EE03,567,303,121,94,44,5
95EE04,560,320,93,91,38,18
95EE05,438,271,67,65,19,16
95EE06,566,227,127,124,55,33
95EE07,521,272,106,103,32,8
95EE08,479,308,76,66,21,8
95EE09,506,265,87,93,49,12
95EE10,475,246,85,82,45,17
95EE11,471,279,69,67,30,26
95EE12,716,344,181,144,37,10
95EE13,398,247,58,60,22,11
95EE14,791,409,161,155,48,18
95EE15,471,254,81,84,37,15
95EE16,571,287,95,117,50,22
95FF01,1383,655,294,319,89,26
95FF02,723,350,113,140,81,39
95FF03,880,413,231,153,65,18
95FF04,727,392,116,116,77,26
95FF05,730,393,159,126,35,17
95FF06,1154,538,241,261,90,24
95FF07,781,356,191,159,57,18
95FF08,627,333,131,115,37,11
