GeographyCode,QS102NI0001,QS102NI0002,QS102NI0003
95AA01,4444,7015,0.63
95AA02,1734,240,7.21
95AA03,1822,56,32.76
95AA04,3013,8018,0.38
95AA05,2701,2549,1.06
95AA06,4647,1258,3.69
95AA07,2140,2349,0.91
95AA08,1698,402,4.22
95AA09,2220,95,23.44
95AA10,1953,57,34.47
95AA11,5364,512,10.48
95AA12,2775,6509,0.43
95AA13,3307,1703,1.94
95AA14,2349,5211,0.45
95AA15,4186,434,9.65
95AA16,1807,41,43.62
95AA17,2142,53,40.09
95AA18,2439,2029,1.20
95AA19,2687,3522,0.76
95BB01,3609,1552,2.33
95BB02,2347,1018,2.31
95BB03,4219,3284,1.28
95BB04,3048,1036,2.94
95BB05,3401,5017,0.68
95BB06,2870,230,12.47
95BB07,2953,448,6.59
95BB08,2625,364,7.21
95BB09,2943,656,4.49
95BB10,3327,1683,1.98
95BB11,2955,188,15.68
95BB12,2776,462,6.01
95BB13,4444,265,16.78
95BB14,3116,4053,0.77
95BB15,3489,3903,0.89
95BB16,3136,3812,0.82
95BB17,3556,2047,1.74
95BB18,4279,1520,2.81
95BB19,4788,145,33.08
95BB20,3413,3052,1.12
95BB21,4719,2294,2.06
95BB22,3040,420,7.23
95BB23,3025,270,11.21
95CC01,2558,347,7.37
95CC02,2725,6137,0.44
95CC03,2817,139,20.32
95CC04,2440,6225,0.39
95CC05,2774,3430,0.81
95CC06,2776,340,8.15
95CC07,3475,6904,0.50
95CC08,2565,153,16.73
95CC09,3354,5460,0.61
95CC10,2577,4165,0.62
95CC11,1795,100,17.90
95CC12,2785,6208,0.45
95CC13,2474,6376,0.39
95CC14,3035,1525,1.99
95CC15,2903,3264,0.89
95CC16,2820,3174,0.89
95CC17,2730,4432,0.62
95CC18,2342,418,5.60
95CC19,2720,5942,0.46
95CC20,3010,509,5.91
95CC21,2925,1476,1.98
95CC22,1740,105,16.59
95DD01,2099,221,9.50
95DD02,3888,1118,3.48
95DD03,3503,343,10.20
95DD04,1926,152,12.66
95DD05,1739,109,16.01
95DD06,2588,98,26.41
95DD07,3363,1198,2.81
95DD08,2126,113,18.78
95DD09,2590,6043,0.43
95DD10,2805,485,5.78
95DD11,2363,71,33.47
95DD12,2610,5276,0.49
95DD13,1784,64,27.78
95DD14,3277,1007,3.26
95DD15,3451,8969,0.38
95DD16,2981,11579,0.26
95DD17,3461,5840,0.59
95DD18,1885,289,6.52
95DD19,3364,2178,1.54
95DD20,1746,44,39.61
95DD21,2139,96,22.24
95DD22,3136,3937,0.80
95DD23,2509,13584,0.18
95DD24,2711,163,16.66
95EE01,1895,8145,0.23
95EE02,2095,3604,0.58
95EE03,1999,89,22.43
95EE04,1993,2414,0.83
95EE05,1509,3882,0.39
95EE06,2278,2240,1.02
95EE07,1798,221,8.15
95EE08,1719,93,18.42
95EE09,1890,4008,0.47
95EE10,1797,2412,0.74
95EE11,1677,4971,0.34
95EE12,2507,61,41.07
95EE13,1529,263,5.81
95EE14,2684,1883,1.43
95EE15,1728,4010,0.43
95EE16,2126,3484,0.61
95FF01,4796,795,6.03
95FF02,2817,8671,0.32
95FF03,3006,132,22.86
95FF04,2629,7106,0.37
95FF05,2563,347,7.38
95FF06,4116,1211,3.40
95FF07,2769,92,30.19
95FF08,2364,124,19.13
95FF09,2522,1548,1.63
95FF10,3473,5154,0.67
95FF11,2582,7134,0.36
95FF12,2724,2760,0.99
95FF13,2708,4176,0.65
95FF14,2432,4857,0.50
95FF15,2740,612,4.48
95FF16,2374,391,6.08
95FF17,1724,76,22.73
95GG01,4907,108,45.48
95GG02,5987,58,102.71
95GG03,5939,115,51.58
95GG04,4908,74,66.53
95GG05,5928,64,92.89
95GG06,5626,111,50.52
95GG07,5485,84,65.34
95GG08,4910,296,16.57
95GG09,6165,179,34.49
95GG10,3998,192,20.77
95GG11,5453,74,73.47
95GG12,8945,125,71.77
95GG13,4722,141,33.51
95GG14,4820,341,14.14
95GG15,5920,199,29.75
95GG16,5452,95,57.45
95GG17,5330,118,45.07
95GG18,4975,59,84.17
95GG19,4582,83,55.43
95GG20,4901,627,7.82
95GG21,5184,120,43.20
95GG22,5343,235,22.74
95GG23,4555,258,17.65
95GG24,4561,103,44.08
95GG25,5573,157,35.40
95GG26,3749,410,9.15
95GG27,6498,954,6.81
95GG28,5651,269,20.98
95GG29,5014,294,17.05
95GG30,4827,112,43.13
95GG31,6519,129,50.64
95GG32,6409,882,7.26
95GG33,5555,218,25.48
95GG34,4927,178,27.70
95GG35,4950,72,69.13
95GG36,5619,146,38.48
95GG37,6041,182,33.11
95GG38,6564,156,42.16
95GG39,7214,216,33.39
95GG40,3816,93,41.17
95GG41,5548,704,7.88
95GG42,8139,244,33.42
95GG43,4874,520,9.37
95GG44,5591,75,74.90
95GG45,4841,423,11.43
95GG46,5250,250,20.98
95GG47,5829,117,49.66
95GG48,5694,78,73.13
95GG49,8141,92,88.63
95GG50,5445,53,102.05
95GG51,4088,57,71.46
95HH01,2059,237,8.69
95HH02,2962,92,32.17
95HH03,1663,57,29.43
95HH04,3067,115,26.77
95HH05,2171,52,41.66
95HH06,4797,2165,2.22
95HH07,1493,34,44.54
95HH08,2619,453,5.78
95HH09,2620,100,26.21
95HH10,2489,317,7.84
95HH11,1417,81,17.46
95HH12,1552,38,40.54
95HH13,1407,19,74.29
95HH14,1530,32,47.99
95HH15,2630,110,23.89
95HH16,2159,646,3.34
95HH17,2479,3551,0.70
95II01,3084,1054,2.93
95II02,4961,382,13.00
95II03,3523,91,38.68
95II04,4317,748,5.77
95II05,3546,407,8.72
95II06,3398,423,8.03
95II07,2090,33,63.92
95II08,2417,44,54.57
95II09,3363,218,15.44
95II10,2592,52,49.74
95II11,2567,105,24.41
95II12,2512,81,31.09
95II13,2702,92,29.27
95II14,2561,153,16.78
95II15,3357,108,31.02
95II16,2126,97,21.81
95II17,2493,89,27.97
95II18,2226,147,15.19
95II19,3770,3615,1.04
95II20,2780,176,15.83
95II21,2419,51,47.61
95II22,2248,282,7.97
95II23,2190,49,44.31
95JJ01,2499,6733,0.37
95JJ02,2374,454,5.22
95JJ03,2470,92,26.75
95JJ04,3111,2848,1.09
95JJ05,1835,107,17.16
95JJ06,2472,127,19.40
95JJ07,2665,126,21.17
95JJ08,3276,4726,0.69
95JJ09,1990,4775,0.42
95JJ10,2795,5330,0.52
95JJ11,3770,209,18.05
95JJ12,2724,2629,1.04
95JJ13,3895,296,13.16
95JJ14,2325,7264,0.32
95JJ15,1879,186,10.12
95JJ16,1799,79,22.80
95JJ17,2455,10719,0.23
95JJ18,2032,391,5.20
95JJ19,2942,298,9.86
95JJ20,4092,460,8.90
95JJ21,2873,217,13.22
95JJ22,2794,232,12.02
95KK01,2578,2086,1.24
95KK02,2029,2896,0.70
95KK03,2357,9803,0.24
95KK04,2787,185,15.10
95KK05,2616,4010,0.65
95KK06,1885,190,9.93
95KK07,2045,7236,0.28
95KK08,2646,2197,1.20
95KK09,2187,213,10.26
95KK10,2181,5291,0.41
95KK11,2373,82,29.04
95KK12,2309,3905,0.59
95KK13,1817,4020,0.45
95KK14,2041,4298,0.47
95KK15,2946,4792,0.61
95KK16,2216,108,20.52
95LL01,4931,4641,1.06
95LL02,3042,944,3.22
95LL03,2436,651,3.74
95LL04,2985,990,3.02
95LL05,4119,1741,2.37
95LL06,3372,735,4.58
95LL07,2131,55,38.42
95LL08,3320,108,30.73
95LL09,3150,126,25.06
95LL10,5475,3331,1.64
95LL11,3989,3343,1.19
95LL12,4212,289,14.60
95LL13,2745,262,10.49
95LL14,2651,43,61.96
95LL15,3048,171,17.78
95LL16,6107,1706,3.58
95LL17,2539,91,27.86
95LL18,3351,202,16.58
95LL19,5148,1787,2.88
95LL20,2401,75,32.02
95LL21,3983,255,15.60
95LL22,3728,110,33.92
95LL23,2157,53,40.62
95LL24,3769,4852,0.78
95LL25,4536,1174,3.86
95LL26,3698,140,26.49
95MM01,4862,316,15.39
95MM02,3244,225,14.41
95MM03,3508,12113,0.29
95MM04,2151,42,51.80
95MM05,2495,63,39.50
95MM06,2603,92,28.34
95MM07,2601,105,24.88
95MM08,2947,119,24.77
95MM09,3562,8257,0.43
95MM10,2750,89,30.99
95MM11,2277,77,29.45
95MM12,5858,2472,2.37
95MM13,8872,952,9.32
95MM14,2569,120,21.36
95MM15,4401,2888,1.52
95MM16,5745,2917,1.97
95MM17,3749,92,40.76
95MM18,5180,5192,1.00
95MM19,3044,83,36.88
95MM20,3366,79,42.44
95MM21,3406,439,7.76
95MM22,2492,164,15.16
95MM23,2521,42,59.36
95MM24,2503,42,59.10
95MM25,6363,584,10.89
95MM26,3131,111,28.30
95MM27,3833,90,42.56
95MM28,2351,56,42.17
95MM29,3410,94,36.39
95MM30,2083,31,67.03
95NN01,3178,3477,0.91
95NN02,2211,183,12.11
95NN03,2896,517,5.60
95NN04,2934,359,8.16
95NN05,2497,208,11.99
95NN06,3542,2256,1.57
95NN07,3258,560,5.82
95NN08,3269,3192,1.02
95NN09,3021,5666,0.53
95NN10,3193,1001,3.19
95NN11,3876,3503,1.11
95NN12,2851,2402,1.19
95NN13,3058,4559,0.67
95NN14,3559,5844,0.61
95NN15,2994,539,5.56
95NN16,3294,5990,0.55
95NN17,2256,1212,1.86
95NN18,2702,1248,2.16
95NN19,3381,1395,2.42
95NN20,3001,7300,0.41
95NN21,2687,134,19.99
95NN22,2686,6057,0.44
95NN23,3387,6806,0.50
95OO01,2592,6051,0.43
95OO02,2166,7171,0.30
95OO03,2651,6985,0.38
95OO04,2515,5704,0.44
95OO05,2730,255,10.70
95OO06,2860,4107,0.70
95OO07,2510,7995,0.31
95OO08,2713,3900,0.70
95OO09,2252,10441,0.22
95OO10,3530,1102,3.20
95OO11,2485,411,6.05
95OO12,2803,922,3.04
95OO13,2716,232,11.73
95OO14,2588,2765,0.94
95OO15,2357,472,4.99
95OO16,2114,7814,0.27
95OO17,2724,3512,0.78
95OO18,2891,602,4.80
95OO19,3009,2659,1.13
95OO20,2189,602,3.64
95OO21,2351,402,5.85
95OO22,3106,3029,1.03
95PP01,2586,4452,0.58
95PP02,2541,18595,0.14
95PP03,2540,13610,0.19
95PP04,3185,13853,0.23
95PP05,2367,12250,0.19
95PP06,3876,674,5.75
95PP07,2812,13454,0.21
95PP08,2678,9580,0.28
95PP09,1707,287,5.94
95PP10,2387,10049,0.24
95PP11,2627,653,4.02
95PP12,2630,16271,0.16
95PP13,2588,1718,1.51
95PP14,3652,9612,0.38
95PP15,3190,4979,0.64
95PP16,1908,5424,0.35
95PP17,2580,559,4.62
95PP18,3131,7814,0.40
95PP19,2502,8556,0.29
95PP20,3117,345,9.03
95PP21,2167,9450,0.23
95PP22,2444,568,4.30
95PP23,2590,9013,0.29
95QQ01,1483,55,26.85
95QQ02,2582,3033,0.85
95QQ03,1096,29,38.02
95QQ04,1635,86,19.12
95QQ05,2875,902,3.19
95QQ06,2041,5787,0.35
95QQ07,1817,98,18.50
95QQ08,1455,27,53.39
95QQ09,1916,121,15.79
95QQ10,1851,10703,0.17
95QQ11,2027,3268,0.62
95QQ12,1811,146,12.41
95QQ13,2568,2655,0.97
95QQ14,5430,6540,0.83
95QQ15,1593,45,35.14
95RR01,4367,7606,0.57
95RR02,1753,2051,0.85
95RR03,1422,80,17.74
95RR04,2022,228,8.86
95RR05,2487,74,33.46
95RR06,2206,9459,0.23
95RR07,2449,3894,0.63
95RR08,2106,5601,0.38
95RR09,3671,1961,1.87
95RR10,1338,31,43.07
95RR11,2407,7827,0.31
95RR12,1452,78,18.53
95RR13,1429,132,10.80
95RR14,1969,5727,0.34
95RR15,2458,13775,0.18
95SS01,5128,5770,0.89
95SS02,4287,192,22.31
95SS03,3372,6915,0.49
95SS04,7572,1395,5.43
95SS05,3375,892,3.78
95SS06,5899,944,6.25
95SS07,9464,519,18.23
95SS08,4698,4485,1.05
95SS09,3364,2536,1.33
95SS10,4379,147,29.88
95SS11,5697,7534,0.76
95SS12,3054,91,33.52
95SS13,2904,108,26.93
95SS14,2905,687,4.23
95SS15,3758,2962,1.27
95SS16,3164,100,31.62
95SS17,4298,430,9.99
95SS18,3053,106,28.83
95SS19,2737,419,6.52
95SS20,2605,70,37.35
95SS21,4716,3902,1.21
95SS22,3290,169,19.42
95SS23,3816,1566,2.44
95SS24,5139,1727,2.97
95SS25,2589,75,34.38
95SS26,3781,76,50.03
95SS27,2502,93,26.85
95SS28,2594,50,51.43
95SS29,2647,61,43.45
95SS30,3378,174,19.38
95TT01,2748,3384,0.81
95TT02,2685,2646,1.01
95TT03,3329,1436,2.32
95TT04,2984,5271,0.57
95TT05,3079,190,16.16
95TT06,2723,3636,0.75
95TT07,2747,4132,0.66
95TT08,2724,6618,0.41
95TT09,2917,8191,0.36
95TT10,2852,190,15.01
95TT11,3291,6898,0.48
95TT12,2641,6069,0.44
95TT13,2918,117,24.95
95TT14,2211,163,13.59
95TT15,2498,3733,0.67
95TT16,2691,3667,0.73
95UU01,1097,2789,0.39
95UU02,1043,1248,0.84
95UU03,879,1672,0.53
95UU04,738,855,0.86
95UU05,993,3089,0.32
95UU06,1452,83,17.44
95UU07,813,3741,0.22
95UU08,1205,1587,0.76
95UU09,1690,5286,0.32
95UU10,1216,8927,0.14
95UU11,993,12055,0.08
95UU12,1354,63,21.58
95UU13,897,3832,0.23
95UU14,1732,166,10.44
95UU15,948,3990,0.24
95VV01,3211,3864,0.83
95VV02,2192,139,15.82
95VV03,2579,616,4.19
95VV04,3138,6407,0.49
95VV05,4506,4554,0.99
95VV06,3482,3775,0.92
95VV07,4393,252,17.42
95VV08,3088,5939,0.52
95VV09,2665,1834,1.45
95VV10,3155,152,20.69
95VV11,4458,1483,3.01
95VV12,3195,731,4.37
95VV13,3473,6566,0.53
95VV14,3352,204,16.40
95VV15,3098,151,20.56
95VV16,3110,2581,1.20
95VV17,4356,4361,1.00
95VV18,3687,624,5.91
95VV19,2983,449,6.65
95VV20,2990,7940,0.38
95VV21,4037,5488,0.74
95VV22,2836,7732,0.37
95VV23,2893,3222,0.90
95VV24,3067,127,24.11
95VV25,3770,5675,0.66
95VV26,3583,7807,0.46
95VV27,2284,197,11.61
95VV28,3530,166,21.21
95VV29,3366,6482,0.52
95VV30,3003,156,19.22
95WW01,2814,182,15.50
95WW02,3851,182,21.17
95WW03,3638,179,20.33
95WW04,2866,52,55.25
95WW05,2772,88,31.57
95WW06,3147,4528,0.70
95WW07,4255,2534,1.68
95WW08,2559,47,54.53
95WW09,2534,83,30.58
95WW10,2946,332,8.86
95WW11,3078,437,7.04
95WW12,2409,47,50.90
95WW13,3674,2707,1.36
95WW14,2262,64,35.09
95WW15,3316,88,37.71
95WW16,2965,52,57.27
95WW17,2266,74,30.46
95WW18,2237,54,41.81
95WW19,6225,186,33.44
95WW20,8338,2356,3.54
95WW21,3543,144,24.53
95WW22,2985,140,21.30
95WW23,4894,195,25.14
95WW24,3494,197,17.71
95WW25,2071,69,30.01
95XX01,5294,150,35.36
95XX02,2652,78,34.03
95XX03,2721,226,12.06
95XX04,3682,79,46.38
95XX05,2627,168,15.61
95XX06,3778,145,26.12
95XX07,2845,112,25.49
95XX08,2590,68,38.00
95XX09,2817,79,35.45
95XX10,4894,634,7.72
95XX11,6263,894,7.01
95XX12,2540,1898,1.34
95XX13,2770,642,4.31
95XX14,2477,631,3.93
95XX15,2449,83,29.63
95XX16,3005,736,4.08
95XX17,3022,71,42.43
95XX18,3012,176,17.10
95XX19,2675,444,6.02
95XX20,3434,339,10.12
95XX21,2846,162,17.52
95XX22,2215,48,45.73
95XX23,3155,56,56.67
95XX24,2705,102,26.41
95XX25,2469,48,51.57
95YY01,2508,6099,0.41
95YY02,2283,173,13.21
95YY03,3177,8765,0.36
95YY04,3489,219,15.90
95YY05,1675,142,11.76
95YY06,2394,4026,0.59
95YY07,2916,7278,0.40
95YY08,2231,13315,0.17
95YY09,2315,404,5.72
95YY10,2142,9429,0.23
95YY11,2046,3876,0.53
