ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC2211NI0001,Count,PERSONS,"All categories: Knowledge of Irish, All categories: Religion Brought Up In"
LC2211NI0002,Count,PERSONS,"All categories: Knowledge of Irish, Catholic"
LC2211NI0003,Count,PERSONS,"All categories: Knowledge of Irish, Protestant and Other Christian (including Christian related)"
LC2211NI0004,Count,PERSONS,"All categories: Knowledge of Irish, Other religions and none"
LC2211NI0005,Count,PERSONS,"Some ability in Irish, All categories: Religion Brought Up In"
LC2211NI0006,Count,PERSONS,"Some ability in Irish, Catholic"
LC2211NI0007,Count,PERSONS,"Some ability in Irish, Protestant and Other Christian (including Christian related)"
LC2211NI0008,Count,PERSONS,"Some ability in Irish, Other religions and none"
LC2211NI0009,Count,PERSONS,"No ability in Irish, All categories: Religion Brought Up In"
LC2211NI0010,Count,PERSONS,"No ability in Irish, Catholic"
LC2211NI0011,Count,PERSONS,"No ability in Irish, Protestant and Other Christian (including Christian related)"
LC2211NI0012,Count,PERSONS,"No ability in Irish, Other religions and none"
