GeographyCode,LC6502NI0001,LC6502NI0002,LC6502NI0003,LC6502NI0004,LC6502NI0005,LC6502NI0006,LC6502NI0007,LC6502NI0008,LC6502NI0009,LC6502NI0010,LC6502NI0011,LC6502NI0012,LC6502NI0013,LC6502NI0014,LC6502NI0015,LC6502NI0016,LC6502NI0017,LC6502NI0018,LC6502NI0019,LC6502NI0020,LC6502NI0021,LC6502NI0022,LC6502NI0023,LC6502NI0024,LC6502NI0025,LC6502NI0026,LC6502NI0027,LC6502NI0028,LC6502NI0029,LC6502NI0030,LC6502NI0031,LC6502NI0032,LC6502NI0033,LC6502NI0034,LC6502NI0035
N00000124,259,47,20,34,34,101,23,116,4,6,10,12,79,5,63,18,9,11,8,12,5,56,17,5,8,8,9,9,24,8,0,5,6,1,4
N00000125,322,83,31,57,45,80,26,81,3,0,6,4,66,2,98,24,14,22,17,6,15,88,39,14,11,10,5,9,55,17,3,18,14,3,0
N00000126,322,77,38,54,46,77,30,68,1,1,6,5,53,2,78,18,11,12,11,11,15,111,36,14,23,15,11,12,65,22,12,13,15,2,1
N00000127,264,68,42,48,29,56,21,51,2,2,9,5,31,2,74,10,20,16,12,10,6,104,42,15,14,7,13,13,35,14,5,9,5,2,0
N00000128,738,196,77,125,89,174,77,181,8,8,14,20,119,12,175,50,17,40,19,26,23,231,72,42,35,27,17,38,151,66,10,36,23,12,4
N00000129,242,115,37,33,19,20,18,23,2,6,2,5,8,0,36,13,7,7,1,4,4,128,68,22,11,8,8,11,55,32,2,13,5,0,3
N00000130,340,43,41,84,57,91,24,116,6,10,18,15,65,2,84,8,15,27,11,19,4,89,15,14,23,17,5,15,51,14,2,16,14,2,3
N00000131,303,41,37,48,51,100,26,104,3,8,6,11,67,9,89,13,10,18,18,20,10,80,21,17,13,13,9,7,30,4,2,11,9,4,0
N00000132,264,55,32,41,42,74,20,74,1,2,7,9,54,1,98,23,18,14,12,16,15,61,18,9,15,11,4,4,31,13,3,5,10,0,0
N00000133,236,54,34,29,36,56,27,60,6,1,4,7,37,5,61,6,8,13,12,11,11,90,36,21,7,11,5,10,25,6,4,5,6,3,1
N00000134,332,52,46,60,55,87,32,102,3,9,9,13,60,8,112,14,19,28,24,17,10,87,28,16,12,14,6,11,31,7,2,11,4,4,3
N00000135,225,86,37,29,28,25,20,27,1,2,2,5,15,2,55,15,9,10,8,6,7,106,52,17,10,12,4,11,37,18,9,7,3,0,0
N00000136,386,64,50,71,63,108,30,115,6,10,14,12,70,3,129,20,21,26,23,28,11,108,35,15,15,21,6,16,34,3,4,16,7,4,0
N00000137,225,42,40,43,44,35,21,58,1,8,6,10,25,8,66,6,14,17,17,7,5,75,29,13,11,12,2,8,26,6,5,9,5,1,0
N00000138,339,28,45,81,65,97,23,117,1,8,16,11,79,2,104,13,24,25,20,12,10,76,12,12,20,17,6,9,42,2,1,20,17,0,2
N00000139,227,51,23,39,39,53,22,61,3,4,7,11,35,1,65,13,9,13,10,11,9,70,26,9,12,10,3,10,31,9,1,7,8,4,2
N00000140,266,79,31,48,23,64,21,64,2,6,10,2,40,4,65,12,11,10,10,15,7,97,53,8,18,8,3,7,40,12,6,10,3,6,3
N00000141,293,97,49,52,33,33,29,39,7,1,4,1,23,3,63,13,8,16,14,3,9,153,62,30,25,13,6,17,38,15,10,7,5,1,0
N00000142,143,53,26,19,17,17,11,24,1,6,2,2,10,3,30,12,5,4,5,2,2,67,33,10,11,6,2,5,22,7,5,2,4,3,1
N00000143,160,64,25,22,18,20,11,19,3,3,1,0,10,2,26,9,3,3,8,2,1,100,46,17,15,8,6,8,15,6,2,3,2,2,0
N00000144,176,53,35,36,26,13,13,27,2,4,8,7,4,2,32,9,6,9,4,1,3,87,37,19,12,9,3,7,30,5,6,7,6,5,1
N00000145,80,39,16,8,6,4,7,7,0,1,0,1,3,2,10,3,3,3,1,0,0,50,28,10,4,3,0,5,13,8,2,1,1,1,0
N00000146,206,33,26,30,32,65,20,73,2,7,8,9,43,4,53,9,4,13,10,10,7,51,12,12,2,6,11,8,29,10,3,7,7,1,1
N00000147,160,46,26,28,25,25,10,28,2,2,5,6,13,0,31,5,4,10,4,5,3,75,33,13,9,8,6,6,26,6,7,4,7,1,1
N00000148,475,132,76,77,43,100,47,76,2,5,10,6,51,2,122,23,22,29,13,25,10,214,73,41,29,23,17,31,63,34,8,9,1,7,4
N00000149,298,65,54,62,41,54,22,71,6,8,9,10,38,0,81,15,14,23,15,7,7,119,36,27,21,14,7,14,27,8,5,9,2,2,1
N00000150,260,61,26,33,35,71,34,91,8,5,7,15,52,4,71,17,10,14,6,11,13,75,28,7,7,10,6,17,23,8,4,5,4,2,0
N00000151,217,74,33,29,21,27,33,39,4,3,4,5,16,7,39,9,7,10,6,2,5,105,42,18,10,9,6,20,34,19,5,5,1,3,1
N00000152,210,91,43,25,17,18,16,22,3,2,1,5,9,2,37,10,9,7,3,4,4,117,60,24,14,6,3,10,34,18,8,3,3,2,0
N00000153,167,67,17,29,24,14,16,13,2,2,4,1,4,0,45,8,4,15,8,3,7,92,49,9,6,13,6,9,17,8,2,4,2,1,0
N00000154,196,55,24,36,28,34,19,41,2,3,4,7,25,0,56,13,8,12,10,6,7,74,32,9,11,10,2,10,25,8,4,9,1,1,2
N00000155,261,65,39,49,29,58,21,66,2,8,7,10,39,0,75,13,13,21,9,11,8,91,40,14,13,7,4,13,29,10,4,8,3,4,0
N00000156,209,49,29,34,26,53,18,66,5,6,9,9,36,1,55,11,10,9,9,11,5,73,28,13,9,5,6,12,15,5,0,7,3,0,0
N00000157,279,55,45,45,30,79,25,97,8,6,10,8,63,2,89,19,16,16,13,9,16,68,21,20,11,5,4,7,25,7,3,8,4,3,0
N00000158,508,139,70,86,65,86,62,132,13,12,20,19,58,10,140,37,18,30,21,14,20,183,76,28,25,16,7,31,53,13,12,11,9,7,1
N00000159,171,55,20,32,18,29,17,38,4,3,5,3,22,1,38,10,4,11,7,1,5,70,35,8,6,5,5,11,25,6,5,10,3,1,0
N00000160,233,44,35,39,24,74,17,80,6,3,7,6,55,3,52,9,10,13,8,8,4,74,18,18,14,4,10,10,27,11,4,5,6,1,0
