GeographyCode,LC2409NI0001,LC2409NI0002,LC2409NI0003,LC2409NI0004,LC2409NI0005,LC2409NI0006,LC2409NI0007,LC2409NI0008,LC2409NI0009,LC2409NI0010,LC2409NI0011,LC2409NI0012,LC2409NI0013,LC2409NI0014,LC2409NI0015,LC2409NI0016,LC2409NI0017,LC2409NI0018
N00000001,310,21,91,69,129,3.17,59,8,14,8,29,3.27,251,13,77,61,100,3.14
N00000002,141,42,46,17,36,2.49,124,36,42,14,32,2.48,17,6,4,3,4,2.53
N00000003,78,12,27,12,27,2.99,72,11,23,12,26,3.03,6,1,4,0,1,2.50
N00000004,195,28,53,33,81,3.16,176,28,49,24,75,3.16,19,0,4,9,6,3.16
N00000005,124,17,43,15,49,3.02,116,17,40,14,45,2.99,8,0,3,1,4,3.38
N00000006,86,21,18,20,27,2.79,75,20,15,16,24,2.77,11,1,3,4,3,2.91
N00000007,89,17,28,17,27,2.75,79,16,24,16,23,2.72,10,1,4,1,4,3.00
N00000008,138,54,46,21,17,2.09,113,44,36,17,16,2.14,25,10,10,4,1,1.84
N00000009,275,64,77,60,74,2.64,233,57,69,46,61,2.58,42,7,8,14,13,3.02
N00000010,86,20,26,15,25,2.72,78,17,23,14,24,2.79,8,3,3,1,1,2.00
N00000011,136,58,41,14,23,2.15,117,51,34,14,18,2.13,19,7,7,0,5,2.32
N00000012,121,43,41,18,19,2.18,104,35,36,15,18,2.24,17,8,5,3,1,1.82
N00000013,136,67,32,19,18,1.97,116,61,22,16,17,1.97,20,6,10,3,1,1.95
N00000014,205,60,68,53,24,2.24,168,52,57,39,20,2.21,37,8,11,14,4,2.41
N00000015,119,56,37,13,13,1.90,107,51,32,12,12,1.91,12,5,5,1,1,1.83
N00000016,122,62,35,14,11,1.83,105,54,33,12,6,1.72,17,8,2,2,5,2.47
N00000017,144,53,37,20,34,2.36,130,50,33,17,30,2.34,14,3,4,3,4,2.57
N00000018,94,23,36,14,21,2.44,83,21,31,12,19,2.45,11,2,5,2,2,2.36
N00000019,116,39,36,24,17,2.25,102,39,33,17,13,2.11,14,0,3,7,4,3.29
N00000020,122,53,39,18,12,1.93,109,47,35,16,11,1.94,13,6,4,2,1,1.85
N00000021,128,54,36,15,23,2.10,109,50,30,13,16,1.99,19,4,6,2,7,2.74
N00000022,126,53,34,19,20,2.13,110,48,31,16,15,2.06,16,5,3,3,5,2.63
N00000023,115,48,44,14,9,1.90,101,44,37,13,7,1.86,14,4,7,1,2,2.14
N00000024,174,22,51,36,65,3.06,157,21,45,35,56,3.05,17,1,6,1,9,3.18
N00000025,159,29,50,27,53,2.89,147,27,47,25,48,2.86,12,2,3,2,5,3.25
N00000026,151,23,37,34,57,3.05,138,21,32,33,52,3.02,13,2,5,1,5,3.31
N00000027,178,37,46,30,65,3.01,160,35,39,29,57,2.99,18,2,7,1,8,3.17
N00000028,85,19,22,16,28,2.78,75,15,19,16,25,2.85,10,4,3,0,3,2.20
N00000029,136,19,43,23,51,2.96,120,16,41,17,46,2.96,16,3,2,6,5,3.00
N00000030,131,22,50,17,42,2.86,121,20,48,16,37,2.83,10,2,2,1,5,3.20
N00000031,201,25,43,34,99,3.48,187,25,39,34,89,3.45,14,0,4,0,10,3.79
N00000032,133,30,35,14,54,2.90,123,28,34,14,47,2.87,10,2,1,0,7,3.30
N00000033,166,27,44,36,59,2.98,153,25,41,34,53,2.97,13,2,3,2,6,3.15
N00000034,158,29,50,31,48,2.77,132,26,44,25,37,2.68,26,3,6,6,11,3.23
N00000035,128,48,33,23,24,2.27,108,43,29,18,18,2.21,20,5,4,5,6,2.60
N00000036,134,33,41,26,34,2.57,124,31,40,21,32,2.56,10,2,1,5,2,2.70
N00000037,124,44,38,17,25,2.30,115,42,38,16,19,2.19,9,2,0,1,6,3.67
N00000038,138,24,45,23,46,2.94,127,22,43,21,41,2.91,11,2,2,2,5,3.27
N00000039,448,119,88,81,160,2.82,396,99,80,73,144,2.86,52,20,8,8,16,2.52
N00000040,114,43,22,22,27,2.32,106,40,21,21,24,2.29,8,3,1,1,3,2.75
N00000041,144,20,33,24,67,3.21,133,19,32,21,61,3.18,11,1,1,3,6,3.55
N00000042,126,18,34,17,57,3.25,116,15,32,17,52,3.28,10,3,2,0,5,3.00
N00000043,368,59,80,47,182,3.27,322,54,68,37,163,3.29,46,5,12,10,19,3.13
N00000044,108,29,24,21,34,2.89,101,26,23,21,31,2.86,7,3,1,0,3,3.29
N00000045,170,21,49,34,66,3.03,159,21,45,32,61,3.01,11,0,4,2,5,3.27
N00000046,129,21,38,17,53,3.05,124,21,37,15,51,3.05,5,0,1,2,2,3.20
N00000047,138,27,53,28,30,2.56,122,24,48,24,26,2.54,16,3,5,4,4,2.69
N00000048,125,35,40,24,26,2.43,108,34,31,20,23,2.39,17,1,9,4,3,2.71
N00000049,123,52,31,22,18,2.07,106,46,27,18,15,2.03,17,6,4,4,3,2.29
N00000050,135,45,47,19,24,2.21,119,41,39,17,22,2.22,16,4,8,2,2,2.19
N00000051,124,35,34,29,26,2.52,106,30,32,24,20,2.44,18,5,2,5,6,3.00
N00000052,120,36,31,21,32,2.58,102,32,25,18,27,2.57,18,4,6,3,5,2.61
N00000053,108,36,31,21,20,2.33,83,29,26,14,14,2.27,25,7,5,7,6,2.56
N00000054,111,30,35,22,24,2.40,96,25,31,19,21,2.42,15,5,4,3,3,2.27
N00000055,117,42,34,23,18,2.27,108,41,31,21,15,2.20,9,1,3,2,3,3.11
N00000056,119,36,38,28,17,2.27,102,29,34,25,14,2.29,17,7,4,3,3,2.12
N00000057,118,43,27,25,23,2.36,102,37,22,23,20,2.39,16,6,5,2,3,2.19
N00000058,121,46,31,25,19,2.20,98,39,28,18,13,2.10,23,7,3,7,6,2.61
N00000059,110,42,36,20,12,2.05,86,36,25,17,8,2.00,24,6,11,3,4,2.25
N00000060,180,65,51,37,27,2.19,150,59,42,28,21,2.11,30,6,9,9,6,2.60
N00000061,129,45,48,21,15,2.12,107,37,42,16,12,2.08,22,8,6,5,3,2.27
N00000062,130,19,48,31,32,2.70,109,15,38,29,27,2.76,21,4,10,2,5,2.38
N00000063,155,47,50,36,22,2.28,126,42,39,27,18,2.25,29,5,11,9,4,2.45
N00000064,133,60,31,22,20,2.10,112,52,27,18,15,2.06,21,8,4,4,5,2.29
N00000065,146,19,64,26,37,2.66,122,14,54,23,31,2.70,24,5,10,3,6,2.46
N00000066,110,19,48,27,16,2.40,100,18,46,22,14,2.36,10,1,2,5,2,2.80
N00000067,134,36,47,28,23,2.36,120,31,43,26,20,2.37,14,5,4,2,3,2.29
N00000068,124,15,39,19,51,2.99,106,14,32,17,43,2.95,18,1,7,2,8,3.22
N00000069,145,50,42,26,27,2.30,124,43,35,22,24,2.32,21,7,7,4,3,2.19
N00000070,104,25,43,17,19,2.34,86,21,37,16,12,2.26,18,4,6,1,7,2.72
N00000071,136,62,42,19,13,1.90,119,57,35,17,10,1.86,17,5,7,2,3,2.18
N00000072,634,121,187,123,203,2.76,521,105,155,95,166,2.74,113,16,32,28,37,2.89
N00000073,249,122,84,25,18,1.78,200,110,59,17,14,1.71,49,12,25,8,4,2.10
N00000074,386,79,114,76,117,2.71,311,73,97,59,82,2.58,75,6,17,17,35,3.28
N00000075,111,25,39,23,24,2.50,94,23,32,19,20,2.46,17,2,7,4,4,2.71
N00000076,114,13,30,29,42,3.02,97,12,26,22,37,3.02,17,1,4,7,5,3.00
N00000077,98,15,34,19,30,2.81,84,14,30,15,25,2.76,14,1,4,4,5,3.07
N00000078,161,25,41,29,66,3.03,128,22,30,24,52,3.01,33,3,11,5,14,3.12
N00000079,192,39,44,30,79,2.94,174,36,41,28,69,2.89,18,3,3,2,10,3.39
N00000080,146,22,43,27,54,2.90,137,20,43,23,51,2.90,9,2,0,4,3,3.00
N00000081,140,46,40,21,33,2.42,124,40,36,18,30,2.44,16,6,4,3,3,2.31
N00000082,132,32,42,22,36,2.59,122,29,38,20,35,2.63,10,3,4,2,1,2.10
N00000083,208,22,66,37,83,3.13,188,21,58,34,75,3.11,20,1,8,3,8,3.25
N00000084,153,19,48,34,52,2.98,139,19,44,31,45,2.94,14,0,4,3,7,3.43
N00000085,180,73,47,27,33,2.22,151,65,39,20,27,2.15,29,8,8,7,6,2.55
N00000086,142,30,38,31,43,2.78,122,26,34,25,37,2.77,20,4,4,6,6,2.85
N00000087,303,48,84,57,114,3.01,257,39,71,51,96,3.04,46,9,13,6,18,2.85
N00000088,136,81,38,11,6,1.59,119,73,34,10,2,1.50,17,8,4,1,4,2.18
N00000089,164,29,44,34,57,2.91,145,26,42,30,47,2.86,19,3,2,4,10,3.37
N00000090,138,29,41,25,43,2.83,117,26,36,21,34,2.78,21,3,5,4,9,3.14
N00000091,176,36,59,34,47,2.70,159,34,53,28,44,2.71,17,2,6,6,3,2.65
N00000092,168,25,52,32,59,3.00,151,23,47,26,55,3.02,17,2,5,6,4,2.82
N00000093,140,35,43,14,48,2.86,126,34,40,10,42,2.78,14,1,3,4,6,3.57
N00000094,161,18,59,23,61,3.06,147,17,52,21,57,3.06,14,1,7,2,4,3.00
N00000095,152,30,36,25,61,3.08,140,29,30,23,58,3.11,12,1,6,2,3,2.75
N00000096,158,22,62,28,46,2.77,137,19,53,26,39,2.77,21,3,9,2,7,2.76
N00000097,296,43,85,68,100,2.87,239,42,73,49,75,2.77,57,1,12,19,25,3.30
N00000098,446,81,153,103,109,2.65,327,65,129,63,70,2.53,119,16,24,40,39,2.97
N00000099,107,28,38,24,17,2.41,94,26,34,20,14,2.37,13,2,4,4,3,2.69
N00000100,164,71,46,22,25,2.08,134,61,36,17,20,2.03,30,10,10,5,5,2.30
N00000101,122,44,30,28,20,2.31,85,30,25,18,12,2.25,37,14,5,10,8,2.46
N00000102,125,36,34,24,31,2.54,101,31,26,21,23,2.51,24,5,8,3,8,2.67
N00000103,205,51,51,44,59,2.68,161,45,43,30,43,2.57,44,6,8,14,16,3.11
N00000104,130,41,31,28,30,2.48,92,33,22,16,21,2.39,38,8,9,12,9,2.68
N00000105,148,61,40,19,28,2.21,121,54,36,12,19,2.08,27,7,4,7,9,2.78
N00000106,103,55,23,11,14,1.92,89,48,21,10,10,1.89,14,7,2,1,4,2.14
N00000107,120,41,36,22,21,2.24,103,35,29,21,18,2.27,17,6,7,1,3,2.06
N00000108,110,37,40,15,18,2.21,90,31,35,11,13,2.14,20,6,5,4,5,2.50
N00000109,229,77,65,52,35,2.24,184,67,54,37,26,2.16,45,10,11,15,9,2.53
N00000110,122,47,39,18,18,2.11,92,42,28,9,13,1.98,30,5,11,9,5,2.53
N00000111,136,32,42,27,35,2.62,117,27,36,23,31,2.64,19,5,6,4,4,2.47
N00000112,143,31,37,28,47,2.81,119,28,30,21,40,2.79,24,3,7,7,7,2.92
N00000113,122,31,36,23,32,2.53,100,25,31,17,27,2.54,22,6,5,6,5,2.50
N00000114,121,20,46,23,32,2.63,101,18,42,15,26,2.53,20,2,4,8,6,3.10
N00000115,128,38,44,21,25,2.36,110,34,38,17,21,2.32,18,4,6,4,4,2.61
N00000116,119,39,29,28,23,2.41,101,32,28,22,19,2.41,18,7,1,6,4,2.44
N00000117,86,46,18,10,12,1.95,65,38,12,8,7,1.83,21,8,6,2,5,2.33
N00000118,143,47,56,19,21,2.17,116,34,50,14,18,2.22,27,13,6,5,3,2.00
N00000119,125,29,60,13,23,2.31,114,25,55,12,22,2.34,11,4,5,1,1,2.00
N00000120,127,29,49,18,31,2.54,111,26,43,15,27,2.53,16,3,6,3,4,2.63
N00000121,124,31,47,23,23,2.36,110,28,40,21,21,2.37,14,3,7,2,2,2.29
N00000122,199,53,77,23,46,2.42,177,47,65,21,44,2.46,22,6,12,2,2,2.09
N00000123,143,33,57,20,33,2.45,135,28,56,19,32,2.49,8,5,1,1,1,1.88
N00000124,143,35,63,24,21,2.27,127,32,58,21,16,2.20,16,3,5,3,5,2.81
N00000125,148,29,32,25,62,3.14,141,24,32,24,61,3.21,7,5,0,1,1,1.71
N00000126,134,20,20,26,68,3.59,128,19,20,26,63,3.57,6,1,0,0,5,4.00
N00000127,130,29,27,19,55,3.12,119,28,25,18,48,3.08,11,1,2,1,7,3.55
N00000128,282,40,62,48,132,3.37,260,38,61,41,120,3.35,22,2,1,7,12,3.55
N00000129,138,39,44,23,32,2.51,128,37,41,20,30,2.50,10,2,3,3,2,2.60
N00000130,152,11,33,38,70,3.28,142,11,31,35,65,3.27,10,0,2,3,5,3.40
N00000131,136,22,40,28,46,2.85,126,20,36,27,43,2.87,10,2,4,1,3,2.70
N00000132,121,24,31,17,49,3.02,114,22,29,14,49,3.08,7,2,2,3,0,2.14
N00000133,139,48,48,16,27,2.32,126,41,45,16,24,2.33,13,7,3,0,3,2.15
N00000134,177,51,53,27,46,2.47,158,46,47,24,41,2.46,19,5,6,3,5,2.58
N00000135,119,31,34,22,32,2.62,115,30,33,21,31,2.59,4,1,1,1,1,3.50
N00000136,188,31,64,46,47,2.70,171,28,58,41,44,2.71,17,3,6,5,3,2.53
N00000137,120,30,30,25,35,2.63,112,27,30,22,33,2.63,8,3,0,3,2,2.63
N00000138,155,22,40,36,57,2.99,146,21,36,35,54,3.00,9,1,4,1,3,2.89
N00000139,133,39,60,17,17,2.17,116,34,54,14,14,2.16,17,5,6,3,3,2.24
N00000140,158,53,58,29,18,2.11,144,47,53,27,17,2.13,14,6,5,2,1,1.86
N00000141,220,97,67,24,32,2.01,203,90,62,24,27,1.99,17,7,5,0,5,2.35
N00000142,96,27,44,14,11,2.14,87,23,41,14,9,2.15,9,4,3,0,2,2.00
N00000143,123,69,27,16,11,1.75,114,64,24,15,11,1.76,9,5,3,1,0,1.56
N00000144,110,41,35,23,11,2.07,93,36,29,18,10,2.06,17,5,6,5,1,2.12
N00000145,75,48,14,6,7,1.65,71,44,14,6,7,1.69,4,4,0,0,0,1.00
N00000146,105,23,42,16,24,2.58,95,22,37,14,22,2.54,10,1,5,2,2,3.00
N00000147,106,41,31,18,16,2.14,95,39,30,15,11,2.03,11,2,1,3,5,3.09
N00000148,279,77,90,53,59,2.42,242,65,78,45,54,2.46,37,12,12,8,5,2.19
N00000149,187,58,63,28,38,2.31,167,53,56,23,35,2.31,20,5,7,5,3,2.35
N00000150,149,38,51,25,35,2.45,135,35,43,24,33,2.47,14,3,8,1,2,2.21
N00000151,131,42,44,30,15,2.16,114,39,39,25,11,2.09,17,3,5,5,4,2.65
N00000152,131,48,49,16,18,2.06,121,45,46,14,16,2.03,10,3,3,2,2,2.40
N00000153,111,37,37,17,20,2.25,95,32,31,14,18,2.26,16,5,6,3,2,2.19
N00000154,108,34,32,20,22,2.40,91,27,24,19,21,2.52,17,7,8,1,1,1.76
N00000155,128,27,43,24,34,2.62,113,24,36,21,32,2.65,15,3,7,3,2,2.40
N00000156,127,27,58,20,22,2.37,113,23,53,16,21,2.38,14,4,5,4,1,2.29
N00000157,139,28,47,27,37,2.65,120,24,36,24,36,2.74,19,4,11,3,1,2.05
N00000158,286,61,138,39,48,2.37,253,51,123,34,45,2.42,33,10,15,5,3,2.03
N00000159,116,45,48,13,10,1.91,108,41,45,12,10,1.93,8,4,3,1,0,1.63
N00000160,124,38,46,15,25,2.28,110,35,41,13,21,2.23,14,3,5,2,4,2.71
N00000161,128,11,58,32,27,2.67,117,10,51,31,25,2.68,11,1,7,1,2,2.55
N00000162,115,37,51,11,16,2.10,101,34,45,8,14,2.08,14,3,6,3,2,2.29
N00000163,155,61,55,22,17,2.01,143,56,52,19,16,2.00,12,5,3,3,1,2.08
N00000164,118,22,55,18,23,2.44,103,19,49,15,20,2.44,15,3,6,3,3,2.47
N00000165,135,37,49,20,29,2.41,120,35,43,18,24,2.36,15,2,6,2,5,2.80
N00000166,122,30,50,28,14,2.24,109,28,46,23,12,2.19,13,2,4,5,2,2.62
N00000167,149,33,54,26,36,2.54,135,26,51,25,33,2.59,14,7,3,1,3,2.07
N00000168,145,35,55,24,31,2.38,137,32,55,24,26,2.35,8,3,0,0,5,2.88
N00000169,279,62,108,43,66,2.52,242,48,95,38,61,2.59,37,14,13,5,5,2.11
N00000170,139,22,51,28,38,2.66,120,19,45,25,31,2.64,19,3,6,3,7,2.79
N00000171,146,23,51,20,52,2.85,131,18,46,20,47,2.89,15,5,5,0,5,2.47
N00000172,307,67,121,50,69,2.51,274,60,110,45,59,2.49,33,7,11,5,10,2.76
N00000173,144,33,53,23,35,2.59,132,28,50,21,33,2.64,12,5,3,2,2,2.08
N00000174,163,47,55,27,34,2.41,137,41,46,23,27,2.37,26,6,9,4,7,2.62
N00000175,140,28,46,27,39,2.66,128,26,40,26,36,2.68,12,2,6,1,3,2.50
N00000176,205,57,71,42,35,2.31,184,53,63,34,34,2.30,21,4,8,8,1,2.38
N00000177,167,69,61,22,15,1.93,145,64,50,20,11,1.87,22,5,11,2,4,2.36
N00000178,355,165,119,35,36,1.88,323,153,109,31,30,1.85,32,12,10,4,6,2.16
