GeographyCode,LC4102NI0001,LC4102NI0002,LC4102NI0003,LC4102NI0004,LC4102NI0005,LC4102NI0006,LC4102NI0007,LC4102NI0008,LC4102NI0009,LC4102NI0010,LC4102NI0011,LC4102NI0012,LC4102NI0013,LC4102NI0014,LC4102NI0015,LC4102NI0016,LC4102NI0017,LC4102NI0018,LC4102NI0019,LC4102NI0020,LC4102NI0021,LC4102NI0022,LC4102NI0023,LC4102NI0024,LC4102NI0025,LC4102NI0026,LC4102NI0027,LC4102NI0028
N00000001,310,26,9,275,21,4,0,17,278,19,9,250,262,16,9,237,6,1,0,5,10,2,0,8,11,3,0,8
N00000002,141,113,8,20,42,29,7,6,90,79,1,10,55,54,0,1,17,13,1,3,18,12,0,6,9,5,0,4
N00000003,78,71,0,7,12,8,0,4,58,57,0,1,44,44,0,0,6,6,0,0,8,7,0,1,8,6,0,2
N00000004,195,167,4,24,28,17,2,9,158,141,2,15,125,112,2,11,10,9,0,1,23,20,0,3,9,9,0,0
N00000005,124,113,0,11,17,15,0,2,99,94,0,5,77,74,0,3,7,7,0,0,15,13,0,2,8,4,0,4
N00000006,86,76,0,10,21,19,0,2,60,53,0,7,44,41,0,3,7,7,0,0,9,5,0,4,5,4,0,1
N00000007,89,69,1,19,17,14,0,3,67,52,1,14,51,38,0,13,8,6,1,1,8,8,0,0,5,3,0,2
N00000008,138,98,2,38,54,34,1,19,74,57,1,16,45,38,0,7,14,8,0,6,15,11,1,3,10,7,0,3
N00000009,275,228,1,46,64,49,0,15,192,166,1,25,135,125,0,10,28,17,1,10,29,24,0,5,19,13,0,6
N00000010,86,74,0,12,20,15,0,5,59,52,0,7,37,34,0,3,12,10,0,2,10,8,0,2,7,7,0,0
N00000011,136,87,23,26,58,25,17,16,70,56,5,9,42,38,2,2,9,5,2,2,19,13,1,5,8,6,1,1
N00000012,121,91,14,16,43,28,9,6,71,56,5,10,39,34,2,3,15,8,1,6,17,14,2,1,7,7,0,0
N00000013,136,81,9,46,67,31,7,29,64,47,2,15,35,31,1,3,16,8,1,7,13,8,0,5,5,3,0,2
N00000014,205,125,29,51,60,28,16,16,129,92,11,26,69,58,3,8,28,16,5,7,32,18,3,11,16,5,2,9
N00000015,119,59,42,18,56,23,24,9,59,34,16,9,28,19,5,4,14,6,5,3,17,9,6,2,4,2,2,0
N00000016,122,60,31,31,62,23,22,17,57,35,9,13,23,11,5,7,20,15,3,2,14,9,1,4,3,2,0,1
N00000017,144,81,48,15,53,20,28,5,83,56,18,9,45,41,2,2,26,6,16,4,12,9,0,3,8,5,2,1
N00000018,94,74,1,19,23,17,0,6,65,54,1,10,33,29,1,3,13,11,0,2,19,14,0,5,6,3,0,3
N00000019,116,69,28,19,39,14,17,8,72,53,11,8,32,26,4,2,22,11,7,4,18,16,0,2,5,2,0,3
N00000020,122,43,62,17,53,17,28,8,61,23,32,6,16,10,5,1,30,6,20,4,15,7,7,1,8,3,2,3
N00000021,128,75,23,30,54,22,17,15,69,49,5,15,33,28,0,5,19,12,3,4,17,9,2,6,5,4,1,0
N00000022,126,74,30,22,53,25,19,9,67,45,11,11,27,23,2,2,26,12,7,7,14,10,2,2,6,4,0,2
