GeographyCode,LC4103NI0001,LC4103NI0002,LC4103NI0003,LC4103NI0004,LC4103NI0005,LC4103NI0006,LC4103NI0007,LC4103NI0008,LC4103NI0009,LC4103NI0010,LC4103NI0011,LC4103NI0012,LC4103NI0013,LC4103NI0014,LC4103NI0015,LC4103NI0016,LC4103NI0017,LC4103NI0018,LC4103NI0019,LC4103NI0020
N00003448,538,46,128,265,99,493,38,108,252,95,8,0,5,3,0,37,8,15,10,4
N00003449,431,24,135,181,91,383,18,117,167,81,6,0,0,6,0,42,6,18,8,10
N00003450,353,19,75,183,76,328,8,72,175,73,2,0,0,2,0,23,11,3,6,3
N00003451,620,166,165,224,65,542,134,151,202,55,10,3,0,2,5,68,29,14,20,5
N00003452,440,32,124,194,90,393,27,110,176,80,10,0,6,3,1,37,5,8,15,9
N00003453,376,246,67,45,18,74,9,17,35,13,17,2,6,6,3,285,235,44,4,2
N00003454,328,22,77,147,82,298,12,68,138,80,12,0,6,6,0,18,10,3,3,2
N00003455,305,35,69,114,87,261,15,56,105,85,4,3,0,1,0,40,17,13,8,2
N00003456,305,156,70,62,17,125,17,31,62,15,18,13,5,0,0,162,126,34,0,2
N00003457,289,67,80,85,57,179,12,52,72,43,47,11,16,9,11,63,44,12,4,3
N00003458,338,40,76,159,63,329,36,71,159,63,5,0,5,0,0,4,4,0,0,0
N00003459,240,23,69,69,79,209,22,44,66,77,7,0,6,1,0,24,1,19,2,2
N00003460,403,77,95,181,50,352,52,86,164,50,4,0,0,4,0,47,25,9,13,0
N00003461,284,20,21,135,108,246,18,15,129,84,27,0,5,3,19,11,2,1,3,5
N00003462,377,21,43,242,71,361,21,43,229,68,1,0,0,0,1,15,0,0,13,2
N00003463,488,43,155,206,84,447,34,136,194,83,15,6,9,0,0,26,3,10,12,1
N00003464,364,45,106,181,32,315,17,92,178,28,2,0,0,0,2,47,28,14,3,2
N00003465,267,30,40,107,90,187,25,32,74,56,53,4,5,19,25,27,1,3,14,9
N00003466,310,47,135,93,35,259,26,115,84,34,5,5,0,0,0,46,16,20,9,1
N00003467,473,31,119,152,171,402,9,88,141,164,7,2,4,1,0,64,20,27,10,7
N00003468,253,70,85,88,10,194,37,68,79,10,0,0,0,0,0,59,33,17,9,0
