GeographyCode,LC4404NI0001,LC4404NI0002,LC4404NI0003,LC4404NI0004,LC4404NI0005,LC4404NI0006,LC4404NI0007,LC4404NI0008,LC4404NI0009,LC4404NI0010,LC4404NI0011,LC4404NI0012,LC4404NI0013,LC4404NI0014,LC4404NI0015,LC4404NI0016,LC4404NI0017,LC4404NI0018,LC4404NI0019,LC4404NI0020,LC4404NI0021,LC4404NI0022,LC4404NI0023,LC4404NI0024,LC4404NI0025,LC4404NI0026,LC4404NI0027,LC4404NI0028,LC4404NI0029,LC4404NI0030,LC4404NI0031,LC4404NI0032,LC4404NI0033,LC4404NI0034,LC4404NI0035,LC4404NI0036,LC4404NI0037,LC4404NI0038,LC4404NI0039,LC4404NI0040,LC4404NI0041,LC4404NI0042,LC4404NI0043,LC4404NI0044,LC4404NI0045,LC4404NI0046,LC4404NI0047,LC4404NI0048,LC4404NI0049,LC4404NI0050,LC4404NI0051,LC4404NI0052,LC4404NI0053,LC4404NI0054,LC4404NI0055,LC4404NI0056,LC4404NI0057,LC4404NI0058,LC4404NI0059,LC4404NI0060
N00000001,310,305,5,166,164,2,140,137,3,4,4,0,0,0,0,26,24,2,12,11,1,13,12,1,1,1,0,0,0,0,9,9,0,6,6,0,2,2,0,1,1,0,0,0,0,275,272,3,148,147,1,125,123,2,2,2,0,0,0,0
N00000002,141,119,22,105,91,14,31,23,8,5,5,0,0,0,0,113,100,13,84,77,7,26,20,6,3,3,0,0,0,0,8,4,4,6,3,3,2,1,1,0,0,0,0,0,0,20,15,5,15,11,4,3,2,1,2,2,0,0,0,0
N00000003,78,77,1,64,63,1,13,13,0,1,1,0,0,0,0,71,71,0,58,58,0,12,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,6,5,1,1,1,0,0,0,0,0,0,0
N00000004,195,193,2,132,131,1,60,59,1,1,1,0,2,2,0,167,166,1,113,113,0,52,51,1,1,1,0,1,1,0,4,3,1,3,2,1,0,0,0,0,0,0,1,1,0,24,24,0,16,16,0,8,8,0,0,0,0,0,0,0
N00000005,124,124,0,88,88,0,36,36,0,0,0,0,0,0,0,113,113,0,80,80,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,8,8,0,3,3,0,0,0,0,0,0,0
N00000006,86,85,1,64,64,0,22,21,1,0,0,0,0,0,0,76,75,1,59,59,0,17,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,5,5,0,5,5,0,0,0,0,0,0,0
N00000007,89,86,3,64,64,0,25,22,3,0,0,0,0,0,0,69,68,1,57,57,0,12,11,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,19,17,2,6,6,0,13,11,2,0,0,0,0,0,0
N00000008,138,123,15,115,103,12,23,20,3,0,0,0,0,0,0,98,94,4,82,78,4,16,16,0,0,0,0,0,0,0,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,38,28,10,31,24,7,7,4,3,0,0,0,0,0,0
N00000009,275,238,37,212,178,34,62,59,3,1,1,0,0,0,0,228,209,19,178,159,19,49,49,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,46,28,18,33,18,15,13,10,3,0,0,0,0,0,0
N00000010,86,86,0,66,66,0,19,19,0,1,1,0,0,0,0,74,74,0,55,55,0,18,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,11,11,0,1,1,0,0,0,0,0,0,0
N00000011,136,112,24,97,77,20,38,34,4,1,1,0,0,0,0,87,83,4,57,54,3,29,28,1,1,1,0,0,0,0,23,11,12,21,10,11,2,1,1,0,0,0,0,0,0,26,18,8,19,13,6,7,5,2,0,0,0,0,0,0
N00000012,121,101,20,82,66,16,37,33,4,1,1,0,1,1,0,91,83,8,61,54,7,29,28,1,1,1,0,0,0,0,14,6,8,10,2,8,3,3,0,0,0,0,1,1,0,16,12,4,11,10,1,5,2,3,0,0,0,0,0,0
N00000013,136,101,35,109,80,29,26,20,6,1,1,0,0,0,0,81,76,5,65,61,4,16,15,1,0,0,0,0,0,0,9,4,5,7,3,4,2,1,1,0,0,0,0,0,0,46,21,25,37,16,21,8,4,4,1,1,0,0,0,0
N00000014,205,183,22,138,121,17,66,62,4,0,0,0,1,0,1,125,118,7,80,74,6,45,44,1,0,0,0,0,0,0,29,26,3,23,21,2,6,5,1,0,0,0,0,0,0,51,39,12,35,26,9,15,13,2,0,0,0,1,0,1
N00000015,119,91,28,96,72,24,22,18,4,1,1,0,0,0,0,59,55,4,46,42,4,13,13,0,0,0,0,0,0,0,42,24,18,36,20,16,6,4,2,0,0,0,0,0,0,18,12,6,14,10,4,3,1,2,1,1,0,0,0,0
N00000016,122,66,56,101,51,50,19,13,6,2,2,0,0,0,0,60,45,15,50,37,13,9,7,2,1,1,0,0,0,0,31,5,26,26,2,24,5,3,2,0,0,0,0,0,0,31,16,15,25,12,13,5,3,2,1,1,0,0,0,0
N00000017,144,140,4,101,97,4,41,41,0,2,2,0,0,0,0,81,80,1,51,50,1,29,29,0,1,1,0,0,0,0,48,45,3,38,35,3,9,9,0,1,1,0,0,0,0,15,15,0,12,12,0,3,3,0,0,0,0,0,0,0
N00000018,94,92,2,63,61,2,29,29,0,1,1,0,1,1,0,74,74,0,51,51,0,22,22,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,19,17,2,12,10,2,6,6,0,0,0,0,1,1,0
N00000019,116,110,6,81,76,5,30,29,1,5,5,0,0,0,0,69,69,0,45,45,0,21,21,0,3,3,0,0,0,0,28,22,6,22,17,5,4,3,1,2,2,0,0,0,0,19,19,0,14,14,0,5,5,0,0,0,0,0,0,0
N00000020,122,122,0,92,92,0,28,28,0,1,1,0,1,1,0,43,43,0,35,35,0,7,7,0,0,0,0,1,1,0,62,62,0,43,43,0,18,18,0,1,1,0,0,0,0,17,17,0,14,14,0,3,3,0,0,0,0,0,0,0
N00000021,128,102,26,91,71,20,37,31,6,0,0,0,0,0,0,75,73,2,51,50,1,24,23,1,0,0,0,0,0,0,23,15,8,18,12,6,5,3,2,0,0,0,0,0,0,30,14,16,22,9,13,8,5,3,0,0,0,0,0,0
