GeographyCode,LC4401NI0001,LC4401NI0002,LC4401NI0003,LC4401NI0004,LC4401NI0005,LC4401NI0006,LC4401NI0007,LC4401NI0008,LC4401NI0009,LC4401NI0010,LC4401NI0011,LC4401NI0012,LC4401NI0013,LC4401NI0014,LC4401NI0015,LC4401NI0016,LC4401NI0017,LC4401NI0018,LC4401NI0019,LC4401NI0020,LC4401NI0021,LC4401NI0022,LC4401NI0023,LC4401NI0024,LC4401NI0025,LC4401NI0026,LC4401NI0027,LC4401NI0028,LC4401NI0029,LC4401NI0030,LC4401NI0031,LC4401NI0032,LC4401NI0033,LC4401NI0034,LC4401NI0035,LC4401NI0036,LC4401NI0037,LC4401NI0038,LC4401NI0039,LC4401NI0040,LC4401NI0041,LC4401NI0042,LC4401NI0043,LC4401NI0044,LC4401NI0045,LC4401NI0046,LC4401NI0047,LC4401NI0048
N00000001,310,24,286,23,4,19,199,15,184,88,5,83,26,4,22,2,1,1,12,3,9,12,0,12,9,0,9,3,0,3,3,0,3,3,0,3,275,20,255,18,3,15,184,12,172,73,5,68
N00000002,141,49,92,15,13,2,69,35,34,57,1,56,113,32,81,7,7,0,53,24,29,53,1,52,8,8,0,4,4,0,4,4,0,0,0,0,20,9,11,4,2,2,12,7,5,4,0,4
N00000003,78,13,65,6,4,2,22,5,17,50,4,46,71,9,62,3,3,0,19,3,16,49,3,46,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,3,1,2,3,2,1,1,1,0
N00000004,195,32,163,11,6,5,52,24,28,132,2,130,167,20,147,3,2,1,41,16,25,123,2,121,4,2,2,1,0,1,3,2,1,0,0,0,24,10,14,7,4,3,8,6,2,9,0,9
N00000005,124,18,106,4,1,3,36,14,22,84,3,81,113,16,97,2,1,1,29,12,17,82,3,79,0,0,0,0,0,0,0,0,0,0,0,0,11,2,9,2,0,2,7,2,5,2,0,2
N00000006,86,22,64,8,6,2,30,14,16,48,2,46,76,20,56,6,6,0,25,12,13,45,2,43,0,0,0,0,0,0,0,0,0,0,0,0,10,2,8,2,0,2,5,2,3,3,0,3
N00000007,89,20,69,5,4,1,26,11,15,58,5,53,69,15,54,3,2,1,19,8,11,47,5,42,1,1,0,0,0,0,1,1,0,0,0,0,19,4,15,2,2,0,6,2,4,11,0,11
N00000008,138,61,77,21,17,4,67,41,26,50,3,47,98,36,62,12,9,3,42,24,18,44,3,41,2,1,1,1,1,0,1,0,1,0,0,0,38,24,14,8,7,1,24,17,7,6,0,6
N00000009,275,82,193,13,11,2,97,67,30,165,4,161,228,59,169,6,6,0,71,49,22,151,4,147,1,0,1,0,0,0,1,0,1,0,0,0,46,23,23,7,5,2,25,18,7,14,0,14
N00000010,86,22,64,7,5,2,29,14,15,50,3,47,74,15,59,5,4,1,23,10,13,46,1,45,0,0,0,0,0,0,0,0,0,0,0,0,12,7,5,2,1,1,6,4,2,4,2,2
N00000011,136,61,75,47,35,12,62,25,37,27,1,26,87,27,60,19,14,5,44,13,31,24,0,24,23,18,5,16,12,4,5,5,0,2,1,1,26,16,10,12,9,3,13,7,6,1,0,1
N00000012,121,50,71,34,23,11,62,25,37,25,2,23,91,32,59,24,16,8,45,15,30,22,1,21,14,10,4,6,4,2,7,6,1,1,0,1,16,8,8,4,3,1,10,4,6,2,1,1
N00000013,136,73,63,50,41,9,59,30,29,27,2,25,81,32,49,18,15,3,37,16,21,26,1,25,9,8,1,9,8,1,0,0,0,0,0,0,46,33,13,23,18,5,22,14,8,1,1,0
N00000014,205,76,129,49,25,24,100,49,51,56,2,54,125,34,91,21,9,12,58,23,35,46,2,44,29,19,10,16,10,6,12,9,3,1,0,1,51,23,28,12,6,6,30,17,13,9,0,9
N00000015,119,62,57,58,35,23,48,26,22,13,1,12,59,26,33,13,9,4,35,16,19,11,1,10,42,26,16,35,21,14,7,5,2,0,0,0,18,10,8,10,5,5,6,5,1,2,0,2
N00000016,122,73,49,49,41,8,61,30,31,12,2,10,60,29,31,13,11,2,37,16,21,10,2,8,31,25,6,24,20,4,6,5,1,1,0,1,31,19,12,12,10,2,18,9,9,1,0,1
N00000017,144,67,77,48,36,12,62,30,32,34,1,33,81,20,61,9,5,4,40,14,26,32,1,31,48,39,9,30,24,6,18,15,3,0,0,0,15,8,7,9,7,2,4,1,3,2,0,2
N00000018,94,29,65,27,16,11,43,13,30,24,0,24,74,21,53,17,10,7,35,11,24,22,0,22,1,0,1,1,0,1,0,0,0,0,0,0,19,8,11,9,6,3,8,2,6,2,0,2
N00000019,116,51,65,38,25,13,52,24,28,26,2,24,69,19,50,12,6,6,35,12,23,22,1,21,28,22,6,19,16,3,7,6,1,2,0,2,19,10,9,7,3,4,10,6,4,2,1,1
N00000020,122,78,44,45,38,7,64,38,26,13,2,11,43,19,24,4,3,1,31,14,17,8,2,6,62,47,15,33,29,4,25,18,7,4,0,4,17,12,5,8,6,2,8,6,2,1,0,1
N00000021,128,64,64,48,40,8,58,22,36,22,2,20,75,25,50,11,7,4,46,16,30,18,2,16,23,20,3,18,15,3,5,5,0,0,0,0,30,19,11,19,18,1,7,1,6,4,0,4
N00000022,126,63,63,45,31,14,63,32,31,18,0,18,74,27,47,19,11,8,40,16,24,15,0,15,30,24,6,18,15,3,11,9,2,1,0,1,22,12,10,8,5,3,12,7,5,2,0,2
N00000023,115,57,58,42,33,9,57,22,35,16,2,14,60,23,37,13,8,5,35,14,21,12,1,11,41,24,17,22,19,3,15,4,11,4,1,3,14,10,4,7,6,1,7,4,3,0,0,0
N00000024,174,25,149,4,3,1,48,18,30,122,4,118,159,16,143,3,2,1,37,11,26,119,3,116,1,1,0,0,0,0,1,1,0,0,0,0,14,8,6,1,1,0,10,6,4,3,1,2
N00000025,159,31,128,5,4,1,47,22,25,107,5,102,147,24,123,2,1,1,41,18,23,104,5,99,1,0,1,0,0,0,1,0,1,0,0,0,11,7,4,3,3,0,5,4,1,3,0,3
N00000026,151,25,126,5,5,0,33,15,18,113,5,108,139,20,119,3,3,0,29,12,17,107,5,102,2,1,1,1,1,0,0,0,0,1,0,1,10,4,6,1,1,0,4,3,1,5,0,5
N00000027,178,43,135,14,8,6,68,32,36,96,3,93,154,31,123,8,4,4,57,26,31,89,1,88,0,0,0,0,0,0,0,0,0,0,0,0,24,12,12,6,4,2,11,6,5,7,2,5
N00000028,85,21,64,6,3,3,46,18,28,33,0,33,80,18,62,5,3,2,42,15,27,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,0,1,4,3,1,0,0,0
N00000029,136,24,112,7,4,3,34,18,16,95,2,93,125,20,105,6,3,3,29,15,14,90,2,88,1,0,1,0,0,0,1,0,1,0,0,0,10,4,6,1,1,0,4,3,1,5,0,5
N00000030,131,25,106,5,1,4,36,17,19,90,7,83,120,21,99,3,1,2,32,14,18,85,6,79,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,2,0,2,4,3,1,5,1,4
N00000031,201,31,170,9,9,0,55,20,35,137,2,135,180,22,158,7,7,0,43,13,30,130,2,128,4,3,1,1,1,0,3,2,1,0,0,0,17,6,11,1,1,0,9,5,4,7,0,7
N00000032,133,34,99,8,7,1,57,25,32,68,2,66,118,28,90,5,4,1,49,22,27,64,2,62,0,0,0,0,0,0,0,0,0,0,0,0,15,6,9,3,3,0,8,3,5,4,0,4
N00000033,166,29,137,9,5,4,49,18,31,108,6,102,145,19,126,4,1,3,39,12,27,102,6,96,1,0,1,0,0,0,1,0,1,0,0,0,20,10,10,5,4,1,9,6,3,6,0,6
N00000034,158,40,118,11,8,3,61,27,34,86,5,81,132,26,106,2,2,0,46,19,27,84,5,79,5,3,2,3,2,1,2,1,1,0,0,0,21,11,10,6,4,2,13,7,6,2,0,2
N00000035,128,61,67,27,19,8,75,40,35,26,2,24,64,21,43,5,3,2,36,16,20,23,2,21,39,27,12,14,11,3,23,16,7,2,0,2,25,13,12,8,5,3,16,8,8,1,0,1
N00000036,134,43,91,22,15,7,60,25,35,52,3,49,91,19,72,4,3,1,40,14,26,47,2,45,19,10,9,10,6,4,8,4,4,1,0,1,24,14,10,8,6,2,12,7,5,4,1,3
