GeographyCode,LC2202NI0001,LC2202NI0002,LC2202NI0003,LC2202NI0004,LC2202NI0005,LC2202NI0006,LC2202NI0007,LC2202NI0008,LC2202NI0009,LC2202NI0010,LC2202NI0011,LC2202NI0012,LC2202NI0013,LC2202NI0014,LC2202NI0015,LC2202NI0016,LC2202NI0017,LC2202NI0018,LC2202NI0019,LC2202NI0020
N00000001,1113,141,458,514,482,269,44,128,97,90,699,76,264,359,349,145,21,66,58,43
N00000002,351,219,80,52,23,309,198,69,42,16,29,11,11,7,6,13,10,0,3,1
N00000003,237,109,107,21,15,220,104,96,20,14,9,3,6,0,0,8,2,5,1,1
N00000004,616,296,236,84,63,566,277,220,69,49,35,8,14,13,13,15,11,2,2,1
N00000005,374,171,134,69,50,345,155,124,66,48,27,14,10,3,2,2,2,0,0,0
N00000006,251,144,78,29,19,226,139,62,25,16,9,0,6,3,3,16,5,10,1,0
N00000007,245,55,136,54,38,218,49,133,36,23,12,3,1,8,6,15,3,2,10,9
N00000008,288,76,129,83,60,240,60,119,61,42,26,8,8,10,9,22,8,2,12,9
N00000009,727,121,442,164,111,642,94,407,141,97,48,13,22,13,11,37,14,13,10,3
N00000010,242,24,171,47,26,220,21,165,34,18,12,1,5,6,5,10,2,1,7,3
N00000011,293,78,160,55,25,260,67,148,45,18,20,6,8,6,4,13,5,4,4,3
N00000012,264,76,144,44,24,237,71,132,34,16,17,3,9,5,5,10,2,3,5,3
N00000013,268,78,131,59,36,236,65,119,52,29,19,6,9,4,4,13,7,3,3,3
N00000014,460,158,200,102,66,386,136,176,74,46,43,12,22,9,8,31,10,2,19,12
N00000015,226,69,121,36,24,204,59,115,30,19,17,8,5,4,4,5,2,1,2,1
N00000016,223,45,132,46,29,182,36,124,22,11,21,2,8,11,8,20,7,0,13,10
N00000017,340,33,229,78,57,315,27,221,67,48,14,6,5,3,3,11,0,3,8,6
N00000018,229,24,152,53,32,202,15,144,43,26,14,1,5,8,5,13,8,3,2,1
N00000019,261,4,189,68,40,230,3,171,56,35,19,1,15,3,2,12,0,3,9,3
N00000020,236,9,165,62,44,212,6,155,51,36,17,3,8,6,6,7,0,2,5,2
N00000021,269,32,160,77,58,241,26,151,64,45,17,1,6,10,10,11,5,3,3,3
N00000022,269,29,179,61,38,238,20,163,55,34,16,4,10,2,0,15,5,6,4,4
N00000023,218,4,148,66,46,194,1,137,56,37,14,2,7,5,4,10,1,4,5,5
N00000024,533,55,386,92,75,492,52,359,81,65,36,2,24,10,9,5,1,3,1,1
N00000025,460,59,324,77,53,423,51,309,63,48,26,7,7,12,3,11,1,8,2,2
N00000026,466,82,302,82,50,442,77,290,75,43,23,5,12,6,6,1,0,0,1,1
N00000027,540,284,174,82,47,502,274,162,66,38,25,9,6,10,6,13,1,6,6,3
