GeographyCode,LC5101NI0001,LC5101NI0002,LC5101NI0003,LC5101NI0004,LC5101NI0005,LC5101NI0006,LC5101NI0007,LC5101NI0008,LC5101NI0009,LC5101NI0010,LC5101NI0011,LC5101NI0012,LC5101NI0013,LC5101NI0014,LC5101NI0015,LC5101NI0016,LC5101NI0017,LC5101NI0018,LC5101NI0019,LC5101NI0020,LC5101NI0021,LC5101NI0022,LC5101NI0023,LC5101NI0024,LC5101NI0025,LC5101NI0026,LC5101NI0027,LC5101NI0028,LC5101NI0029,LC5101NI0030,LC5101NI0031,LC5101NI0032,LC5101NI0033,LC5101NI0034,LC5101NI0035,LC5101NI0036,LC5101NI0037,LC5101NI0038,LC5101NI0039,LC5101NI0040,LC5101NI0041,LC5101NI0042,LC5101NI0043,LC5101NI0044,LC5101NI0045,LC5101NI0046,LC5101NI0047,LC5101NI0048,LC5101NI0049
N00000001,757,45,114,190,176,189,43,166,18,27,58,45,8,10,370,12,39,83,99,111,26,182,7,40,45,30,55,5,27,4,6,3,1,11,2,8,0,2,1,1,4,0,4,4,0,0,0,0,0
N00000002,269,66,24,38,25,90,26,27,4,1,9,7,6,0,48,1,4,8,6,20,9,56,9,5,4,7,26,5,46,10,6,8,3,15,4,39,10,4,7,2,14,2,53,32,4,2,0,9,6
N00000003,179,37,21,27,19,63,12,18,1,2,6,6,3,0,14,0,2,2,2,8,0,35,3,5,3,5,17,2,53,12,11,8,3,16,3,26,4,1,3,2,13,3,33,17,0,5,1,6,4
N00000004,466,106,60,80,77,116,27,85,12,18,25,23,6,1,48,0,8,6,12,21,1,86,10,10,14,22,25,5,111,23,13,22,12,35,6,82,27,7,9,8,22,9,54,34,4,4,0,7,5
N00000005,281,60,24,42,44,90,21,43,2,6,15,15,5,0,38,1,5,6,12,14,0,65,8,6,8,10,30,3,54,15,1,2,7,25,4,48,19,6,6,0,9,8,33,15,0,5,0,7,6
N00000006,198,31,19,46,23,54,25,22,3,4,6,5,2,2,30,0,3,7,8,10,2,40,2,4,15,2,11,6,33,1,2,7,5,11,7,34,7,4,5,2,12,4,39,18,2,6,1,8,4
N00000007,194,37,17,36,29,54,21,27,5,3,10,9,0,0,19,1,1,5,2,10,0,41,2,4,10,7,13,5,34,8,4,4,4,9,5,37,5,2,3,4,15,8,36,16,3,4,3,7,3
N00000008,244,52,28,31,24,83,26,29,2,11,7,2,3,4,46,4,2,6,9,20,5,46,3,6,2,6,25,4,49,9,8,5,5,17,5,38,11,1,7,2,13,4,36,23,0,4,0,5,4
N00000009,564,89,60,91,76,194,54,63,9,5,15,20,10,4,154,6,20,19,24,73,12,128,10,19,24,15,49,11,84,10,10,17,9,26,12,66,17,3,9,6,23,8,69,37,3,7,2,13,7
N00000010,192,59,25,28,18,44,18,28,4,5,5,7,6,1,26,1,4,4,4,8,5,28,3,3,5,2,11,4,38,6,6,8,2,9,7,30,15,4,2,2,7,0,42,30,3,4,1,3,1
N00000011,251,94,37,36,21,39,24,28,3,5,12,4,4,0,30,4,6,0,4,13,3,36,0,8,14,4,6,4,42,14,5,6,5,6,6,39,16,9,3,2,5,4,76,57,4,1,2,5,7
N00000012,222,77,25,32,27,33,28,24,2,4,7,2,7,2,29,2,5,3,6,9,4,44,4,10,6,12,8,4,28,10,3,5,2,3,5,36,13,1,8,3,4,7,61,46,2,3,2,2,6
N00000013,227,73,30,37,25,42,20,27,1,6,9,5,4,2,37,4,8,5,6,12,2,32,11,4,6,3,6,2,31,7,3,3,6,8,4,38,13,4,6,4,5,6,62,37,5,8,1,7,4
N00000014,382,111,59,76,35,68,33,53,6,7,16,12,7,5,93,8,12,22,13,28,10,75,4,17,20,5,22,7,51,15,17,7,3,2,7,51,32,3,7,2,4,3,59,46,3,4,0,5,1
N00000015,195,92,30,22,16,22,13,20,1,7,8,2,1,1,14,2,5,2,2,2,1,37,8,8,7,7,4,3,26,10,2,3,4,6,1,34,20,6,2,0,3,3,64,51,2,0,1,6,4
N00000016,191,59,26,39,16,26,25,20,1,7,5,2,3,2,25,2,3,6,4,6,4,34,6,7,6,5,7,3,37,8,5,11,3,5,5,30,12,2,6,2,2,6,45,30,2,5,0,3,5
N00000017,252,88,38,39,32,40,15,44,9,10,10,9,4,2,48,9,9,11,10,7,2,43,7,5,9,10,11,1,45,17,7,6,3,8,4,33,12,6,2,0,8,5,39,34,1,1,0,2,1
N00000018,181,48,34,30,23,26,20,32,1,11,8,7,3,2,31,4,4,5,7,7,4,32,4,10,7,3,5,3,30,8,6,6,2,4,4,23,10,2,3,4,2,2,33,21,1,1,0,5,5
N00000019,212,96,35,28,18,18,17,30,2,5,9,8,2,4,30,5,5,8,1,7,4,37,7,12,3,7,5,3,36,21,7,4,1,3,0,33,22,2,4,1,0,4,46,39,4,0,0,1,2
N00000020,170,62,23,36,17,14,18,21,3,3,11,2,0,2,37,4,7,10,5,9,2,30,7,6,6,6,1,4,26,13,3,5,2,2,1,24,13,2,2,1,1,5,32,22,2,2,1,1,4
N00000021,215,74,30,35,26,30,20,24,7,4,3,6,3,1,33,0,3,9,10,8,3,47,6,11,13,5,8,4,33,12,5,5,2,5,4,33,16,6,2,2,4,3,45,33,1,3,1,2,5
N00000022,222,102,31,25,30,22,12,41,8,13,6,10,3,1,28,6,5,3,4,5,5,32,9,4,7,7,5,0,36,11,4,7,4,5,5,28,22,1,1,2,2,0,57,46,4,1,3,2,1
N00000023,184,95,19,26,17,17,10,17,6,4,4,1,2,0,31,1,4,7,10,7,2,30,6,5,8,4,3,4,24,15,3,3,1,2,0,23,11,1,4,1,2,4,59,56,2,0,0,1,0
N00000024,402,75,56,59,52,130,30,56,10,11,11,16,7,1,47,5,2,9,12,18,1,98,9,19,15,11,37,7,95,9,14,10,10,43,9,48,10,9,7,3,11,8,58,32,1,7,0,14,4
N00000025,371,103,33,67,38,96,34,46,5,4,14,16,2,5,40,3,2,11,6,18,0,51,6,7,13,5,16,4,100,17,15,16,7,34,11,68,32,1,11,3,17,4,66,40,4,2,1,9,10
N00000026,383,90,41,66,50,105,31,70,9,10,22,19,7,3,35,3,4,2,7,18,1,71,8,8,15,7,24,9,92,17,10,19,10,28,8,52,16,5,5,4,18,4,63,37,4,3,3,10,6
