ColumnVariableCode,ColumnVariableMeasurementUnit,ColumnVariableStatisticalUnit,ColumnVariableDescription
LC2203NI0001,Count,PERSONS,"All categories: Country of Birth, All categories: Religion Brought up In"
LC2203NI0002,Count,PERSONS,"All categories: Country of Birth, Catholic"
LC2203NI0003,Count,PERSONS,"All categories: Country of Birth, Protestant and Other Christian (including Christian related)"
LC2203NI0004,Count,PERSONS,"All categories: Country of Birth, Other religions and none"
LC2203NI0005,Count,PERSONS,"Northern Ireland , All categories: Religion Brought up In"
LC2203NI0006,Count,PERSONS,"Northern Ireland , Catholic"
LC2203NI0007,Count,PERSONS,"Northern Ireland , Protestant and Other Christian (including Christian related)"
LC2203NI0008,Count,PERSONS,"Northern Ireland , Other religions and none"
LC2203NI0009,Count,PERSONS,"Other United Kingdom and Republic of Ireland, All categories: Religion Brought up In"
LC2203NI0010,Count,PERSONS,"Other United Kingdom and Republic of Ireland, Catholic"
LC2203NI0011,Count,PERSONS,"Other United Kingdom and Republic of Ireland, Protestant and Other Christian (including Christian related)"
LC2203NI0012,Count,PERSONS,"Other United Kingdom and Republic of Ireland, Other religions and none"
LC2203NI0013,Count,PERSONS,"Other, All categories: Religion Brought up In"
LC2203NI0014,Count,PERSONS,"Other, Catholic"
LC2203NI0015,Count,PERSONS,"Other, Protestant and Other Christian (including Christian related)"
LC2203NI0016,Count,PERSONS,"Other, Other religions and none"
