GeographyCode,LC2401NI0001,LC2401NI0002,LC2401NI0003,LC2401NI0004,LC2401NI0005,LC2401NI0006,LC2401NI0007,LC2401NI0008,LC2401NI0009,LC2401NI0010,LC2401NI0011,LC2401NI0012,LC2401NI0013,LC2401NI0014,LC2401NI0015,LC2401NI0016,LC2401NI0017,LC2401NI0018,LC2401NI0019,LC2401NI0020,LC2401NI0021,LC2401NI0022,LC2401NI0023,LC2401NI0024,LC2401NI0025,LC2401NI0026,LC2401NI0027,LC2401NI0028
N00000001,982,123,404,69,48,287,455,93,28,37,24,5,8,28,26,3,6,0,0,6,17,863,92,361,45,43,273,410
N00000002,351,219,80,36,33,11,52,292,185,64,27,29,8,43,11,9,2,2,0,0,0,48,25,14,7,4,3,9
N00000003,233,108,105,38,23,44,20,218,101,99,35,23,41,18,0,0,0,0,0,0,0,15,7,6,3,0,3,2
N00000004,616,296,236,92,103,41,84,548,266,216,83,95,38,66,11,7,3,0,3,0,1,57,23,17,9,5,3,17
N00000005,374,171,134,85,30,19,69,349,164,126,81,26,19,59,0,0,0,0,0,0,0,25,7,8,4,4,0,10
N00000006,240,141,72,34,28,10,27,216,129,65,31,26,8,22,0,0,0,0,0,0,0,24,12,7,3,2,2,5
N00000007,245,55,136,69,52,15,54,184,45,111,54,43,14,28,3,0,3,0,3,0,0,58,10,22,15,6,1,26
N00000008,288,76,129,70,32,27,83,218,56,101,57,19,25,61,3,0,3,3,0,0,0,67,20,25,10,13,2,22
N00000009,727,121,442,296,68,78,164,622,87,383,261,66,56,152,2,0,2,2,0,0,0,103,34,57,33,2,22,12
N00000010,234,21,169,123,16,30,44,208,20,154,110,14,30,34,0,0,0,0,0,0,0,26,1,15,13,2,0,10
N00000011,293,78,160,84,60,16,55,223,63,123,64,50,9,37,30,5,17,7,8,2,8,40,10,20,13,2,5,10
N00000012,264,76,144,78,58,8,44,209,56,128,73,48,7,25,26,15,5,4,1,0,6,29,5,11,1,9,1,13
N00000013,268,78,131,59,57,15,59,178,49,95,43,44,8,34,14,3,4,3,1,0,7,76,26,32,13,12,7,18
N00000014,460,158,200,109,73,18,102,303,117,138,77,48,13,48,47,8,28,12,14,2,11,110,33,34,20,11,3,43
N00000015,226,69,121,70,45,6,36,125,38,65,39,21,5,22,67,18,43,23,19,1,6,34,13,13,8,5,0,8
N00000016,223,45,132,61,55,16,46,118,22,76,37,32,7,20,47,7,32,12,16,4,8,58,16,24,12,7,5,18
N00000017,340,33,229,123,69,37,78,222,29,147,70,55,22,46,86,0,65,39,12,14,21,32,4,17,14,2,1,11
N00000018,229,24,152,80,48,24,53,182,12,123,65,39,19,47,3,0,3,3,0,0,0,44,12,26,12,9,5,6
N00000019,261,4,189,86,90,13,68,172,0,133,61,67,5,39,50,3,34,12,18,4,13,39,1,22,13,5,4,16
N00000020,236,9,165,96,50,19,62,82,3,53,38,10,5,26,125,5,94,51,33,10,26,29,1,18,7,7,4,10
N00000021,269,32,160,101,49,10,77,181,23,113,70,38,5,45,33,2,21,14,4,3,10,55,7,26,17,7,2,22
N00000022,269,29,179,103,42,34,61,170,10,126,74,30,22,34,49,4,33,17,9,7,12,50,15,20,12,3,5,15
N00000023,218,4,148,95,30,23,66,123,1,87,61,15,11,35,73,1,53,29,13,11,19,22,2,8,5,2,1,12
N00000024,533,55,386,241,76,69,92,498,54,363,229,69,65,81,1,0,0,0,0,0,1,34,1,23,12,7,4,10
N00000025,460,59,324,239,43,42,77,441,59,307,228,41,38,75,4,0,4,0,0,4,0,15,0,13,11,2,0,2
N00000026,460,79,300,195,69,36,81,430,70,287,185,66,36,73,5,3,2,2,0,0,0,25,6,11,8,3,0,8
N00000027,535,283,172,113,37,22,80,475,262,157,103,35,19,56,0,0,0,0,0,0,0,60,21,15,10,2,3,24
N00000028,236,163,49,23,20,6,24,221,155,45,23,16,6,21,0,0,0,0,0,0,0,15,8,4,0,4,0,3
N00000029,403,39,298,233,28,37,66,379,39,280,218,27,35,60,3,0,0,0,0,0,3,21,0,18,15,1,2,3
N00000030,375,69,239,151,43,45,67,347,67,216,140,36,40,64,0,0,0,0,0,0,0,28,2,23,11,7,5,3
N00000031,699,609,44,30,5,9,46,639,566,36,25,4,7,37,11,10,0,0,0,0,1,49,33,8,5,1,2,8
N00000032,386,214,124,75,32,17,48,354,194,115,68,31,16,45,0,0,0,0,0,0,0,32,20,9,7,1,1,3
N00000033,495,275,170,133,20,17,50,448,255,162,125,20,17,31,3,0,0,0,0,0,3,44,20,8,8,0,0,16
N00000034,438,147,202,125,37,40,89,376,130,178,111,33,34,68,10,3,3,3,0,0,4,52,14,21,11,4,6,17
N00000035,291,128,106,62,19,25,57,159,62,71,42,13,16,26,71,43,16,12,3,1,12,61,23,19,8,3,8,19
N00000036,345,191,81,31,40,10,73,253,155,54,25,21,8,44,37,17,9,1,6,2,11,55,19,18,5,13,0,18
N00000037,285,213,40,21,16,3,32,264,197,37,19,15,3,30,8,5,2,2,0,0,1,13,11,1,0,1,0,1
N00000038,406,291,59,21,32,6,56,340,244,50,18,27,5,46,7,4,2,0,2,0,1,59,43,7,3,3,1,9
N00000039,1262,985,139,41,74,24,138,1009,817,95,27,55,13,97,106,66,28,12,10,6,12,147,102,16,2,9,5,29
N00000040,265,182,47,25,17,5,36,165,123,26,16,9,1,16,50,26,17,6,7,4,7,50,33,4,3,1,0,13
N00000041,462,411,22,10,8,4,29,414,373,18,9,7,2,23,5,2,0,0,0,0,3,43,36,4,1,1,2,3
N00000042,410,312,67,27,29,11,31,390,297,66,26,29,11,27,5,5,0,0,0,0,0,15,10,1,1,0,0,4
N00000043,1202,890,138,61,52,25,174,1016,774,113,51,41,21,129,87,52,11,7,4,0,24,99,64,14,3,7,4,21
N00000044,312,208,55,26,26,3,49,227,155,38,18,19,1,34,61,44,9,3,6,0,8,24,9,8,5,1,2,7
N00000045,515,57,412,280,57,75,46,462,49,372,254,50,68,41,7,5,2,2,0,0,0,46,3,38,24,7,7,5
N00000046,394,29,307,228,29,50,58,357,27,283,206,27,50,47,12,0,9,9,0,0,3,25,2,15,13,2,0,8
N00000047,353,38,243,154,60,29,72,303,29,219,135,57,27,55,10,0,10,10,0,0,0,40,9,14,9,3,2,17
N00000048,304,46,213,122,76,15,45,175,15,127,80,42,5,33,56,3,50,23,20,7,3,73,28,36,19,14,3,9
N00000049,254,52,157,92,43,22,45,144,30,102,56,32,14,12,51,10,31,21,3,7,10,59,12,24,15,8,1,23
N00000050,299,52,212,160,32,20,35,239,37,173,133,24,16,29,10,2,5,0,4,1,3,50,13,34,27,4,3,3
N00000051,313,229,30,7,6,17,54,142,108,10,2,0,8,24,150,110,19,5,6,8,21,21,11,1,0,0,1,9
N00000052,309,172,54,32,17,5,83,173,85,42,23,14,5,46,92,70,7,6,1,0,15,44,17,5,3,2,0,22
N00000053,252,130,55,34,8,13,67,149,76,38,23,8,7,35,29,16,5,2,0,3,8,74,38,12,9,0,3,24
N00000054,266,38,142,82,54,6,86,153,25,81,38,39,4,47,62,2,39,30,9,0,21,51,11,22,14,6,2,18
N00000055,266,48,171,83,63,25,47,215,32,145,70,52,23,38,15,5,10,9,0,1,0,36,11,16,4,11,1,9
N00000056,270,54,158,108,40,10,58,189,36,117,83,28,6,36,41,7,23,15,4,4,11,40,11,18,10,8,0,11
N00000057,279,41,135,59,61,15,103,105,22,52,23,25,4,31,133,9,69,33,26,10,55,41,10,14,3,10,1,17
N00000058,266,49,166,79,69,18,51,132,18,84,52,23,9,30,76,4,62,15,43,4,10,58,27,20,12,3,5,11
N00000059,226,37,110,74,25,11,79,97,25,41,25,10,6,31,87,10,51,37,9,5,26,42,2,18,12,6,0,22
N00000060,394,81,221,113,90,18,92,178,36,100,60,33,7,42,138,22,90,40,41,9,26,78,23,31,13,16,2,24
N00000061,273,46,162,106,43,13,65,231,39,143,97,39,7,49,17,2,5,1,2,2,10,25,5,14,8,2,4,6
N00000062,351,72,204,108,47,49,75,307,62,175,96,40,39,70,14,0,10,6,1,3,4,30,10,19,6,6,7,1
N00000063,354,52,190,99,64,27,112,198,34,111,65,25,21,53,92,10,51,22,25,4,31,64,8,28,12,14,2,28
N00000064,279,145,71,30,21,20,63,87,44,19,4,8,7,24,140,75,36,16,9,11,29,52,26,16,10,4,2,10
N00000065,389,112,216,132,45,39,61,361,95,212,129,45,38,54,9,2,1,1,0,0,6,19,15,3,2,0,1,1
N00000066,264,100,114,75,23,16,50,234,88,105,70,21,14,41,10,4,2,0,0,2,4,20,8,7,5,2,0,5
N00000067,316,131,99,44,25,30,86,160,55,58,29,15,14,47,115,59,32,9,7,16,24,41,17,9,6,3,0,15
N00000068,371,76,203,114,62,27,92,340,69,191,112,58,21,80,3,0,3,0,3,0,0,28,7,9,2,1,6,12
N00000069,334,148,107,42,48,17,79,122,50,41,14,24,3,31,179,87,54,25,18,11,38,33,11,12,3,6,3,10
N00000070,243,96,123,73,29,21,24,215,85,108,67,28,13,22,0,0,0,0,0,0,0,28,11,15,6,1,8,2
N00000071,258,110,89,52,29,8,59,165,72,63,32,25,6,30,20,15,3,2,1,0,2,73,23,23,18,3,2,27
N00000072,1753,476,863,412,298,153,414,1410,326,765,380,252,133,319,71,19,34,11,22,1,18,272,131,64,21,24,19,77
N00000073,444,135,175,99,53,23,134,236,72,100,59,34,7,64,58,13,34,21,7,6,11,150,50,41,19,12,10,59
N00000074,1047,401,403,214,132,57,243,895,343,346,193,104,49,206,11,1,10,2,5,3,0,141,57,47,19,23,5,37
N00000075,277,121,102,47,41,14,54,217,101,85,41,36,8,31,15,0,10,3,2,5,5,45,20,7,3,3,1,18
N00000076,344,141,136,78,34,24,67,299,115,126,76,30,20,58,0,0,0,0,0,0,0,45,26,10,2,4,4,9
N00000077,275,143,100,46,30,24,32,254,127,99,46,30,23,28,0,0,0,0,0,0,0,21,16,1,0,0,1,4
N00000078,488,205,185,117,48,20,98,447,177,181,115,46,20,89,6,5,0,0,0,0,1,35,23,4,2,2,0,8
N00000079,564,39,421,296,61,64,104,516,37,391,272,58,61,88,4,0,1,0,1,0,3,44,2,29,24,2,3,13
N00000080,424,26,324,211,46,67,74,388,23,302,200,35,67,63,8,1,2,1,1,0,5,28,2,20,10,10,0,6
N00000081,339,10,268,183,65,20,61,240,7,190,127,44,19,43,56,1,46,33,13,0,9,43,2,32,23,8,1,9
N00000082,342,22,277,190,43,44,43,303,18,252,173,41,38,33,0,0,0,0,0,0,0,39,4,25,17,2,6,10
N00000083,650,29,496,337,85,74,125,618,29,475,327,81,67,114,0,0,0,0,0,0,0,32,0,21,10,4,7,11
N00000084,456,7,375,274,57,44,74,427,6,354,258,52,44,67,3,0,3,1,2,0,0,26,1,18,15,3,0,7
N00000085,399,225,106,74,19,13,68,210,101,70,48,16,6,39,78,49,17,13,0,4,12,111,75,19,13,3,3,17
N00000086,395,295,23,7,14,2,77,265,215,14,3,9,2,36,7,4,0,0,0,0,3,123,76,9,4,5,0,38
