GeographyCode,LC2609NI0001,LC2609NI0002,LC2609NI0003,LC2609NI0004,LC2609NI0005,LC2609NI0006,LC2609NI0007,LC2609NI0008,LC2609NI0009,LC2609NI0010,LC2609NI0011,LC2609NI0012,LC2609NI0013,LC2609NI0014,LC2609NI0015,LC2609NI0016,LC2609NI0017,LC2609NI0018,LC2609NI0019,LC2609NI0020,LC2609NI0021,LC2609NI0022,LC2609NI0023,LC2609NI0024,LC2609NI0025,LC2609NI0026,LC2609NI0027,LC2609NI0028,LC2609NI0029,LC2609NI0030,LC2609NI0031,LC2609NI0032,LC2609NI0033,LC2609NI0034,LC2609NI0035
N00000001,591,82,261,40,29,192,248,71,8,33,8,3,22,30,220,36,97,12,12,73,87,277,35,123,18,12,93,119,23,3,8,2,2,4,12
N00000002,170,113,28,14,11,3,29,50,34,6,1,4,1,10,44,26,9,6,2,1,9,63,45,10,4,5,1,8,13,8,3,3,0,0,2
N00000003,115,55,47,17,13,17,13,40,20,16,5,5,6,4,25,13,8,4,2,2,4,40,18,19,7,4,8,3,10,4,4,1,2,1,2
N00000004,310,146,126,45,56,25,38,60,27,24,10,11,3,9,90,42,41,18,11,12,7,125,59,49,11,28,10,17,35,18,12,6,6,0,5
N00000005,210,90,76,51,15,10,44,53,26,19,10,3,6,8,81,37,31,22,5,4,13,59,21,20,14,6,0,18,17,6,6,5,1,0,5
N00000006,134,77,43,21,16,6,14,30,19,11,4,4,3,0,48,24,17,9,7,1,7,50,30,13,8,4,1,7,6,4,2,0,1,1,0
N00000007,130,32,70,38,24,8,28,34,10,19,7,8,4,5,39,7,19,10,8,1,13,47,12,26,18,6,2,9,10,3,6,3,2,1,1
N00000008,162,42,75,40,17,18,45,49,19,18,7,4,7,12,49,9,25,15,5,5,15,54,12,27,16,6,5,15,10,2,5,2,2,1,3
N00000009,408,76,233,146,33,54,99,138,23,80,59,3,18,35,102,13,61,35,12,14,28,132,34,69,41,12,16,29,36,6,23,11,6,6,7
N00000010,113,12,83,59,8,16,18,22,4,11,8,1,2,7,36,3,28,23,1,4,5,41,3,34,23,5,6,4,14,2,10,5,1,4,2
N00000011,130,41,64,33,24,7,25,15,4,5,2,3,0,6,34,11,17,12,4,1,6,53,18,27,12,9,6,8,28,8,15,7,8,0,5
N00000012,132,40,67,34,30,3,25,8,6,1,0,1,0,1,26,6,17,9,6,2,3,66,16,35,18,17,0,15,32,12,14,7,6,1,6
N00000013,116,36,52,21,25,6,28,19,6,8,2,5,1,5,26,9,9,6,3,0,8,54,17,25,9,12,4,12,17,4,10,4,5,1,3
N00000014,265,86,119,65,40,14,60,35,14,16,8,5,3,5,63,13,34,16,12,6,16,130,45,56,34,18,4,29,37,14,13,7,5,1,10
