GeographyCode,LC2114NI0001,LC2114NI0002,LC2114NI0003,LC2114NI0004,LC2114NI0005,LC2114NI0006,LC2114NI0007,LC2114NI0008,LC2114NI0009,LC2114NI0010,LC2114NI0011,LC2114NI0012,LC2114NI0013,LC2114NI0014,LC2114NI0015
N00001303,325,8,317,94,2,92,79,2,77,99,3,96,53,1,52
N00001304,316,11,305,90,1,89,67,1,66,73,4,69,86,5,81
N00001305,322,6,316,105,0,105,56,0,56,90,4,86,71,2,69
N00001306,205,13,192,51,1,50,72,2,70,59,10,49,23,0,23
N00001307,301,4,297,107,0,107,99,4,95,89,0,89,6,0,6
N00001308,469,33,436,125,1,124,130,9,121,120,9,111,94,14,80
N00001309,342,8,334,113,0,113,117,0,117,75,5,70,37,3,34
N00001310,911,24,887,367,2,365,311,9,302,176,9,167,57,4,53
N00001311,295,8,287,142,1,141,88,3,85,51,4,47,14,0,14
N00001312,609,13,596,254,4,250,215,5,210,103,3,100,37,1,36
N00001313,391,17,374,85,4,81,195,7,188,71,5,66,40,1,39
N00001314,385,18,367,153,6,147,120,5,115,88,7,81,24,0,24
N00001315,242,6,236,60,1,59,58,3,55,63,2,61,61,0,61
N00001316,336,30,306,88,9,79,85,8,77,62,5,57,101,8,93
N00001317,260,17,243,60,0,60,62,2,60,81,7,74,57,8,49
N00001318,265,10,255,64,2,62,82,4,78,77,3,74,42,1,41
N00001319,278,13,265,81,2,79,55,1,54,87,7,80,55,3,52
N00001320,241,18,223,59,2,57,57,5,52,67,10,57,58,1,57
N00001321,270,6,264,81,2,79,58,2,56,76,2,74,55,0,55
N00001322,255,19,236,70,3,67,81,8,73,58,1,57,46,7,39
N00001323,288,14,274,63,0,63,90,9,81,71,3,68,64,2,62
N00001324,235,10,225,55,1,54,55,2,53,68,7,61,57,0,57
N00001325,1238,60,1178,353,2,351,341,14,327,357,23,334,187,21,166
N00001326,351,35,316,92,1,91,59,3,56,122,14,108,78,17,61
N00001327,324,34,290,94,4,90,44,3,41,100,14,86,86,13,73
N00001328,1013,61,952,315,4,311,202,13,189,298,22,276,198,22,176
N00001329,275,13,262,74,2,72,58,4,54,95,3,92,48,4,44
N00001330,314,16,298,86,1,85,58,2,56,115,6,109,55,7,48
N00001331,268,13,255,78,0,78,63,4,59,87,4,83,40,5,35
N00001332,180,14,166,42,1,41,100,7,93,29,5,24,9,1,8
N00001333,324,30,294,103,2,101,96,10,86,80,10,70,45,8,37
N00001334,344,19,325,111,1,110,78,2,76,87,9,78,68,7,61
N00001335,189,16,173,26,1,25,124,10,114,24,4,20,15,1,14
N00001336,309,12,297,111,1,110,48,4,44,101,5,96,49,2,47
N00001337,288,27,261,82,4,78,77,6,71,91,14,77,38,3,35
N00001338,288,29,259,77,3,74,75,5,70,77,10,67,59,11,48
N00001339,351,10,341,107,0,107,98,4,94,90,4,86,56,2,54
N00001340,751,56,695,201,7,194,196,13,183,203,19,184,151,17,134
N00001341,317,5,312,100,0,100,73,0,73,99,2,97,45,3,42
N00001342,381,10,371,123,2,121,83,0,83,124,3,121,51,5,46
N00001343,287,1,286,85,0,85,71,0,71,96,0,96,35,1,34
N00001344,323,16,307,92,5,87,69,3,66,104,5,99,58,3,55
N00001345,246,17,229,52,1,51,50,1,49,74,8,66,70,7,63
N00001346,781,69,712,172,7,165,223,10,213,236,32,204,150,20,130
