GeographyCode,LC1103NI0001,LC1103NI0002,LC1103NI0003,LC1103NI0004,LC1103NI0005,LC1103NI0006,LC1103NI0007,LC1103NI0008,LC1103NI0009,LC1103NI0010,LC1103NI0011,LC1103NI0012,LC1103NI0013,LC1103NI0014,LC1103NI0015,LC1103NI0016,LC1103NI0017,LC1103NI0018,LC1103NI0019,LC1103NI0020,LC1103NI0021,LC1103NI0022,LC1103NI0023,LC1103NI0024,LC1103NI0025,LC1103NI0026,LC1103NI0027,LC1103NI0028,LC1103NI0029,LC1103NI0030,LC1103NI0031,LC1103NI0032,LC1103NI0033,LC1103NI0034,LC1103NI0035,LC1103NI0036
N00000001,310,276,34,255,236,19,55,40,15,284,263,21,243,229,14,41,34,7,23,12,11,12,7,5,11,5,6,3,1,2,0,0,0,3,1,2
N00000002,141,73,68,87,58,29,54,15,39,51,27,24,34,22,12,17,5,12,53,28,25,34,21,13,19,7,12,37,18,19,19,15,4,18,3,15
N00000003,78,59,19,53,44,9,25,15,10,20,16,4,14,12,2,6,4,2,38,31,7,28,23,5,10,8,2,20,12,8,11,9,2,9,3,6
N00000004,195,140,55,136,109,27,59,31,28,59,39,20,44,31,13,15,8,7,102,83,19,76,66,10,26,17,9,34,18,16,16,12,4,18,6,12
N00000005,124,90,34,88,68,20,36,22,14,46,30,16,31,19,12,15,11,4,58,48,10,45,39,6,13,9,4,20,12,8,12,10,2,8,2,6
N00000006,86,51,35,53,39,14,33,12,21,29,18,11,19,14,5,10,4,6,34,25,9,27,20,7,7,5,2,23,8,15,7,5,2,16,3,13
N00000007,89,60,29,58,46,12,31,14,17,27,21,6,20,16,4,7,5,2,38,27,11,28,23,5,10,4,6,24,12,12,10,7,3,14,5,9
N00000008,138,56,82,82,42,40,56,14,42,57,24,33,34,17,17,23,7,16,59,25,34,40,20,20,19,5,14,22,7,15,8,5,3,14,2,12
N00000009,275,159,116,178,127,51,97,32,65,150,78,72,90,60,30,60,18,42,85,59,26,63,49,14,22,10,12,40,22,18,25,18,7,15,4,11
N00000010,86,48,38,55,41,14,31,7,24,21,12,9,16,11,5,5,1,4,36,25,11,24,21,3,12,4,8,29,11,18,15,9,6,14,2,12
N00000011,136,64,72,83,48,35,53,16,37,29,15,14,23,13,10,6,2,4,49,28,21,33,22,11,16,6,10,58,21,37,27,13,14,31,8,23
N00000012,121,49,72,71,37,34,50,12,38,41,12,29,25,10,15,16,2,14,39,17,22,26,13,13,13,4,9,41,20,21,20,14,6,21,6,15
N00000013,136,44,92,80,34,46,56,10,46,46,10,36,30,8,22,16,2,14,41,22,19,30,16,14,11,6,5,49,12,37,20,10,10,29,2,27
N00000014,205,85,120,112,66,46,93,19,74,102,29,73,54,25,29,48,4,44,65,39,26,43,31,12,22,8,14,38,17,21,15,10,5,23,7,16
N00000015,119,39,80,64,30,34,55,9,46,31,9,22,18,6,12,13,3,10,39,17,22,21,11,10,18,6,12,49,13,36,25,13,12,24,0,24
N00000016,122,29,93,55,16,39,67,13,54,39,4,35,16,2,14,23,2,21,45,16,29,26,8,18,19,8,11,38,9,29,13,6,7,25,3,22
N00000017,144,55,89,75,47,28,69,8,61,60,21,39,29,17,12,31,4,27,54,25,29,33,22,11,21,3,18,30,9,21,13,8,5,17,1,16
N00000018,94,43,51,56,33,23,38,10,28,40,17,23,26,13,13,14,4,10,32,14,18,18,10,8,14,4,10,22,12,10,12,10,2,10,2,8
