GeographyCode,LC4104NI0001,LC4104NI0002,LC4104NI0003,LC4104NI0004,LC4104NI0005,LC4104NI0006,LC4104NI0007,LC4104NI0008,LC4104NI0009,LC4104NI0010,LC4104NI0011,LC4104NI0012,LC4104NI0013,LC4104NI0014,LC4104NI0015,LC4104NI0016,LC4104NI0017,LC4104NI0018,LC4104NI0019,LC4104NI0020,LC4104NI0021,LC4104NI0022,LC4104NI0023,LC4104NI0024,LC4104NI0025,LC4104NI0026,LC4104NI0027,LC4104NI0028
N00000001,310,23,199,88,21,4,12,5,278,13,186,79,262,11,178,73,6,0,5,1,10,2,3,5,11,6,1,4
N00000002,141,15,69,57,42,12,29,1,90,3,36,51,55,1,15,39,17,1,12,4,18,1,9,8,9,0,4,5
N00000003,78,6,22,50,12,4,4,4,58,0,16,42,44,0,7,37,6,0,4,2,8,0,5,3,8,2,2,4
N00000004,195,11,52,132,28,6,20,2,158,5,30,123,125,4,16,105,10,0,5,5,23,1,9,13,9,0,2,7
N00000005,124,4,36,84,17,1,14,2,99,1,20,78,77,0,11,66,7,0,4,3,15,1,5,9,8,2,2,4
N00000006,86,8,30,48,21,6,13,2,60,1,16,43,44,0,5,39,7,0,6,1,9,1,5,3,5,1,1,3
N00000007,89,5,26,58,17,4,8,5,67,1,17,49,51,0,10,41,8,0,5,3,8,1,2,5,5,0,1,4
N00000008,138,21,67,50,54,16,35,3,74,4,30,40,45,1,15,29,14,2,9,3,15,1,6,8,10,1,2,7
N00000009,275,13,97,165,64,9,53,2,192,3,40,149,135,1,11,123,28,2,19,7,29,0,10,19,19,1,4,14
N00000010,86,7,29,50,20,5,13,2,59,1,14,44,37,0,4,33,12,0,7,5,10,1,3,6,7,1,2,4
N00000011,136,47,62,27,58,35,22,1,70,11,37,22,42,3,20,19,9,3,4,2,19,5,13,1,8,1,3,4
N00000012,121,34,62,25,43,22,20,1,71,9,41,21,39,1,22,16,15,5,8,2,17,3,11,3,7,3,1,3
N00000013,136,50,59,27,67,38,27,2,64,12,30,22,35,3,16,16,16,7,5,4,13,2,9,2,5,0,2,3
N00000014,205,49,100,56,60,23,37,0,129,19,60,50,69,9,28,32,28,5,16,7,32,5,16,11,16,7,3,6
N00000015,119,58,48,13,56,34,21,1,59,23,25,11,28,6,16,6,14,7,5,2,17,10,4,3,4,1,2,1
N00000016,122,49,61,12,62,37,24,1,57,11,36,10,23,5,13,5,20,5,12,3,14,1,11,2,3,1,1,1
N00000017,144,48,62,34,53,31,21,1,83,15,39,29,45,3,20,22,26,10,13,3,12,2,6,4,8,2,2,4
N00000018,94,27,43,24,23,12,11,0,65,15,30,20,33,6,10,17,13,6,7,0,19,3,13,3,6,0,2,4
N00000019,116,38,52,26,39,21,17,1,72,16,32,24,32,4,12,16,22,10,10,2,18,2,10,6,5,1,3,1
N00000020,122,45,64,13,53,25,27,1,61,17,32,12,16,2,8,6,30,13,14,3,15,2,10,3,8,3,5,0
N00000021,128,48,58,22,54,35,19,0,69,12,36,21,33,0,18,15,19,7,8,4,17,5,10,2,5,1,3,1
N00000022,126,45,63,18,53,26,27,0,67,19,30,18,27,4,10,13,26,10,14,2,14,5,6,3,6,0,6,0
N00000023,115,42,57,16,48,29,17,2,62,13,37,12,23,2,16,5,22,7,13,2,17,4,8,5,5,0,3,2
N00000024,174,4,48,122,22,2,16,4,142,2,31,109,109,1,14,94,10,1,6,3,23,0,11,12,10,0,1,9
N00000025,159,5,47,107,29,4,20,5,106,1,21,84,85,0,15,70,2,0,1,1,19,1,5,13,24,0,6,18
N00000026,151,5,33,113,23,4,14,5,109,1,17,91,84,0,6,78,13,1,5,7,12,0,6,6,19,0,2,17
N00000027,178,14,68,96,37,7,28,2,126,5,36,85,92,1,16,75,12,3,5,4,22,1,15,6,15,2,4,9
N00000028,85,6,46,33,19,3,16,0,60,2,27,31,39,0,16,23,12,1,8,3,9,1,3,5,6,1,3,2
N00000029,136,7,34,95,19,4,14,1,111,3,19,89,82,1,8,73,10,1,4,5,19,1,7,11,6,0,1,5
N00000030,131,5,36,90,22,1,15,6,98,3,20,75,66,2,8,56,12,1,2,9,20,0,10,10,11,1,1,9
N00000031,201,9,55,137,25,6,17,2,155,2,35,118,121,0,17,104,18,2,7,9,16,0,11,5,21,1,3,17
N00000032,133,8,57,68,30,7,22,1,99,0,34,65,69,0,17,52,10,0,4,6,20,0,13,7,4,1,1,2
N00000033,166,9,49,108,27,5,17,5,127,4,28,95,96,0,16,80,11,2,4,5,20,2,8,10,12,0,4,8
N00000034,158,11,61,86,29,5,21,3,124,6,40,78,83,1,15,67,16,4,10,2,25,1,15,9,5,0,0,5
N00000035,128,27,75,26,48,16,30,2,74,11,41,22,38,2,18,18,20,5,14,1,16,4,9,3,6,0,4,2
N00000036,134,22,60,52,33,11,21,1,96,10,38,48,61,4,19,38,19,5,8,6,16,1,11,4,5,1,1,3
N00000037,124,18,74,32,44,12,31,1,72,5,39,28,38,1,15,22,16,3,10,3,18,1,14,3,8,1,4,3
N00000038,138,15,54,69,24,12,10,2,99,3,39,57,65,1,17,47,15,2,9,4,19,0,13,6,15,0,5,10
N00000039,448,92,174,182,119,57,60,2,313,32,110,171,193,7,50,136,69,19,36,14,51,6,24,21,16,3,4,9
N00000040,114,37,50,27,43,24,18,1,67,12,31,24,36,2,16,18,22,10,10,2,9,0,5,4,4,1,1,2
N00000041,144,11,62,71,20,5,14,1,114,6,43,65,81,1,26,54,16,3,12,1,17,2,5,10,10,0,5,5
N00000042,126,8,54,64,18,6,12,0,98,1,40,57,73,0,24,49,15,1,10,4,10,0,6,4,10,1,2,7
N00000043,368,50,142,176,59,27,30,2,287,19,106,162,209,4,59,146,54,13,33,8,24,2,14,8,22,4,6,12
N00000044,108,20,59,29,29,10,19,0,71,10,35,26,37,0,19,18,22,7,10,5,12,3,6,3,8,0,5,3
N00000045,170,7,41,122,21,5,13,3,135,2,25,108,100,0,12,88,11,1,5,5,24,1,8,15,14,0,3,11
N00000046,129,7,42,80,21,3,18,0,97,2,22,73,67,0,5,62,8,2,4,2,22,0,13,9,11,2,2,7
N00000047,138,9,48,81,27,4,21,2,99,4,23,72,67,2,10,55,13,0,6,7,19,2,7,10,12,1,4,7
N00000048,125,31,70,24,35,15,20,0,85,14,47,24,39,0,17,22,24,10,13,1,22,4,17,1,5,2,3,0
N00000049,123,33,65,25,52,21,31,0,67,9,33,25,30,1,15,14,23,6,11,6,14,2,7,5,4,3,1,0
N00000050,135,20,53,62,45,19,24,2,86,1,28,57,53,0,12,41,14,1,8,5,19,0,8,11,4,0,1,3
N00000051,124,56,56,12,35,22,13,0,80,31,39,10,30,6,17,7,37,24,10,3,13,1,12,0,9,3,4,2
N00000052,120,38,53,29,36,22,13,1,73,13,34,26,35,2,13,20,19,8,9,2,19,3,12,4,11,3,6,2
N00000053,108,46,46,16,36,22,14,0,60,20,26,14,26,5,11,10,24,12,10,2,10,3,5,2,12,4,6,2
N00000054,111,29,57,25,30,9,19,2,77,19,35,23,29,5,11,13,34,13,15,6,14,1,9,4,4,1,3,0
N00000055,117,22,71,24,42,15,27,0,68,4,42,22,33,2,16,15,12,0,8,4,23,2,18,3,7,3,2,2
N00000056,119,39,50,30,36,21,15,0,78,17,34,27,36,4,13,19,22,9,9,4,20,4,12,4,5,1,1,3
N00000057,118,62,44,12,43,29,14,0,66,30,27,9,23,6,10,7,26,17,9,0,17,7,8,2,9,3,3,3
N00000058,121,48,55,18,46,25,19,2,72,23,34,15,30,5,14,11,35,16,15,4,7,2,5,0,3,0,2,1
N00000059,110,57,46,7,42,29,13,0,61,23,32,6,20,2,14,4,27,15,10,2,14,6,8,0,7,5,1,1
N00000060,180,90,76,14,65,48,17,0,102,34,57,11,41,4,28,9,43,24,18,1,18,6,11,1,13,8,2,3
