GeographyCode,LC2301NI0001,LC2301NI0002,LC2301NI0003,LC2301NI0004,LC2301NI0005,LC2301NI0006,LC2301NI0007,LC2301NI0008,LC2301NI0009,LC2301NI0010,LC2301NI0011,LC2301NI0012,LC2301NI0013,LC2301NI0014,LC2301NI0015,LC2301NI0016,LC2301NI0017,LC2301NI0018,LC2301NI0019,LC2301NI0020,LC2301NI0021,LC2301NI0022,LC2301NI0023,LC2301NI0024,LC2301NI0025,LC2301NI0026,LC2301NI0027,LC2301NI0028,LC2301NI0029,LC2301NI0030,LC2301NI0031,LC2301NI0032
N00000001,1113,141,458,72,53,333,514,482,749,92,296,35,32,229,361,339,321,46,140,28,21,91,135,127,43,3,22,9,0,13,18,16
N00000002,351,219,80,36,33,11,52,23,207,141,33,14,14,5,33,14,88,48,29,11,15,3,11,6,56,30,18,11,4,3,8,3
N00000003,237,109,107,38,25,44,21,15,123,67,46,14,9,23,10,9,74,28,41,16,12,13,5,3,40,14,20,8,4,8,6,3
N00000004,616,296,236,92,103,41,84,63,340,178,113,47,43,23,49,39,196,89,85,30,43,12,22,16,80,29,38,15,17,6,13,8
N00000005,374,171,134,85,30,19,69,50,204,96,74,47,14,13,34,25,123,50,42,26,12,4,31,23,47,25,18,12,4,2,4,2
N00000006,251,144,78,39,28,11,29,19,143,89,36,13,15,8,18,11,77,41,28,17,9,2,8,5,31,14,14,9,4,1,3,3
N00000007,245,55,136,69,52,15,54,38,125,33,69,44,15,10,23,18,94,18,51,15,31,5,25,17,26,4,16,10,6,0,6,3
N00000008,288,76,129,70,32,27,83,60,132,40,51,24,14,13,41,30,98,25,46,29,9,8,27,22,58,11,32,17,9,6,15,8
N00000009,727,121,442,296,68,78,164,111,429,80,254,167,34,53,95,69,205,26,125,82,23,20,54,32,93,15,63,47,11,5,15,10
N00000010,242,24,171,124,17,30,47,26,113,15,78,62,8,8,20,10,92,7,65,40,7,18,20,12,37,2,28,22,2,4,7,4
N00000011,293,78,160,84,60,16,55,25,118,28,59,24,26,9,31,14,83,25,45,27,15,3,13,7,92,25,56,33,19,4,11,4
N00000012,264,76,144,78,58,8,44,24,91,26,46,23,21,2,19,9,109,28,67,38,27,2,14,7,64,22,31,17,10,4,11,8
N00000013,268,78,131,59,57,15,59,36,109,35,51,21,23,7,23,14,87,22,39,21,13,5,26,19,72,21,41,17,21,3,10,3
N00000014,460,158,200,109,73,18,102,66,180,60,78,43,27,8,42,20,176,61,69,33,30,6,46,34,104,37,53,33,16,4,14,12
N00000015,226,69,121,70,45,6,36,24,88,23,48,32,15,1,17,11,58,21,27,18,6,3,10,9,80,25,46,20,24,2,9,4
N00000016,223,45,132,61,55,16,46,29,76,16,43,20,18,5,17,12,66,14,42,26,15,1,10,6,81,15,47,15,22,10,19,11
N00000017,340,33,229,123,69,37,78,57,165,23,95,46,28,21,47,33,103,7,79,45,24,10,17,12,72,3,55,32,17,6,14,12
N00000018,229,24,152,80,48,24,53,32,100,11,62,30,22,10,27,18,85,10,57,37,14,6,18,10,44,3,33,13,12,8,8,4
