GeographyCode,LC2407NI0001,LC2407NI0002,LC2407NI0003,LC2407NI0004,LC2407NI0005,LC2407NI0006,LC2407NI0007,LC2407NI0008,LC2407NI0009,LC2407NI0010,LC2407NI0011,LC2407NI0012,LC2407NI0013,LC2407NI0014,LC2407NI0015,LC2407NI0016,LC2407NI0017,LC2407NI0018,LC2407NI0019,LC2407NI0020,LC2407NI0021,LC2407NI0022,LC2407NI0023,LC2407NI0024,LC2407NI0025,LC2407NI0026,LC2407NI0027,LC2407NI0028
N00003759,140,95,15,4,9,2,30,35,19,5,2,3,0,11,70,48,7,2,3,2,15,35,28,3,0,3,0,4
N00003760,121,98,8,4,3,1,15,34,24,2,2,0,0,8,66,56,5,2,2,1,5,21,18,1,0,1,0,2
N00003761,136,78,42,28,6,8,16,13,8,3,2,0,1,2,40,22,14,12,1,1,4,83,48,25,14,5,6,10
N00003762,160,41,101,81,5,15,18,6,2,4,4,0,0,0,32,6,20,18,1,1,6,122,33,77,59,4,14,12
N00003763,156,71,77,49,13,15,8,10,2,7,5,2,0,1,49,19,29,17,5,7,1,97,50,41,27,6,8,6
N00003764,178,106,49,39,3,7,23,9,3,4,2,1,1,2,48,21,19,16,2,1,8,121,82,26,21,0,5,13
N00003765,134,51,70,56,10,4,13,10,4,6,6,0,0,0,48,20,25,20,4,1,3,76,27,39,30,6,3,10
N00003766,145,125,11,7,1,3,9,9,9,0,0,0,0,0,34,28,2,1,0,1,4,102,88,9,6,1,2,5
N00003767,145,116,19,14,3,2,10,7,7,0,0,0,0,0,42,33,5,3,1,1,4,96,76,14,11,2,1,6
N00003768,216,176,5,0,0,5,35,17,14,0,0,0,0,3,107,85,2,0,0,2,20,92,77,3,0,0,3,12
N00003769,132,105,8,4,0,4,19,31,25,2,0,0,2,4,59,47,3,2,0,1,9,42,33,3,2,0,1,6
N00003770,182,139,6,2,1,3,37,59,45,2,0,0,2,12,100,72,4,2,1,1,24,23,22,0,0,0,0,1
N00003771,188,140,10,2,0,8,38,31,17,5,1,0,4,9,91,68,5,1,0,4,18,66,55,0,0,0,0,11
N00003772,113,96,2,1,0,1,15,63,55,1,0,0,1,7,40,36,0,0,0,0,4,10,5,1,1,0,0,4
N00003773,142,127,2,2,0,0,13,50,46,1,1,0,0,3,64,56,1,1,0,0,7,28,25,0,0,0,0,3
N00003774,122,105,0,0,0,0,17,20,16,0,0,0,0,4,53,45,0,0,0,0,8,49,44,0,0,0,0,5
