GeographyCode,LC1101NI0001,LC1101NI0002,LC1101NI0003,LC1101NI0004,LC1101NI0005,LC1101NI0006,LC1101NI0007,LC1101NI0008,LC1101NI0009,LC1101NI0010,LC1101NI0011,LC1101NI0012,LC1101NI0013,LC1101NI0014,LC1101NI0015,LC1101NI0016,LC1101NI0017,LC1101NI0018,LC1101NI0019,LC1101NI0020,LC1101NI0021,LC1101NI0022,LC1101NI0023,LC1101NI0024
N00000001,757,171,551,35,536,156,369,11,182,11,159,12,27,2,20,5,8,1,1,6,4,1,2,1
N00000002,269,77,146,46,75,52,22,1,56,13,37,6,46,7,28,11,39,4,26,9,53,1,33,19
N00000003,179,42,123,14,32,24,7,1,35,6,28,1,53,7,41,5,26,2,23,1,33,3,24,6
N00000004,466,140,283,43,133,110,22,1,86,15,62,9,111,7,101,3,82,6,63,13,54,2,35,17
N00000005,281,78,183,20,81,63,18,0,65,8,51,6,54,4,45,5,48,1,45,2,33,2,24,7
N00000006,198,65,106,27,52,37,13,2,40,7,27,6,33,5,27,1,34,8,23,3,39,8,16,15
N00000007,194,52,120,22,46,33,13,0,41,8,33,0,34,6,24,4,37,3,29,5,36,2,21,13
N00000008,244,86,114,44,75,52,20,3,46,12,28,6,49,8,28,13,38,11,19,8,36,3,19,14
N00000009,564,172,327,65,217,130,79,8,128,29,83,16,84,8,64,12,66,2,55,9,69,3,46,20
N00000010,192,61,101,30,54,46,7,1,28,6,20,2,38,3,30,5,30,1,21,8,42,5,23,14
N00000011,251,71,128,52,58,44,13,1,36,9,22,5,42,6,28,8,39,6,28,5,76,6,37,33
N00000012,222,71,97,54,53,43,7,3,44,14,21,9,28,9,9,10,36,1,25,10,61,4,35,22
N00000013,227,83,89,55,64,52,11,1,32,16,11,5,31,8,19,4,38,2,24,12,62,5,24,33
N00000014,382,146,169,67,146,112,26,8,75,20,35,20,51,7,32,12,51,3,42,6,59,4,34,21
N00000015,195,64,78,53,34,30,4,0,37,17,14,6,26,11,9,6,34,1,24,9,64,5,27,32
N00000016,191,78,59,54,45,41,2,2,34,19,8,7,37,11,16,10,30,1,18,11,45,6,15,24
N00000017,252,88,111,53,92,68,21,3,43,8,27,8,45,8,23,14,33,2,23,8,39,2,17,20
N00000018,181,66,86,29,63,47,15,1,32,11,18,3,30,6,14,10,23,2,16,5,33,0,23,10
N00000019,212,72,89,51,60,47,12,1,37,17,10,10,36,3,17,16,33,2,21,10,46,3,29,14
N00000020,170,64,47,59,58,42,13,3,30,11,6,13,26,8,6,12,24,1,10,13,32,2,12,18
N00000021,215,77,89,49,57,45,9,3,47,16,26,5,33,12,12,9,33,3,18,12,45,1,24,20
N00000022,222,88,75,59,69,57,8,4,32,14,10,8,36,11,18,7,28,1,16,11,57,5,23,29
N00000023,184,60,71,53,48,34,14,0,30,12,10,8,24,5,12,7,23,4,8,11,59,5,27,27
N00000024,402,113,253,36,103,80,20,3,98,14,81,3,95,9,74,12,48,3,39,6,58,7,39,12
N00000025,371,89,238,44,86,70,15,1,51,8,39,4,100,5,82,13,68,3,59,6,66,3,43,20
N00000026,383,127,217,39,105,91,14,0,71,19,50,2,92,11,66,15,52,2,42,8,63,4,45,14
N00000027,401,134,226,41,141,96,39,6,75,15,53,7,81,14,59,8,50,5,39,6,54,4,36,14
N00000028,188,69,90,29,51,48,3,0,37,7,26,4,51,11,32,8,28,1,18,9,21,2,11,8
N00000029,323,87,202,34,91,77,11,3,62,5,51,6,60,1,52,7,51,2,46,3,59,2,42,15
