GeographyCode,LC2405NI0001,LC2405NI0002,LC2405NI0003,LC2405NI0004,LC2405NI0005,LC2405NI0006,LC2405NI0007,LC2405NI0008,LC2405NI0009,LC2405NI0010,LC2405NI0011,LC2405NI0012,LC2405NI0013,LC2405NI0014,LC2405NI0015,LC2405NI0016,LC2405NI0017,LC2405NI0018,LC2405NI0019,LC2405NI0020,LC2405NI0021,LC2405NI0022,LC2405NI0023,LC2405NI0024
N00000001,310,54,161,95,21,3,13,5,91,20,32,39,69,8,45,16,129,23,71,35,3.17,3.13,3.28,3.00
N00000002,141,83,51,7,42,24,17,1,46,19,25,2,17,14,1,2,36,26,8,2,2.49,2.67,2.12,3.00
N00000003,78,33,44,1,12,3,9,0,27,7,20,0,12,7,5,0,27,16,10,1,2.99,3.58,2.52,4.00
N00000004,195,87,103,5,28,7,21,0,53,18,34,1,33,16,15,2,81,46,33,2,3.16,3.66,2.73,3.40
N00000005,124,52,66,6,17,7,8,2,43,15,27,1,15,4,11,0,49,26,20,3,3.02,3.33,2.74,3.33
N00000006,86,47,35,4,21,9,12,0,18,7,8,3,20,13,6,1,27,18,9,0,2.79,3.13,2.40,2.25
N00000007,89,17,67,5,17,0,17,0,28,4,21,3,17,3,13,1,27,10,16,1,2.75,3.76,2.51,2.60
N00000008,138,35,88,15,54,12,35,7,46,10,30,6,21,6,13,2,17,7,10,0,2.09,2.34,2.06,1.67
N00000009,275,58,197,20,64,16,42,6,77,16,56,5,60,12,45,3,74,14,54,6,2.64,2.52,2.69,2.60
N00000010,86,10,71,5,20,1,17,2,26,3,22,1,15,2,12,1,25,4,20,1,2.72,3.10,2.68,2.60
N00000011,136,42,91,3,58,20,37,1,41,11,30,0,14,5,9,0,23,6,15,2,2.15,2.12,2.12,3.67
N00000012,121,34,81,6,43,13,27,3,41,11,29,1,18,6,12,0,19,4,13,2,2.18,2.09,2.21,2.33
N00000013,136,40,94,2,67,15,51,1,32,11,21,0,19,8,11,0,18,6,11,1,1.97,2.18,1.87,2.50
N00000014,205,76,116,13,60,26,32,2,68,19,47,2,53,20,27,6,24,11,10,3,2.24,2.24,2.17,2.92
N00000015,119,36,79,4,56,16,39,1,37,13,22,2,13,6,7,0,13,1,11,1,1.90,1.83,1.91,2.25
N00000016,122,31,85,6,62,17,43,2,35,11,24,0,14,2,10,2,11,1,8,2,1.83,1.58,1.85,2.83
N00000017,144,11,120,13,53,1,47,5,37,3,30,4,20,0,18,2,34,7,25,2,2.36,3.64,2.27,2.15
N00000018,94,13,77,4,23,0,22,1,36,5,29,2,14,5,9,0,21,3,17,1,2.44,2.85,2.38,2.25
N00000019,116,6,101,9,39,0,34,5,36,2,33,1,24,3,20,1,17,1,14,2,2.25,2.83,2.24,2.00
N00000020,122,9,104,9,53,3,46,4,39,5,34,0,18,0,14,4,12,1,10,1,1.93,1.89,1.91,2.22
N00000021,128,25,93,10,54,6,45,3,36,8,25,3,15,5,9,1,23,6,14,3,2.10,2.48,1.96,2.50
N00000022,126,17,101,8,53,7,41,5,34,4,28,2,19,2,16,1,20,4,16,0,2.13,2.18,2.18,1.50
N00000023,115,6,103,6,48,4,42,2,44,1,40,3,14,0,13,1,9,1,8,0,1.90,1.83,1.90,1.83
N00000024,174,20,149,5,22,5,16,1,51,1,49,1,36,4,31,1,65,10,53,2,3.06,3.25,3.04,3.00
N00000025,159,24,128,7,29,5,21,3,50,4,45,1,27,4,22,1,53,11,40,2,2.89,3.13,2.88,2.29
N00000026,151,35,110,6,23,5,18,0,37,9,24,4,34,8,26,0,57,13,42,2,3.05,3.06,3.04,3.17
N00000027,178,98,71,9,37,19,16,2,46,22,21,3,30,18,10,2,65,39,24,2,3.01,3.18,2.83,2.44
N00000028,85,58,26,1,19,8,10,1,22,14,8,0,16,13,3,0,28,23,5,0,2.78,3.02,2.31,1.00
N00000029,136,13,112,11,19,0,17,2,43,5,37,1,23,1,19,3,51,7,39,5,2.96,3.38,2.89,3.18
N00000030,131,26,101,4,22,5,17,0,50,6,41,3,17,3,14,0,42,12,29,1,2.86,3.27,2.75,3.00
N00000031,201,174,26,1,25,20,5,0,43,34,9,0,34,29,5,0,99,91,7,1,3.48,3.57,2.73,6.00
N00000032,133,70,61,2,30,16,14,0,35,11,24,0,14,7,6,1,54,36,17,1,2.90,3.21,2.51,4.00
N00000033,166,86,75,5,27,13,14,0,44,17,26,1,36,17,17,2,59,39,18,2,2.98,3.31,2.57,3.40
N00000034,158,56,92,10,29,8,21,0,50,16,32,2,31,11,17,3,48,21,22,5,2.77,2.96,2.58,3.50
N00000035,128,71,53,4,48,31,16,1,33,16,15,2,23,13,9,1,24,11,13,0,2.27,2.11,2.51,2.00
N00000036,134,75,50,9,33,17,15,1,41,22,17,2,26,14,9,3,34,22,9,3,2.57,2.72,2.30,2.89
N00000037,124,96,26,2,44,30,13,1,38,29,9,0,17,14,3,0,25,23,1,1,2.30,2.46,1.69,2.50
