GeographyCode,LC2406NI0001,LC2406NI0002,LC2406NI0003,LC2406NI0004,LC2406NI0005,LC2406NI0006,LC2406NI0007,LC2406NI0008,LC2406NI0009,LC2406NI0010,LC2406NI0011,LC2406NI0012,LC2406NI0013,LC2406NI0014,LC2406NI0015,LC2406NI0016
N00000001,310,54,161,95,26,7,13,6,9,1,3,5,275,46,145,84
N00000002,141,83,51,7,113,67,40,6,8,6,2,0,20,10,9,1
N00000003,78,33,44,1,71,29,41,1,0,0,0,0,7,4,3,0
N00000004,195,87,103,5,167,76,87,4,4,1,3,0,24,10,13,1
N00000005,124,52,66,6,113,49,59,5,0,0,0,0,11,3,7,1
N00000006,86,47,35,4,76,42,31,3,0,0,0,0,10,5,4,1
N00000007,89,17,67,5,69,13,53,3,1,0,1,0,19,4,13,2
N00000008,138,35,88,15,98,25,67,6,2,0,2,0,38,10,19,9
N00000009,275,58,197,20,228,38,173,17,1,0,1,0,46,20,23,3
N00000010,86,10,71,5,74,10,61,3,0,0,0,0,12,0,10,2
N00000011,136,42,91,3,87,23,62,2,23,9,13,1,26,10,16,0
N00000012,121,34,81,6,91,23,65,3,14,8,5,1,16,3,11,2
N00000013,136,40,94,2,81,21,60,0,9,2,6,1,46,17,28,1
N00000014,205,76,116,13,125,49,68,8,29,9,20,0,51,18,28,5
N00000015,119,36,79,4,59,20,38,1,42,9,33,0,18,7,8,3
N00000016,122,31,85,6,60,14,45,1,31,7,23,1,31,10,17,4
N00000017,144,11,120,13,81,7,67,7,48,2,42,4,15,2,11,2
N00000018,94,13,77,4,74,6,65,3,1,0,1,0,19,7,11,1
N00000019,116,6,101,9,69,3,63,3,28,2,24,2,19,1,14,4
N00000020,122,9,104,9,43,5,36,2,62,3,53,6,17,1,15,1
N00000021,128,25,93,10,75,15,55,5,23,2,17,4,30,8,21,1
N00000022,126,17,101,8,74,5,64,5,30,5,23,2,22,7,14,1
N00000023,115,6,103,6,60,2,57,1,41,2,36,3,14,2,10,2
N00000024,174,20,149,5,159,17,138,4,1,0,0,1,14,3,11,0
N00000025,159,24,128,7,147,24,116,7,1,0,1,0,11,0,11,0
N00000026,151,35,110,6,139,31,102,6,2,1,1,0,10,3,7,0
N00000027,178,98,71,9,154,85,63,6,0,0,0,0,24,13,8,3
N00000028,85,58,26,1,80,54,25,1,0,0,0,0,5,4,1,0
N00000029,136,13,112,11,125,13,102,10,1,0,0,1,10,0,10,0
N00000030,131,26,101,4,120,24,92,4,0,0,0,0,11,2,9,0
N00000031,201,174,26,1,180,158,21,1,4,4,0,0,17,12,5,0
N00000032,133,70,61,2,118,61,55,2,0,0,0,0,15,9,6,0
N00000033,166,86,75,5,145,77,65,3,1,1,0,0,20,8,10,2
N00000034,158,56,92,10,132,47,77,8,5,2,3,0,21,7,12,2
N00000035,128,71,53,4,64,32,31,1,39,26,10,3,25,13,12,0
N00000036,134,75,50,9,91,57,29,5,19,9,9,1,24,9,12,3
N00000037,124,96,26,2,111,85,24,2,4,3,1,0,9,8,1,0
N00000038,138,100,33,5,113,82,26,5,5,3,2,0,20,15,5,0
N00000039,448,340,94,14,328,262,60,6,65,39,25,1,55,39,9,7
N00000040,114,76,36,2,62,44,18,0,31,19,12,0,21,13,6,2
N00000041,144,128,16,0,123,112,11,0,3,2,1,0,18,14,4,0
N00000042,126,90,33,3,116,82,32,2,1,1,0,0,9,7,1,1
N00000043,368,282,78,8,297,229,62,6,34,23,9,2,37,30,7,0
N00000044,108,69,35,4,81,52,26,3,16,12,4,0,11,5,5,1
N00000045,170,18,147,5,151,16,131,4,2,1,1,0,17,1,15,1
N00000046,129,4,119,6,114,3,109,2,6,0,4,2,9,1,6,2
N00000047,138,18,117,3,118,11,104,3,4,0,4,0,16,7,9,0
N00000048,125,20,100,5,70,9,59,2,23,1,21,1,32,10,20,2
N00000049,123,34,85,4,64,15,47,2,30,8,20,2,29,11,18,0
N00000050,135,27,105,3,101,19,81,1,5,1,3,1,29,7,21,1
N00000051,124,100,19,5,56,43,11,2,58,49,7,2,10,8,1,1
N00000052,120,74,40,6,66,35,28,3,35,29,4,2,19,10,8,1
N00000053,108,58,37,13,56,29,22,5,14,8,4,2,38,21,11,6
