GeographyCode,LC5102NI0001,LC5102NI0002,LC5102NI0003,LC5102NI0004,LC5102NI0005,LC5102NI0006,LC5102NI0007,LC5102NI0008,LC5102NI0009,LC5102NI0010,LC5102NI0011,LC5102NI0012,LC5102NI0013,LC5102NI0014,LC5102NI0015,LC5102NI0016,LC5102NI0017,LC5102NI0018,LC5102NI0019,LC5102NI0020,LC5102NI0021
N00000001,757,45,114,190,176,189,43,437,20,66,108,108,105,30,320,25,48,82,68,84,13
N00000002,269,66,24,38,25,90,26,135,33,11,16,13,42,20,134,33,13,22,12,48,6
N00000003,179,37,21,27,19,63,12,87,20,8,7,13,29,10,92,17,13,20,6,34,2
N00000004,466,106,60,80,77,116,27,237,65,24,33,39,53,23,229,41,36,47,38,63,4
N00000005,281,60,24,42,44,90,21,146,36,16,17,22,40,15,135,24,8,25,22,50,6
N00000006,198,31,19,46,23,54,25,94,14,10,17,11,22,20,104,17,9,29,12,32,5
N00000007,194,37,17,36,29,54,21,101,21,6,17,13,25,19,93,16,11,19,16,29,2
N00000008,244,52,28,31,24,83,26,124,27,13,12,13,38,21,120,25,15,19,11,45,5
N00000009,564,89,60,91,76,194,54,276,48,31,36,29,90,42,288,41,29,55,47,104,12
N00000010,192,59,25,28,18,44,18,93,31,14,9,5,18,16,99,28,11,19,13,26,2
N00000011,251,94,37,36,21,39,24,119,45,14,15,11,16,18,132,49,23,21,10,23,6
N00000012,222,77,25,32,27,33,28,110,34,11,15,15,14,21,112,43,14,17,12,19,7
N00000013,227,73,30,37,25,42,20,114,37,10,17,14,20,16,113,36,20,20,11,22,4
N00000014,382,111,59,76,35,68,33,186,58,27,32,16,28,25,196,53,32,44,19,40,8
N00000015,195,92,30,22,16,22,13,96,43,18,12,7,5,11,99,49,12,10,9,17,2
N00000016,191,59,26,39,16,26,25,95,27,12,17,10,12,17,96,32,14,22,6,14,8
N00000017,252,88,38,39,32,40,15,109,38,12,12,18,17,12,143,50,26,27,14,23,3
N00000018,181,48,34,30,23,26,20,93,24,16,16,12,10,15,88,24,18,14,11,16,5
N00000019,212,96,35,28,18,18,17,108,45,19,12,7,11,14,104,51,16,16,11,7,3
N00000020,170,62,23,36,17,14,18,65,26,5,6,9,5,14,105,36,18,30,8,9,4
N00000021,215,74,30,35,26,30,20,102,32,13,15,12,17,13,113,42,17,20,14,13,7
N00000022,222,102,31,25,30,22,12,99,47,13,7,16,7,9,123,55,18,18,14,15,3
N00000023,184,95,19,26,17,17,10,86,45,11,7,8,9,6,98,50,8,19,9,8,4
N00000024,402,75,56,59,52,130,30,206,46,30,26,19,56,29,196,29,26,33,33,74,1
N00000025,371,103,33,67,38,96,34,190,49,11,31,19,47,33,181,54,22,36,19,49,1
N00000026,383,90,41,66,50,105,31,193,56,18,32,18,45,24,190,34,23,34,32,60,7
