GeographyCode,LC6604NI0001,LC6604NI0002,LC6604NI0003,LC6604NI0004,LC6604NI0005,LC6604NI0006,LC6604NI0007,LC6604NI0008,LC6604NI0009,LC6604NI0010,LC6604NI0011,LC6604NI0012,LC6604NI0013,LC6604NI0014,LC6604NI0015,LC6604NI0016,LC6604NI0017,LC6604NI0018,LC6604NI0019,LC6604NI0020,LC6604NI0021,LC6604NI0022,LC6604NI0023,LC6604NI0024,LC6604NI0025,LC6604NI0026,LC6604NI0027,LC6604NI0028,LC6604NI0029,LC6604NI0030,LC6604NI0031,LC6604NI0032,LC6604NI0033,LC6604NI0034,LC6604NI0035,LC6604NI0036,LC6604NI0037,LC6604NI0038,LC6604NI0039,LC6604NI0040,LC6604NI0041,LC6604NI0042,LC6604NI0043,LC6604NI0044,LC6604NI0045
N00000030,190,52,138,37,5,32,74,15,59,67,29,38,12,3,9,98,9,89,13,0,13,55,6,49,22,3,19,8,0,8,92,43,49,24,5,19,19,9,10,45,26,19,4,3,1
N00000031,338,82,256,92,12,80,109,10,99,118,50,68,19,10,9,182,18,164,44,2,42,85,3,82,40,9,31,13,4,9,156,64,92,48,10,38,24,7,17,78,41,37,6,6,0
N00000032,174,44,130,44,10,34,51,5,46,69,22,47,10,7,3,82,7,75,15,1,14,42,2,40,20,2,18,5,2,3,92,37,55,29,9,20,9,3,6,49,20,29,5,5,0
N00000033,246,54,192,55,9,46,81,4,77,87,32,55,23,9,14,141,10,131,24,1,23,73,2,71,30,4,26,14,3,11,105,44,61,31,8,23,8,2,6,57,28,29,9,6,3
N00000034,224,62,162,60,14,46,63,8,55,82,31,51,19,9,10,115,14,101,28,3,25,50,5,45,26,4,22,11,2,9,109,48,61,32,11,21,13,3,10,56,27,29,8,7,1
N00000035,120,33,87,18,4,14,33,3,30,48,17,31,21,9,12,53,5,48,8,2,6,22,1,21,12,1,11,11,1,10,67,28,39,10,2,8,11,2,9,36,16,20,10,8,2
N00000036,174,35,139,48,5,43,37,2,35,73,19,54,16,9,7,84,6,78,24,0,24,31,1,30,21,3,18,8,2,6,90,29,61,24,5,19,6,1,5,52,16,36,8,7,1
N00000037,120,39,81,17,2,15,23,7,16,66,24,42,14,6,8,58,8,50,9,0,9,15,3,12,25,3,22,9,2,7,62,31,31,8,2,6,8,4,4,41,21,20,5,4,1
N00000038,182,55,127,33,4,29,52,6,46,82,37,45,15,8,7,98,16,82,17,0,17,37,3,34,33,8,25,11,5,6,84,39,45,16,4,12,15,3,12,49,29,20,4,3,1
N00000039,590,204,386,98,7,91,141,25,116,293,144,149,58,28,30,286,48,238,48,0,48,102,9,93,103,28,75,33,11,22,304,156,148,50,7,43,39,16,23,190,116,74,25,17,8
N00000040,118,46,72,9,2,7,22,6,16,68,26,42,19,12,7,51,11,40,5,1,4,12,2,10,25,5,20,9,3,6,67,35,32,4,1,3,10,4,6,43,21,22,10,9,1
N00000041,225,59,166,49,5,44,48,9,39,111,38,73,17,7,10,112,12,100,28,1,27,34,4,30,41,6,35,9,1,8,113,47,66,21,4,17,14,5,9,70,32,38,8,6,2
N00000042,198,62,136,32,3,29,48,4,44,98,49,49,20,6,14,102,14,88,18,0,18,34,1,33,37,10,27,13,3,10,96,48,48,14,3,11,14,3,11,61,39,22,7,3,4
N00000043,547,175,372,126,21,105,124,20,104,239,109,130,58,25,33,266,35,231,61,2,59,90,8,82,78,17,61,37,8,29,281,140,141,65,19,46,34,12,22,161,92,69,21,17,4
N00000044,113,33,80,13,2,11,24,1,23,63,22,41,13,8,5,58,5,53,7,0,7,21,0,21,23,2,21,7,3,4,55,28,27,6,2,4,3,1,2,40,20,20,6,5,1
N00000045,269,67,202,73,18,55,88,12,76,89,29,60,19,8,11,147,13,134,37,2,35,66,6,60,35,4,31,9,1,8,122,54,68,36,16,20,22,6,16,54,25,29,10,7,3
N00000046,191,55,136,43,14,29,68,7,61,61,27,34,19,7,12,103,14,89,13,4,9,58,3,55,20,4,16,12,3,9,88,41,47,30,10,20,10,4,6,41,23,18,7,4,3
N00000047,184,41,143,42,9,33,53,1,52,78,27,51,11,4,7,101,13,88,22,2,20,45,1,44,28,9,19,6,1,5,83,28,55,20,7,13,8,0,8,50,18,32,5,3,2
N00000048,135,44,91,9,1,8,26,7,19,72,22,50,28,14,14,61,11,50,4,1,3,21,4,17,23,4,19,13,2,11,74,33,41,5,0,5,5,3,2,49,18,31,15,12,3
N00000049,120,36,84,11,2,9,18,2,16,66,18,48,25,14,11,60,10,50,7,1,6,13,0,13,29,3,26,11,6,5,60,26,34,4,1,3,5,2,3,37,15,22,14,8,6
N00000050,147,29,118,45,5,40,35,1,34,49,14,35,18,9,9,83,7,76,25,1,24,27,1,26,21,1,20,10,4,6,64,22,42,20,4,16,8,0,8,28,13,15,8,5,3
N00000051,110,44,66,12,1,11,25,6,19,46,23,23,27,14,13,48,10,38,3,0,3,17,3,14,17,4,13,11,3,8,62,34,28,9,1,8,8,3,5,29,19,10,16,11,5
N00000052,124,42,82,24,4,20,28,3,25,55,25,30,17,10,7,61,9,52,11,1,10,24,2,22,21,4,17,5,2,3,63,33,30,13,3,10,4,1,3,34,21,13,12,8,4
N00000053,112,37,75,10,2,8,18,3,15,58,22,36,26,10,16,59,11,48,5,0,5,10,1,9,29,7,22,15,3,12,53,26,27,5,2,3,8,2,6,29,15,14,11,7,4
N00000054,116,39,77,11,1,10,23,2,21,62,26,36,20,10,10,49,8,41,5,1,4,15,1,14,19,5,14,10,1,9,67,31,36,6,0,6,8,1,7,43,21,22,10,9,1
N00000055,113,37,76,11,1,10,28,2,26,53,21,32,21,13,8,59,10,49,6,1,5,22,1,21,23,6,17,8,2,6,54,27,27,5,0,5,6,1,5,30,15,15,13,11,2
N00000056,125,29,96,7,0,7,28,1,27,66,21,45,24,7,17,59,4,55,3,0,3,24,0,24,21,4,17,11,0,11,66,25,41,4,0,4,4,1,3,45,17,28,13,7,6
N00000057,106,40,66,9,2,7,13,4,9,51,19,32,33,15,18,54,14,40,3,0,3,9,2,7,26,6,20,16,6,10,52,26,26,6,2,4,4,2,2,25,13,12,17,9,8
N00000058,120,27,93,15,0,15,22,5,17,58,10,48,25,12,13,59,7,52,6,0,6,16,3,13,26,2,24,11,2,9,61,20,41,9,0,9,6,2,4,32,8,24,14,10,4
N00000059,99,32,67,10,3,7,16,3,13,53,18,35,20,8,12,49,8,41,4,0,4,13,1,12,22,5,17,10,2,8,50,24,26,6,3,3,3,2,1,31,13,18,10,6,4
N00000060,161,63,98,15,5,10,32,7,25,74,29,45,40,22,18,69,20,49,6,2,4,20,5,15,26,7,19,17,6,11,92,43,49,9,3,6,12,2,10,48,22,26,23,16,7
N00000061,124,40,84,37,8,29,29,6,23,43,18,25,15,8,7,67,12,55,20,1,19,20,5,15,22,5,17,5,1,4,57,28,29,17,7,10,9,1,8,21,13,8,10,7,3
N00000062,159,46,113,52,8,44,37,8,29,60,27,33,10,3,7,78,8,70,28,1,27,24,2,22,21,5,16,5,0,5,81,38,43,24,7,17,13,6,7,39,22,17,5,3,2
N00000063,146,48,98,24,3,21,31,9,22,58,19,39,33,17,16,78,16,62,13,1,12,24,7,17,22,3,19,19,5,14,68,32,36,11,2,9,7,2,5,36,16,20,14,12,2
N00000064,88,25,63,8,4,4,21,2,19,39,14,25,20,5,15,48,10,38,2,1,1,17,2,15,16,5,11,13,2,11,40,15,25,6,3,3,4,0,4,23,9,14,7,3,4
