GeographyCode,LC1105NI0001,LC1105NI0002,LC1105NI0003,LC1105NI0004,LC1105NI0005,LC1105NI0006,LC1105NI0007,LC1105NI0008,LC1105NI0009,LC1105NI0010,LC1105NI0011,LC1105NI0012,LC1105NI0013,LC1105NI0014,LC1105NI0015,LC1105NI0016,LC1105NI0017,LC1105NI0018,LC1105NI0019,LC1105NI0020,LC1105NI0021,LC1105NI0022,LC1105NI0023,LC1105NI0024,LC1105NI0025,LC1105NI0026,LC1105NI0027,LC1105NI0028,LC1105NI0029,LC1105NI0030,LC1105NI0031,LC1105NI0032,LC1105NI0033,LC1105NI0034,LC1105NI0035,LC1105NI0036
N00003963,124,91,33,78,71,7,46,20,26,26,18,8,16,16,0,10,2,8,38,31,7,25,21,4,13,10,3,60,42,18,37,34,3,23,8,15
N00003964,135,73,62,70,58,12,65,15,50,56,27,29,25,21,4,31,6,25,45,32,13,30,26,4,15,6,9,34,14,20,15,11,4,19,3,16
N00003965,154,95,59,92,69,23,62,26,36,73,52,21,46,39,7,27,13,14,62,34,28,36,23,13,26,11,15,19,9,10,10,7,3,9,2,7
N00003966,135,61,74,60,44,16,75,17,58,56,27,29,25,18,7,31,9,22,43,20,23,20,15,5,23,5,18,36,14,22,15,11,4,21,3,18
N00003967,110,100,10,88,85,3,22,15,7,53,49,4,40,40,0,13,9,4,54,49,5,46,43,3,8,6,2,3,2,1,2,2,0,1,0,1
N00003968,119,58,61,60,41,19,59,17,42,34,16,18,18,12,6,16,4,12,48,30,18,28,21,7,20,9,11,37,12,25,14,8,6,23,4,19
N00003969,120,67,53,65,52,13,55,15,40,26,17,9,16,13,3,10,4,6,39,29,10,25,22,3,14,7,7,55,21,34,24,17,7,31,4,27
N00003970,139,70,69,77,57,20,62,13,49,62,29,33,37,25,12,25,4,21,26,18,8,16,13,3,10,5,5,51,23,28,24,19,5,27,4,23
N00003971,123,66,57,63,51,12,60,15,45,44,26,18,22,19,3,22,7,15,38,19,19,22,17,5,16,2,14,41,21,20,19,15,4,22,6,16
N00003972,141,66,75,72,52,20,69,14,55,45,15,30,20,13,7,25,2,23,46,28,18,26,22,4,20,6,14,50,23,27,26,17,9,24,6,18
N00003973,124,87,37,67,60,7,57,27,30,24,18,6,13,13,0,11,5,6,51,43,8,29,27,2,22,16,6,49,26,23,25,20,5,24,6,18
N00003974,198,143,55,121,107,14,77,36,41,78,54,24,41,35,6,37,19,18,102,78,24,71,63,8,31,15,16,18,11,7,9,9,0,9,2,7
N00003975,130,83,47,79,64,15,51,19,32,40,26,14,26,21,5,14,5,9,64,45,19,40,35,5,24,10,14,26,12,14,13,8,5,13,4,9
N00003976,126,74,52,76,56,20,50,18,32,47,26,21,29,20,9,18,6,12,60,37,23,37,27,10,23,10,13,19,11,8,10,9,1,9,2,7
N00003977,107,68,39,64,56,8,43,12,31,28,16,12,16,14,2,12,2,10,52,35,17,32,28,4,20,7,13,27,17,10,16,14,2,11,3,8
N00003978,139,89,50,77,63,14,62,26,36,55,34,21,30,24,6,25,10,15,51,41,10,32,27,5,19,14,5,33,14,19,15,12,3,18,2,16
N00003979,137,78,59,83,62,21,54,16,38,42,19,23,23,15,8,19,4,15,50,33,17,34,26,8,16,7,9,45,26,19,26,21,5,19,5,14
N00003980,145,106,39,89,78,11,56,28,28,21,12,9,13,9,4,8,3,5,61,52,9,38,37,1,23,15,8,63,42,21,38,32,6,25,10,15
N00003981,115,57,58,56,44,12,59,13,46,32,16,16,18,14,4,14,2,12,40,19,21,20,14,6,20,5,15,43,22,21,18,16,2,25,6,19
N00003982,117,38,79,62,30,32,55,8,47,57,22,35,34,19,15,23,3,20,39,13,26,20,9,11,19,4,15,21,3,18,8,2,6,13,1,12
N00003983,118,40,78,51,30,21,67,10,57,44,10,34,16,7,9,28,3,25,51,23,28,26,18,8,25,5,20,23,7,16,9,5,4,14,2,12
N00003984,133,64,69,63,43,20,70,21,49,60,29,31,27,18,9,33,11,22,42,20,22,22,13,9,20,7,13,31,15,16,14,12,2,17,3,14
N00003985,120,43,77,53,33,20,67,10,57,51,17,34,18,10,8,33,7,26,46,19,27,26,17,9,20,2,18,23,7,16,9,6,3,14,1,13
N00003986,123,41,82,51,29,22,72,12,60,45,16,29,16,9,7,29,7,22,34,13,21,20,10,10,14,3,11,44,12,32,15,10,5,29,2,27
N00003987,123,42,81,51,31,20,72,11,61,50,14,36,13,10,3,37,4,33,41,17,24,22,11,11,19,6,13,32,11,21,16,10,6,16,1,15
N00003988,130,50,80,63,38,25,67,12,55,40,14,26,15,11,4,25,3,22,46,19,27,27,16,11,19,3,16,44,17,27,21,11,10,23,6,17
N00003989,121,18,103,69,14,55,52,4,48,55,9,46,34,7,27,21,2,19,35,3,32,22,3,19,13,0,13,31,6,25,13,4,9,18,2,16
N00003990,177,114,63,108,91,17,69,23,46,64,42,22,38,33,5,26,9,17,72,53,19,51,41,10,21,12,9,41,19,22,19,17,2,22,2,20
N00003991,140,56,84,70,44,26,70,12,58,58,21,37,28,16,12,30,5,25,43,23,20,25,18,7,18,5,13,39,12,27,17,10,7,22,2,20
N00003992,154,90,64,97,70,27,57,20,37,50,31,19,32,24,8,18,7,11,61,36,25,42,28,14,19,8,11,43,23,20,23,18,5,20,5,15
N00003993,158,110,48,95,79,16,63,31,32,52,37,15,32,26,6,20,11,9,66,48,18,40,35,5,26,13,13,40,25,15,23,18,5,17,7,10
N00003994,123,105,18,86,79,7,37,26,11,37,34,3,28,27,1,9,7,2,69,58,11,46,42,4,23,16,7,17,13,4,12,10,2,5,3,2
N00003995,140,103,37,101,86,15,39,17,22,32,25,7,30,25,5,2,0,2,72,62,10,55,49,6,17,13,4,36,16,20,16,12,4,20,4,16
N00003996,147,80,67,97,67,30,50,13,37,60,38,22,42,32,10,18,6,12,45,27,18,33,24,9,12,3,9,42,15,27,22,11,11,20,4,16
N00003997,128,95,33,93,79,14,35,16,19,36,29,7,32,25,7,4,4,0,58,46,12,41,37,4,17,9,8,34,20,14,20,17,3,14,3,11
N00003998,127,84,43,74,64,10,53,20,33,58,41,17,36,31,5,22,10,12,55,37,18,34,29,5,21,8,13,14,6,8,4,4,0,10,2,8
N00003999,139,97,42,95,83,12,44,14,30,80,57,23,57,50,7,23,7,16,47,32,15,33,28,5,14,4,10,12,8,4,5,5,0,7,3,4
N00004000,152,46,106,59,30,29,93,16,77,57,21,36,23,15,8,34,6,28,45,16,29,20,11,9,25,5,20,50,9,41,16,4,12,34,5,29
N00004001,125,58,67,60,46,14,65,12,53,56,20,36,20,13,7,36,7,29,48,28,20,29,23,6,19,5,14,21,10,11,11,10,1,10,0,10
N00004002,160,47,113,74,32,42,86,15,71,49,14,35,21,10,11,28,4,24,43,17,26,22,9,13,21,8,13,68,16,52,31,13,18,37,3,34
N00004003,184,68,116,103,55,48,81,13,68,90,33,57,42,27,15,48,6,42,48,23,25,36,19,17,12,4,8,46,12,34,25,9,16,21,3,18
