FID,WARD93_ID,NAME
0,214,MILLISLE
1,1209,COURT
2,1606,CARNLOUGH
3,2402,BALLYMACONNELL
4,507,FAIRHILL
5,1605,CARNCASTLE
6,1615,TOWN PARKS
7,617,BALLYWARD
8,2103,BONAMARGY AND RATHLIN
9,812,SUNNYLANDS
10,1423,WASHING BAY
11,516,THE VOW
12,413,GALGORM
13,2229,TULLYHAPPY
14,1110,OAKLANDS
15,2511,FINTONA
16,910,GILNAHIRK
17,2426,BALLYCROCHAN
18,311,KEADY
19,733,MALONE
20,1323,TOLLYMORE
21,213,LOUGHRIES
22,748,WHITEROCK
23,737,ROSETTA
24,1825,SEYMOUR HILL
25,107,DRUMANAWAY
26,708,BELLEVUE
27,702,ARDOYNE
28,706,BALLYSILLAN
29,1314,KILLOUGH
30,2001,BALLYMAGUIGAN
31,1823,MOIRA
32,1217,KNOCKNASHANE
33,225,GREGSTOWN
34,321,TANDRAGEE
35,2008,LOWER GLENSHANE
36,1715,UPPER GLENSHANE
37,1103,DUNNAMORE
38,707,BEECHMOUNT
39,1527,PORTORA
40,2232,BURREN AND KILBRONEY
41,1509,DEVENISH
42,207,COMBER WEST
43,118,TEMPLEPATRICK
44,1221,TAGHNEVAN
45,2013,TOWN PARKS WEST
46,1017,ROYAL PORTRUSH
47,804,EDEN
48,1205,BLEARY
49,605,DROMORE NORTH
50,2418,HOLYWOOD PRIORY
51,119,TOOME
52,2506,DROMORE
53,101,ALDERGROVE
54,2106,DALRIADA
55,2412,CRAWFORDSBURN
56,121,FARRANSHANE
57,726,GLENCAIRN
58,2411,CRAIGAVAD
59,1901,ALTNAGELVIN
60,1827,TWINBROOK
61,1906,CARN HILL
62,1614,KILWAUGHTER
63,2107,DUNSEVERICK
64,2416,HARBOUR
65,208,DONAGHADEE NORTH
66,2617,BALLYCOLMAN
67,2322,MOSSLEY
68,2011,TOBERMORE
69,1910,VICTORIA
70,2112,GLENTAISIE
71,902,BEECHILL
72,2411,CRAIGAVAD
73,106,CRUMLIN
74,1717,GREYSTONE
75,208,DONAGHADEE NORTH
76,1525,"KESH, EDERNEY and LACK"
77,2303,BALLYCLARE SOUTH
78,208,DONAGHADEE NORTH
79,2325,WHITEHOUSE
80,2221,NEWTOWNHAMILTON
81,2105,CARNMOON
82,2609,NORTH
83,310,HOCKLEY
84,2015,GLEBE
85,1215,KILLYCOMAIN
86,2115,MOSS-SIDE AND MOYARGET
87,1807,DROMARA
88,920,UPPER BRANIEL
89,728,HIGHFIELD
90,2103,BONAMARGY AND RATHLIN
91,1512,ERNE
92,2601,ARTIGARVAN
93,1521,ROSSLEA
94,2313,DOAGH
95,1501,BALLINAMALLARD
96,2401,BALLYHOLME
97,2224,SEAVIEW
98,116,STILES
99,2222,DONAGHMORE
100,915,LOWER BRANIEL
101,1024,DUNDOOAN
102,209,DONAGHADEE SOUTH
103,1202,ANNAGH
104,2513,GORTRUSH
105,110,MASSEREENE
106,2209,CROSSMAGLEN
107,716,CHICHESTER PARK
108,208,DONAGHADEE NORTH
109,1805,COLLIN GLEN
110,1305,CASTLEWELLAN
111,1903,BANAGHER
112,2007,LECUMPHER
113,2410,CONLIG
114,1514,IRVINESTOWN
115,319,POYNTZ PASS
116,512,NEWHILL
117,405,BALLYLOUGHAN
118,2218,KILKEEL SOUTH
119,1104,GORTALOWRY
120,1314,KILLOUGH
121,739,SHANKILL
122,2602,CASTLEDERG
123,1006,CHURCHLAND
124,1933,FOYLE SPRINGS
125,747,WATER WORKS
126,1416,FIVEMILETOWN
127,2004,DRAPERSTOWN
128,1902,BALLYNASHALLOG
129,1526,LISNARRICK
130,1309,DONARD
131,1922,PENNYBURN
132,2108,GLENAAN
133,1014,MOUNT SANDEL
134,1105,KILLYCOLPY
135,1520,NEWTOWNBUTLER
136,2216,FORKHILL
137,1321,SHIMNA
138,811,NORTHLAND
139,2412,CRAWFORDSBURN
140,304,CARRIGATUKE
141,722,FALLS PARK
142,212,KIRCUBBIN
143,2201,ANNALONG
144,201,BALLYGOWAN
145,735,ORANGEFIELD
146,1904,BEECHWOOD
147,809,LOVE LANE
148,1924,SHANTALLOW EAST
149,1201,AGHAGALLON
150,409,CULLYBACKEY
151,2205,BINNIAN
152,2103,BONAMARGY AND RATHLIN
153,742,STRANMILLIS
154,2404,BANGOR CASTLE
155,2010,SWATRAGH
156,2512,GORTIN
157,612,LAWRENCETOWN
158,903,CARROWREAGH
159,2012,TOWN PARKS EAST
160,1225,WARINGSTOWN
161,2502,CAMOWEN
162,2304,BALLYDUFF
163,808,KNOCKAGH
164,1513,FLORENCE COURT AND KINAWLEY
165,1016,RINGSEND
166,501,BALLYHOE AND CORKEY
167,614,QUILLY
168,817,BLUEFIELD
169,1921,NEW BUILDINGS
170,2310,CLOUGHFERN
171,701,ANDERSONSTOWN
172,2415,GROOMSPORT
173,1018,STRAND
174,2016,VALLEY
175,1915,EBRINGTON
176,208,DONAGHADEE NORTH
177,202,BALLYWALTER
178,208,DONAGHADEE NORTH
179,1401,ALTMORE
180,2113,KINBANE
181,705,BALLYNAFEIGH
