nameA,personA,yearsA,nameB,personB,yearsB,tokenOverlap,signal
William Joseph Larmour,108206,1997-1997,William Larmour,49528,1993-1993,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
William Kennedy,103841,1945-1969,William Kennedy Gibson,105389,1929-1929,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
William Miller,110974,1918-1918,William Thomas Miller,104175,1921-1929,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
William Robert Todd,103926,1929-1929,William Todd,104359,1929-1929,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
James F. Morris,109471,1927-1927,James Morris,109509,2024-2024,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
William McConnell Wilton,104471,1933-1938,William Wilton,104235,1943-1943,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Eric Doyle Higgins,109207,2011-2011,Eric Higgins,108068,1993-1993,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
David A Thornley,112198,1973-1973,David Thornley,109002,1969-1969,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
David Graham Shillington,104226,1921-1925,David Shillington,103931,1929-1938,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
David John Little,105025,1959-1962,David Little,108359,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Mark Durkan,16260,1993-2022,Mark H. Durkan,98114,2005-2005,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Michael Collins,50272,1918-2024,Michael J Collins,110104,1997-2002,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Michael F Kitt,100316,1948-1973,Michael Kitt,102015,1992-2011,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Michael F. Kitt,100316,1961-1965,Michael Kitt,102015,1992-2011,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Michael McDonagh,102018,1957-2016,Michael McDonagh Jnr,103521,1948-1951,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Michael Pat Murphy,102024,1961-1969,Pat Murphy,105229,2023-2023,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
General Richard Mulcahy,100044,1918-1957,Richard Mulcahy,101256,1922-1944,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Sean B. Dolan,105643,1921-1921,Seán Dolan,110625,1918-1918,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Seán Connolly Farrell,110624,2011-2011,Seán Farrell,103684,1923-1927,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Seán F. Lynch,110630,1948-1948,Seán Lynch,73893,1937-2017,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Seán Farrell,103684,1923-1927,Seán O'Farrell,110651,1923-1923,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Seán Keane,113223,1943-1951,"Seán Keane, Jnr",110637,1954-1954,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Seán Kelly,100782,1923-2024,Seán O'Kelly,110656,1943-1943,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Seán Kennedy,103690,1951-1954,Seán O'Kennedy,110657,1927-1927,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Seán Moore,101271,1957-1973,Seán O'Moore,110660,1948-1948,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Tom Fitzpatrick,110856,1969-1969,Tom J Fitzpatrick,103751,1965-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Tom Higgins,110861,2011-2011,Tom O'Higgins,100105,1943-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Tom King,110866,1954-1954,Tom R King,103758,2002-2009,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Ian Paisley,48601,1969-2007,Ian Paisley Jr,58794,1998-2024,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
James O'Regan,109517,1923-1923,James Regan,109525,1957-1957,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Paul Thomas Hughes,105845,2019-2019,Thomas Hughes,106845,1977-1977,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Sir Thomas Robinson,110710,1918-1918,Thomas Robinson,21285,1977-2007,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Thomas Burn,110771,1918-1918,Thomas Henry Burn,105520,1921-1925,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Thomas Campbell,102371,1918-1981,Thomas Joseph Campbell,104694,1921-1945,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Thomas Cole,104074,1945-1945,Thomas Loftus Cole,103851,1933-1953,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Thomas Dalzell-Sheridan,68800,1998-1998,Thomas Sheridan,102950,1997-2005,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Thomas Dillon,110781,1923-1923,Thomas Dillon Leetch,112259,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Thomas Donoghue,110782,1969-1969,Thomas O'Donoghue,101288,1918-1923,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Thomas Henry,107278,1981-1981,Thomas Henry Burn,105520,1921-1925,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Thomas J Mullins,112356,1992-1992,Thomas Mullins,3930,1927-1998,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Thomas J Smyth,106201,1977-1977,Thomas Smyth,78082,1973-1981,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Thomas P Powell,110821,1933-1933,Thomas Powell,101289,1927-1961,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Ian James Parsley,33661,2009-2010,Ian Parsley,106667,2005-2005,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
J. Toal,106912,1973-1973,M. J. Toal,106917,1973-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
James A. Donnelly,105622,1949-1949,James Donnelly,100219,1966-1993,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
James Alexander,100111,1977-2011,James Alexander Gaston,103967,1929-1929,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
James Burke,109453,1933-1933,James J Burke,101913,1954-1961,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
James Chichester-Clark,103868,1962-1969,James Clark,109458,1923-1923,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
James Collins,104428,1938-2020,James J Collins,100457,1948-1965,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
James Fulton Gamble,104986,1938-1938,James Gamble,104156,1930-1933,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
James Godfrey MacManaway,104115,1947-1949,James MacManaway,104526,1950-1950,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
James Myles,101142,1927-1933,Major James Myles,100728,1923-1944,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Michael J Noonan,110107,1969-1992,Michael Noonan,101212,1992-2016,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Michael K. Noonan,110110,1927-1927,Michael Noonan,101212,1992-2016,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John Dillon Nugent,103937,1921-1925,John Nugent,103407,1918-1965,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John J Nugent,103392,1951-1954,John Nugent,103407,1918-1965,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John Dominic Keigher,109650,2021-2021,John Keigher,101162,2011-2024,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John Joseph Brennan,104169,1962-1969,Joseph Brennan,100063,1948-1973,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
John Paul Murphy,109733,2024-2024,Paul Murphy,100765,2014-2024,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Samuel J. Martin,105934,1977-1977,Samuel Martin,100597,1985-1993,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Margaret Anne McKillop,105130,2011-2023,Margaret McKillop,93037,2015-2024,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Vincent Martin,107543,1989-1989,Vincent P Martin,101297,2002-2024,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Matthew Feehan,103494,1948-1954,Matthew M. Feehan,110028,1951-1951,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Maurice Dockrell,103500,1943-1973,Maurice E. Dockrell,100312,1948-1969,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Peter James Nugent,110444,2024-2024,Peter Nugent,110453,1937-1937,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Peter Johnston,100803,2014-2023,Peter Keith Johnston,104914,2018-2018,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Peter Kelly,100395,1937-2011,Peter O'Kelly,110454,1922-1922,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Philip A Brady,112187,1973-1973,Philip Brady,100503,1951-1969,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Reginald Hanson Press,104535,1938-1938,Reginald Press,105256,1943-1943,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Roy Beggs,68301,1977-2016,Roy Beggs Jr,21374,2001-2023,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Sandra Murphy,110584,2020-2020,Sandra Murphy Kelleher,110583,2024-2024,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Sarah O'Reilly,103669,2020-2024,Sarah Reilly,110595,2020-2020,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Wilfred Corfield-McClung,108028,1989-1989,Wilfred McClung,101732,1977-1985,0.67,"near-identical strings split across persons (formatting alias, not a name change)"
Dr Peter O'Sullivan,109105,2007-2007,James Peter O'Sullivan,109520,2024-2024,0.6,"near-identical strings split across persons (formatting alias, not a name change)"
John L O'Sullivan,101163,1937-1973,Richard L O'Sullivan,110506,1918-1918,0.6,"near-identical strings split across persons (formatting alias, not a name change)"
John L. O'Sullivan,101163,1961-1961,Richard L O'Sullivan,110506,1918-1918,0.6,"near-identical strings split across persons (formatting alias, not a name change)"
Caoimhín Mac Giolla Mhín,102686,2005-2011,Caoimhín Mhic Giolla Mhin,105288,2014-2014,0.6,"near-identical strings split across persons (formatting alias, not a name change)"
Caoimhín Mac Giolla Mhín,102686,2005-2011,Christine Mac Giolla Mhín,108435,2005-2005,0.6,"near-identical strings split across persons (formatting alias, not a name change)"
T J O'Reilly,103714,1927-1932,T P O'Reilly,103715,2020-2024,0.6,"near-identical strings split across persons (formatting alias, not a name change)"
Independent (Thomas O'Brien) list,102157,1996-1996,Thomas O'Brien,80386,1969-1989,0.6,"near-identical strings split across persons (formatting alias, not a name change)"
Thomas J O'Connell,100792,1922-1932,Thomas J. O'Reilly,110794,1927-1927,0.6,"near-identical strings split across persons (formatting alias, not a name change)"
Thomas J. O'Reilly,110794,1927-1927,Thomas P O'Reilly,103738,1944-1948,0.6,"near-identical strings split across persons (formatting alias, not a name change)"
