candidate_id,election_key,date,constituency,party,first_prefs,elected,recorded_name,recovered_name
1019292244,local-government-local-government-districts__2014-05-22,2014-05-22,Ballyclare,TUV,750,yes,Voice,
1699588551,local-government-local-government-districts__2014-05-22,2014-05-22,Ballymena,TUV,738,yes,Voice,
3319019087,local-government-local-government-districts__2014-05-22,2014-05-22,Bangor Central,Green,496,yes,Ireland,
1278033993,local-government-local-government-districts__2014-05-22,2014-05-22,Bangor East and Donaghadee,Independent,1311,yes,(politician),
2442045875,local-government-local-government-districts__2014-05-22,2014-05-22,Bannside,DUP,601,yes,Party,
1095705866,local-government-local-government-districts__2014-05-22,2014-05-22,Botanic,UUP,766,yes,Party,
3908149615,local-government-local-government-districts__2014-05-22,2014-05-22,Botanic,DUP,1268,yes,Party,
761967322,local-government-local-government-districts__2014-05-22,2014-05-22,Botanic,SDLP,971,yes,Party,
1578255703,local-government-local-government-districts__2014-05-22,2014-05-22,Braid,Sinn Féin,722,yes,Féin,
1122855962,local-government-local-government-districts__2014-05-22,2014-05-22,Castle,SDLP,1197,yes,Party,
1792821867,local-government-local-government-districts__2014-05-22,2014-05-22,Castlereagh South,Alliance,1221,yes,Ireland,
3713068486,local-government-local-government-districts__2014-05-22,2014-05-22,Castlereagh South,Alliance,669,yes,Ireland,
2515393861,local-government-local-government-districts__2014-05-22,2014-05-22,Causeway,TUV,616,yes,Voice,
4167042036,local-government-local-government-districts__2014-05-22,2014-05-22,Coleraine,UUP,539,yes,Party,
375919585,local-government-local-government-districts__2014-05-22,2014-05-22,Cookstown,SDLP,803,yes,Party,
2915401292,local-government-local-government-districts__2014-05-22,2014-05-22,Court,TUV,839,yes,Voice,
1186157040,local-government-local-government-districts__2014-05-22,2014-05-22,Craigavon,Sinn Féin,910,no,Féin,
1676651428,local-government-local-government-districts__2014-05-22,2014-05-22,Downshire West,DUP,768,yes,Party,
3500591708,local-government-local-government-districts__2014-05-22,2014-05-22,Dunsilly,SDLP,677,yes,Party,
1248561268,local-government-local-government-districts__2014-05-22,2014-05-22,Erne North,UUP,1108,yes,Party,
248745875,local-government-local-government-districts__2014-05-22,2014-05-22,Faughan,DUP,936,yes,Party,
3726074818,local-government-local-government-districts__2014-05-22,2014-05-22,Holywood and Clandeboye,UUP,619,yes,Party,
438763416,local-government-local-government-districts__2014-05-22,2014-05-22,Lagan River,UUP,845,yes,Party,
2313942859,local-government-local-government-districts__2014-05-22,2014-05-22,Limavady,UUP,452,yes,Party,
3886370180,local-government-local-government-districts__2014-05-22,2014-05-22,Lisburn North,NI21,329,yes,NI21,
4059545342,local-government-local-government-districts__2014-05-22,2014-05-22,Lisburn North,DUP,534,yes,Party,
3654209875,local-government-local-government-districts__2014-05-22,2014-05-22,Lisnasharragh,SDLP,878,yes,Party,
3179902919,local-government-local-government-districts__2014-05-22,2014-05-22,Macedon,UUP,538,yes,Party,
