personId,name,kind,sourceAsserted,keyedBy,candidacies,firstYear,lastYear,span,largest_gap,bodies,parties,severity,reasons
100234,John Hanna,OVER-MERGE,,id,7,1921,2011,90,68,2,Belfast Labour / UUP,9,span 90y; gap 68y (1921->1989)
100634,William Graham,OVER-MERGE,,id,5,1929,2011,82,68,2,Independent Unionist / UUP,9,span 82y; gap 68y (1929->1997)
100528,Desmond Donnelly,OVER-MERGE,,id,5,1946,2011,65,47,2,NI Labour / Sinn Féin,8,span 65y; gap 47y (1946->1993)
102232,Patrick O'Hagan,OVER-MERGE,,id,2,1935,1997,62,62,2,Republican Clubs / Sinn Féin,8,span 62y; gap 62y (1935->1997)
100689,Henry Kenny,OVER-MERGE,yes,src,10,1954,2014,60,26,2,Fine Gael,8,span 60y; gap 26y (1973->1999)
113263,Michael Begley,OVER-MERGE,yes,src,4,1965,2024,59,51,2,Fine Gael / Independent,7,span 59y; gap 51y (1973->2024)
109525,James Regan,OVER-MERGE,yes,src,2,1957,2014,57,57,2,Independent / Irish Labour,7,span 57y; gap 57y (1957->2014)
100458,James O'Connor,OVER-MERGE,yes,src,5,1943,1999,56,34,2,Clann na Poblachta / Fianna Fáil / Fine Gael / Independent,7,span 56y; gap 34y (1965->1999)
113290,Michael Cunningham,OVER-MERGE,yes,src,4,1948,2004,56,43,2,Fianna Fáil / Fine Gael,7,span 56y; gap 43y (1948->1991)
100623,Patrick Donnelly,OVER-MERGE,,id,5,1929,1985,56,44,2,Independent / Independent Nationalist / Irish Independence Party,7,span 56y; gap 44y (1929->1973)
110148,Michael Sheehy,OVER-MERGE,yes,src,2,1944,1999,55,55,2,Fianna Fáil / Fine Gael,7,span 55y; gap 55y (1944->1999)
100855,Alexander McConnell,OVER-MERGE,,id,4,1929,1981,52,44,2,Town Tenants' Association / UUP,7,span 52y; gap 44y (1929->1973)
101840,Daniel Leahy,OVER-MERGE,yes,src,4,1948,1999,51,45,2,Fianna Fáil / Fine Gael,7,span 51y; gap 45y (1954->1999)
109150,Edward Dawson,OVER-MERGE,yes,src,2,1948,1999,51,51,2,Clann na Poblachta / Irish Labour,7,span 51y; gap 51y (1948->1999)
116776,John Smyth,OVER-MERGE,yes,src,3,1951,2002,51,48,2,Comhar Criostai / Christian Solidarity / Fianna Fáil / Progressive Democrats,7,span 51y; gap 48y (1951->1999)
106813,Patrick Walsh,OVER-MERGE,yes,src,4,1951,2002,51,45,2,Comhar Criostai / Christian Solidarity / Independent / Irish Labour,7,span 51y; gap 45y (1954->1999)
100158,James McKernan,OVER-MERGE,,id,8,1950,2001,51,27,2,NI Labour / SDLP,7,span 51y; gap 27y (1950->1977)
60268,Erskine Holmes,OVER-MERGE,,id,10,1965,2016,51,26,4,Independent Other / NI Labour / Northern Ireland Labour Representation Committee,7,span 51y; gap 26y (1990->2016)
102371,Thomas Campbell,OVER-MERGE,,id,2,1931,1981,50,50,2,Independent / Nationalist Party,7,span 50y; gap 50y (1931->1981)
100391,John McAuley,OVER-MERGE,,id,6,1973,2023,50,34,1,DUP,7,span 50y; gap 34y (1985->2019)
16975,Patsy Kelly,OVER-MERGE,,id,5,1973,2023,50,38,2,Independent / Independent Other / SDLP,7,span 50y; gap 38y (1973->2011)
