GeographyCode,QS110NI0001,QS110NI0002,QS110NI0003,QS110NI0004,QS110NI0005,QS110NI0006,QS110NI0007,QS110NI0008,QS110NI0009,QS110NI0010,QS110NI0011,QS110NI0012,QS110NI0013,QS110NI0014,QS110NI0015,QS110NI0016,QS110NI0017,QS110NI0018,QS110NI0019,QS110NI0020,QS110NI0021,QS110NI0022,QS110NI0023,QS110NI0024,QS110NI0025,QS110NI0026,QS110NI0027
N92000002,1788339,196414,78101,118313,1408951,93677,938068,143924,169373,420076,204695,732,108705,41106,25976,35497,6126,267769,77634,107531,82604,182974,39979,50130,7600,7511,77754
BHSCT,342643,50611,18213,32398,242251,17739,135500,23742,26805,54966,29987,250,24026,10804,5238,6715,1269,64736,19310,26959,18467,49781,8291,9709,6025,1701,24055
NHSCT,457038,46858,19904,26954,370031,26279,254863,41094,45718,112538,55513,141,27801,10008,6871,9220,1702,60947,17400,23666,19881,40149,9496,11482,1172,1789,16210
SEHSCT,342197,36574,15394,21180,278743,22218,187022,33824,34445,80439,38314,176,22613,8580,5285,7379,1369,46714,13500,19325,13889,26880,6431,8287,94,1195,10873
SHSCT,355580,32965,13634,19331,288252,15816,204585,25996,35602,98718,44269,84,19691,6720,5129,6842,1000,48076,13919,18396,15761,34363,8262,10504,50,1475,14072
WHSCT,290881,29406,10956,18450,229674,11625,156098,19268,26803,73415,36612,81,14574,4994,3453,5341,786,47296,13505,19185,14606,31801,7499,10148,259,1351,12544
BELB,276141,42401,14555,27846,188400,12754,99021,17378,19577,39201,22865,216,19700,8890,4190,5614,1006,56709,17019,24138,15552,45340,7331,8516,5989,1450,22054
NEELB,420327,43835,18592,25243,339875,24755,232463,38588,41929,101721,50225,139,26097,9468,6474,8558,1597,56421,16211,22004,18206,36617,8623,10336,1161,1651,14846
SEELB,408699,44784,19052,25732,332594,27203,223501,40188,41673,96204,45436,210,26939,10494,6333,8480,1632,54741,15791,22146,16804,31321,7391,9480,130,1446,12874
SELB,392291,35988,14946,21042,318408,17340,226985,28502,39391,109535,49557,86,21395,7260,5526,7504,1105,52602,15108,20058,17436,37895,9135,11650,61,1613,15436
WELB,290881,29406,10956,18450,229674,11625,156098,19268,26803,73415,36612,81,14574,4994,3453,5341,786,47296,13505,19185,14606,31801,7499,10148,259,1351,12544
UKN01,276141,42401,14555,27846,188400,12754,99021,17378,19577,39201,22865,216,19700,8890,4190,5614,1006,56709,17019,24138,15552,45340,7331,8516,5989,1450,22054
UKN02,384428,43525,18382,25143,312942,25944,206685,37810,40186,87312,41377,194,26070,10500,6280,7832,1458,54049,16173,22129,15747,27961,6556,8129,235,1155,11886
UKN03,434612,44655,18500,26155,353908,24997,242351,40376,43785,106822,51368,168,28188,9964,6957,9541,1726,58204,16775,22920,18509,36049,8720,10654,49,1757,14869
UKN04,284667,29564,11182,18382,222943,13309,146698,20550,25337,66380,34431,105,15533,5258,3719,5679,877,47298,13749,19485,14064,32160,7671,9782,1225,1314,12168
UKN05,408491,36269,15482,20787,330758,16673,243313,27810,40488,120361,54654,49,19214,6494,4830,6831,1059,51509,13918,18859,18732,41464,9701,13049,102,1835,16777
95AA,52540,5093,1866,3227,42708,2579,29629,4822,5348,13612,5847,12,3564,1172,874,1282,236,6924,1818,3114,1992,4739,1358,1425,18,137,1801
95BB,77483,8310,3640,4670,63648,5569,43519,8870,7979,17635,9035,47,5075,1926,1079,1654,416,9438,2883,3571,2984,5525,1225,1632,2,278,2388
95CC,58638,5464,2412,3052,48282,2770,35327,4514,5933,16936,7944,0,2715,988,702,917,108,7470,2059,2803,2608,4892,1205,1466,8,236,1977
95DD,63403,6381,2849,3532,51359,3993,35531,6134,6331,14922,8144,12,3702,1266,888,1288,260,8121,2176,3019,2926,5663,1306,1591,14,316,2436
95EE,31054,2741,1192,1549,25214,1638,18160,2606,3070,8433,4051,8,2055,716,489,726,124,3353,773,1165,1415,3099,806,964,6,188,1135
95FF,48045,4613,1862,2751,40092,2424,29033,4340,5117,13810,5766,22,2912,1138,702,953,119,5701,1637,2103,1961,3340,671,896,0,222,1551
95GG,276141,42401,14555,27846,188400,12754,99021,17378,19577,39201,22865,216,19700,8890,4190,5614,1006,56709,17019,24138,15552,45340,7331,8516,5989,1450,22054
95HH,38785,4674,1950,2724,31537,2574,20738,4000,4261,8225,4252,24,2487,1004,633,679,171,5714,1965,2276,1473,2574,611,684,20,81,1178
