GeographyCode,QS109NI0001,QS109NI0002,QS109NI0003,QS109NI0004,QS109NI0005,QS109NI0006,QS109NI0007,QS109NI0008,QS109NI0009,QS109NI0010,QS109NI0011,QS109NI0012,QS109NI0013,QS109NI0014,QS109NI0015,QS109NI0016,QS109NI0017
N92000002,703275,123164,27238,33391,62535,289134,58753,69062,161319,116353,32322,72104,11927,174624,78101,94233,2290
BHSCT,148328,33097,8855,11523,12719,57650,16040,13909,27701,21407,7503,11819,2085,36174,18213,17517,444
NHSCT,177914,28102,5681,7161,15260,73614,13533,18352,41729,30231,7740,19597,2894,45967,19904,25499,564
SEHSCT,136698,21279,4667,5257,11355,55633,10329,13712,31592,24212,6184,15718,2310,35574,15394,19806,374
SHSCT,131129,22608,4090,5533,12985,55587,9686,12757,33144,21501,5555,13541,2405,31433,13634,17308,491
WHSCT,109206,18078,3945,3917,10216,46650,9165,10332,27153,19002,5340,11429,2233,25476,10956,14103,417
BELB,120595,29230,7908,10330,10992,45927,13604,10952,21371,17126,6334,9104,1688,28312,14555,13355,402
NEELB,165010,25904,5290,6626,13988,68175,12708,17073,38394,28119,7245,18226,2648,42812,18592,23713,507
SEELB,164431,25146,5614,6450,13082,67356,12765,16669,37922,28493,7353,18433,2707,43436,19052,23968,416
SELB,144033,24806,4481,6068,14257,61026,10511,14036,36479,23613,6050,14912,2651,34588,14946,19094,548
WELB,109206,18078,3945,3917,10216,46650,9165,10332,27153,19002,5340,11429,2233,25476,10956,14103,417
UKN01,120595,29230,7908,10330,10992,45927,13604,10952,21371,17126,6334,9104,1688,28312,14555,13355,402
UKN02,156882,25109,5675,6640,12794,64778,12685,16032,36061,26157,6783,17007,2367,40838,18382,22072,384
UKN03,170132,27353,5536,6653,15164,70284,12930,17505,39849,29354,7689,18867,2798,43141,18500,24158,483
UKN04,109318,18224,3928,4033,10263,46220,9264,10757,26199,18546,5190,11362,1994,26328,11182,14737,409
UKN05,146348,23248,4191,5735,13322,61925,10270,13816,37839,25170,6326,15764,3080,36005,15482,19911,612
95AA,20064,3582,752,884,1946,8671,1610,2058,5003,3347,865,2160,322,4464,1866,2541,57
95BB,31514,4297,857,1055,2385,12680,2301,3404,6975,5878,1512,3884,482,8659,3640,4929,90
95CC,21594,3411,684,799,1928,8933,1440,2063,5430,3678,928,2355,395,5572,2412,3077,83
95DD,24817,3590,681,935,1974,9949,1753,2572,5624,4461,1098,2947,416,6817,2849,3908,60
95EE,11508,1818,327,465,1026,4830,760,1286,2784,1853,462,1216,175,3007,1192,1774,41
95FF,18303,3015,630,773,1612,7952,1395,1967,4590,2943,726,1910,307,4393,1862,2479,52
95GG,120595,29230,7908,10330,10992,45927,13604,10952,21371,17126,6334,9104,1688,28312,14555,13355,402
95HH,16200,2516,614,614,1288,6855,1375,1774,3706,2693,735,1726,232,4136,1950,2144,42
95II,27733,3867,947,1193,1727,11723,2436,2957,6330,4281,1169,2715,397,7862,3658,4162,42
95JJ,23508,3622,771,1065,1786,9325,1966,2374,4985,4081,1120,2554,407,6480,2858,3542,80
95KK,12904,2198,391,535,1272,5439,825,1279,3335,2112,495,1371,246,3155,1312,1786,57
95LL,35931,6922,1270,1711,3941,14909,2898,3579,8432,5689,1637,3518,534,8411,3723,4569,119
95MM,40779,7678,1759,1518,4401,17912,3925,3861,10126,6768,2043,3918,807,8421,3639,4623,159
95NN,26206,4056,891,879,2286,10724,1850,2511,6363,4662,1190,2933,539,6764,2957,3738,69
95OO,20270,3601,594,855,2152,8593,1418,1911,5264,3249,816,2028,405,4827,2028,2731,68
95PP,23069,3299,712,878,1709,9377,1735,2184,5458,4325,1193,2633,499,6068,2716,3263,89
95QQ,13297,1891,455,416,1020,5399,1123,1414,2862,2374,661,1515,198,3633,1603,1994,36
95RR,12098,2027,392,429,1206,5268,862,1306,3100,2043,471,1365,207,2760,1086,1619,55
95SS,45723,8070,1618,1976,4476,19417,3467,4552,11398,7524,1819,4918,787,10712,4480,6084,148
95TT,15037,2287,315,600,1372,6579,894,1470,4215,2519,520,1671,328,3652,1445,2130,77
95UU,6608,798,180,137,481,2596,531,621,1444,1280,387,772,121,1934,852,1053,29
95VV,35031,5659,912,1395,3352,15200,2535,3237,9428,5942,1448,3730,764,8230,3609,4452,169
95WW,33971,5800,1195,1510,3095,13971,2696,3504,7771,5511,1397,3665,449,8689,3977,4627,85
95XX,33255,4856,1301,1347,2208,12812,2711,3245,6856,6148,1663,3983,502,9439,4317,5055,67
95YY,18443,2793,583,673,1537,7804,1423,1672,4709,3345,926,1976,443,4501,1960,2472,69
95ZZ,14817,2281,499,419,1363,6289,1220,1309,3760,2521,707,1537,277,3726,1555,2126,45
