GeographyCode,QS603NI0001,QS603NI0002,QS603NI0003,QS603NI0004
N92000002,126867,38654,9308,78905
BHSCT,30892,11060,2361,17471
NHSCT,30997,9423,2283,19291
SEHSCT,21005,6555,1524,12926
SHSCT,22819,6459,1470,14890
WHSCT,21154,5157,1670,14327
BELB,26710,9610,2080,15020
NEELB,28374,8765,2114,17495
SEELB,25187,8005,1805,15377
SELB,25442,7117,1639,16686
WELB,21154,5157,1670,14327
UKN01,26710,9610,2080,15020
UKN02,25255,8332,1978,14945
UKN03,25533,7916,1816,15801
UKN04,22039,5698,1876,14465
UKN05,27330,7098,1558,18674
95AA,3061,1070,261,1730
95BB,4164,1297,301,2566
95CC,3812,995,223,2594
95DD,3484,1036,253,2195
95EE,1944,377,113,1454
95FF,2701,794,165,1742
95GG,26710,9610,2080,15020
95HH,2409,780,217,1412
95II,4182,1450,281,2451
95JJ,5143,1713,448,2982
95KK,2623,658,169,1796
95LL,5842,1774,435,3633
95MM,9008,2347,931,5730
95NN,4574,1393,287,2894
95OO,3837,1018,218,2601
95PP,3736,966,185,2585
95QQ,1707,552,114,1041
95RR,2338,463,152,1723
95SS,7904,2453,571,4880
95TT,3207,773,125,2309
95UU,1022,227,39,756
95VV,6627,1878,429,4320
95WW,6397,2237,544,3616
95XX,4363,1412,365,2586
95YY,3488,810,209,2469
95ZZ,2584,571,193,1820
