GeographyCode,QS402NI0001,QS402NI0002,QS402NI0003,QS402NI0004,QS402NI0005,QS402NI0006,QS402NI0007,QS402NI0008,QS402NI0009,QS402NI0010,QS402NI0011,QS402NI0012
N92000002,703275,703097,639780,264307,200577,174896,62386,55457,5340,1589,931,178
BHSCT,148328,148230,123476,20882,46200,56394,24729,21673,2742,314,25,98
NHSCT,177914,177900,164191,78464,48043,37684,13465,12366,700,399,244,14
SEHSCT,136698,136669,124869,54723,39637,30509,11588,10547,735,306,212,29
SHSCT,131129,131125,124606,60870,37137,26599,6193,5307,576,310,326,4
WHSCT,109206,109173,102638,49368,29560,23710,6411,5564,587,260,124,33
BELB,120595,120500,99097,13470,34960,50667,21383,18430,2666,287,20,95
NEELB,165010,164998,151729,71009,45149,35571,13072,12041,670,361,197,12
SEELB,164431,164399,149248,62135,50877,36236,14934,13790,811,333,217,32
SELB,144033,144027,137068,68325,40031,28712,6586,5632,606,348,373,6
WELB,109206,109173,102638,49368,29560,23710,6411,5564,587,260,124,33
UKN01,120595,120500,99097,13470,34960,50667,21383,18430,2666,287,20,95
UKN02,156882,156853,139579,53063,50809,35707,17144,16203,706,235,130,29
UKN03,170132,170119,159145,73207,44522,41416,10696,9569,724,403,278,13
UKN04,109318,109286,101717,44421,32767,24529,7478,6535,660,283,91,32
UKN05,146348,146339,140242,80146,37519,22577,5685,4720,584,381,412,9
95AA,20064,20063,18660,8291,4844,5525,1369,1272,64,33,34,1
95BB,31514,31514,29380,12491,9233,7656,2082,1888,120,74,52,0
95CC,21594,21594,20720,11731,5282,3707,811,661,83,67,63,0
95DD,24817,24817,23048,11963,6092,4993,1733,1574,107,52,36,0
95EE,11508,11507,11120,5963,3964,1193,367,311,35,21,20,1
95FF,18303,18301,17454,9133,4328,3993,799,713,46,40,48,2
95GG,120595,120500,99097,13470,34960,50667,21383,18430,2666,287,20,95
95HH,16200,16200,14237,5807,4246,4184,1956,1827,89,40,7,0
95II,27733,27730,24379,7412,11240,5727,3346,3243,76,27,5,3
95JJ,23508,23504,21455,10791,6135,4529,2035,1792,161,82,14,4
95KK,12904,12902,12462,7455,2894,2113,393,325,30,38,47,2
95LL,35931,35929,33838,13047,10532,10259,2057,1812,168,77,34,2
95MM,40779,40753,36667,10675,13233,12759,4075,3622,369,84,11,26
95NN,26206,26203,24535,13279,6071,5185,1613,1360,154,99,55,3
95OO,20270,20270,19400,10566,5842,2992,790,644,97,49,80,0
95PP,23069,23067,22182,14138,4947,3097,831,666,94,71,54,2
95QQ,13297,13292,12230,5003,3422,3805,1043,950,65,28,19,5
95RR,12098,12098,11690,5996,3543,2151,393,342,24,27,15,0
95SS,45723,45718,41741,16915,13632,11194,3929,3728,138,63,48,5
95TT,15037,15037,14613,8769,3541,2303,376,302,36,38,48,0
95UU,6608,6607,6357,3531,1915,911,244,179,33,32,6,1
95VV,35031,35031,33194,16393,11153,5648,1736,1477,182,77,101,0
95WW,33971,33971,30009,10891,10990,8128,3949,3834,80,35,13,0
95XX,33255,33234,29213,12038,10701,6474,3964,3571,323,70,57,21
95YY,18443,18438,17671,11094,3860,2717,748,645,62,41,19,5
95ZZ,14817,14817,14428,7465,3977,2986,364,289,38,37,25,0
