GeographyCode,QS405NI0001,QS405NI0002,QS405NI0003,QS405NI0004,QS405NI0005,QS405NI0006,QS405NI0007,QS405NI0008,QS405NI0009,QS405NI0010,QS405NI0011,QS405NI0012,QS405NI0013,QS405NI0014
N92000002,703275,474751,225845,244662,4244,104885,80890,23995,106016,95215,1216,7784,1801,17623
BHSCT,148328,83915,37260,45736,919,34700,24102,10598,26068,23999,131,1474,464,3645
NHSCT,177914,127620,62159,64342,1119,21174,18203,2971,24665,21957,347,2002,359,4455
SEHSCT,136698,99826,45534,53176,1116,17644,13729,3915,16284,14104,500,1281,399,2944
SHSCT,131129,92001,44798,46577,626,14218,11504,2714,21404,19348,148,1595,313,3506
WHSCT,109206,71389,36094,34831,464,17149,13352,3797,17595,15807,90,1432,266,3073
BELB,120595,63019,27904,34397,718,30818,20794,10024,23632,21854,100,1242,436,3126
NEELB,165010,118144,57078,60017,1049,20122,17273,2849,22633,20132,336,1824,341,4111
SEELB,164431,120722,54890,64515,1317,21526,17037,4489,18720,16249,531,1513,427,3463
SELB,144033,101477,49879,50902,696,15270,12434,2836,23436,21173,159,1773,331,3850
WELB,109206,71389,36094,34831,464,17149,13352,3797,17595,15807,90,1432,266,3073
UKN01,120595,63019,27904,34397,718,30818,20794,10024,23632,21854,100,1242,436,3126
UKN02,156882,115712,50083,64265,1364,21552,17040,4512,16631,14561,466,1240,364,2987
UKN03,170132,121340,57394,62897,1049,19772,16551,3221,24721,22026,391,1892,412,4299
UKN04,109318,69848,34217,35043,588,18728,14888,3840,17808,16022,84,1448,254,2934
UKN05,146348,104832,56247,48060,525,14015,11617,2398,23224,20752,175,1962,335,4277
95AA,20064,14372,6211,8032,129,2385,2147,238,2817,2288,222,205,102,490
95BB,31514,23303,10957,12107,239,4094,3436,658,3376,3006,26,300,44,741
95CC,21594,15928,8380,7487,61,2029,1718,311,3029,2692,25,258,54,608
95DD,24817,17844,9550,8172,122,2778,2376,402,3489,3155,21,265,48,706
95EE,11508,8120,4087,3967,66,1437,1329,108,1621,1449,1,152,19,330
95FF,18303,13545,6216,7250,79,1806,1524,282,2392,2153,15,198,26,560
95GG,120595,63019,27904,34397,718,30818,20794,10024,23632,21854,100,1242,436,3126
95HH,16200,11747,4804,6824,119,2214,1758,456,1923,1736,12,158,17,316
95II,27733,20896,9356,11339,201,3882,3308,574,2436,2145,31,232,28,519
95JJ,23508,15585,8477,6949,159,3235,2769,466,4027,3622,31,329,45,661
95KK,12904,9476,5081,4325,70,1052,930,122,2032,1825,11,178,18,344
95LL,35931,23929,10523,13134,272,4710,3750,960,6468,5977,36,378,77,824
95MM,40779,23600,9840,13534,226,9271,6766,2505,6980,6346,22,472,140,928
95NN,26206,18706,9166,9409,131,2575,2134,441,4252,3709,66,389,88,673
95OO,20270,14028,7460,6489,79,2083,1662,421,3560,3184,41,272,63,599
95PP,23069,16782,9847,6866,69,2170,1752,418,3361,2986,27,302,46,756
95QQ,13297,9641,4771,4793,77,1424,1184,240,1927,1738,5,157,27,305
95RR,12098,8392,4025,4305,62,1557,1308,249,1853,1641,15,178,19,296
95SS,45723,32686,13718,18604,364,7699,5764,1935,4345,3641,272,290,142,993
95TT,15037,11106,5987,5064,55,1278,1133,145,2171,1938,22,186,25,482
95UU,6608,4477,2679,1774,24,890,762,128,1042,915,7,114,6,199
95VV,35031,24571,12219,12217,135,3590,2850,740,5955,5342,31,489,93,915
95WW,33971,25252,10512,14442,298,4481,3815,666,3616,3291,15,258,52,622
95XX,33255,25131,11693,13056,382,3276,2395,881,4311,3748,136,302,125,537
95YY,18443,12941,7273,5612,56,1813,1572,241,3116,2785,18,277,36,573
95ZZ,14817,9674,5109,4514,51,2338,1954,384,2285,2049,8,203,25,520
