GeographyCode,QS102NI0001,QS102NI0002,QS102NI0003
N92000002,1810863,1356233,1.34
BHSCT,348204,19439,17.91
NHSCT,463297,408758,1.13
SEHSCT,346911,154398,2.25
SHSCT,358034,306694,1.17
WHSCT,294417,466945,0.63
BELB,280962,10942,25.68
NEELB,426284,357446,1.19
SEELB,414153,162894,2.54
SELB,395047,358006,1.10
WELB,294417,466945,0.63
UKN01,280962,10942,25.68
UKN02,390597,83879,4.66
UKN03,438823,313714,1.40
UKN04,288597,321737,0.90
UKN05,411884,625961,0.66
95AA,53428,42054,1.27
95BB,78078,37721,2.07
95CC,59340,66831,0.89
95DD,64044,62978,1.02
95EE,31224,41782,0.75
95FF,48339,45183,1.07
95GG,280962,10942,25.68
95HH,39114,8098,4.83
95II,67242,8497,7.91
95JJ,59067,48299,1.22
95KK,37013,51312,0.72
95LL,93023,27874,3.34
95MM,107877,37947,2.84
95NN,69731,64409,1.08
95OO,57852,77132,0.75
95PP,61805,171768,0.36
95QQ,32180,33495,0.96
95RR,33536,58526,0.57
95SS,120165,44197,2.72
95TT,45038,56340,0.80
95UU,17050,49385,0.35
95VV,99480,89673,1.11
95WW,85139,15017,5.67
95XX,78937,8070,9.78
95YY,51356,112906,0.45
95ZZ,39843,85798,0.46
