GeographyCode,QS105NI0001,QS105NI0002,QS105NI0003
N92000002,1810863,887323,923540
BHSCT,348204,167364,180840
NHSCT,463297,227074,236223
SEHSCT,346911,169123,177788
SHSCT,358034,177711,180323
WHSCT,294417,146051,148366
BELB,280962,135077,145885
NEELB,426284,208609,217675
SEELB,414153,201410,212743
SELB,395047,196176,198871
WELB,294417,146051,148366
UKN01,280962,135077,145885
UKN02,390597,188838,201759
UKN03,438823,215591,223232
UKN04,288597,142146,146451
UKN05,411884,205671,206213
95AA,53428,26310,27118
95BB,78078,38086,39992
95CC,59340,29509,29831
95DD,64044,31398,32646
95EE,31224,15442,15782
95FF,48339,23976,24363
95GG,280962,135077,145885
95HH,39114,18851,20263
95II,67242,32287,34955
95JJ,59067,28742,30325
95KK,37013,18465,18548
95LL,93023,45776,47247
95MM,107877,52648,55229
95NN,69731,34385,35346
95OO,57852,28969,28883
95PP,61805,30977,30828
95QQ,32180,15660,16520
95RR,33536,16927,16609
95SS,120165,58658,61507
95TT,45038,22598,22440
95UU,17050,8560,8490
95VV,99480,49481,49999
95WW,85139,41048,44091
95XX,78937,37994,40943
95YY,51356,25672,25684
95ZZ,39843,19827,20016
