GeographyCode,QS108NI0001,QS108NI0002,QS108NI0003,QS108NI0004,QS108NI0005,QS108NI0006,QS108NI0007,QS108NI0008,QS108NI0009,QS108NI0010,QS108NI0011,QS108NI0012,QS108NI0013,QS108NI0014,QS108NI0015,QS108NI0016,QS108NI0017,QS108NI0018,QS108NI0019,QS108NI0020,QS108NI0021,QS108NI0022,QS108NI0023,QS108NI0024,QS108NI0025,QS108NI0026,QS108NI0027
N92000002,1409368,222046,91704,130342,242548,133791,78648,19408,6756,3945,500410,219759,78609,85795,78889,37358,192395,32322,140254,19819,143911,33011,105994,4906,108058,45090,62968
BHSCT,277668,48568,25080,23488,52694,33677,13166,3920,1368,563,92701,46940,13047,13170,13120,6424,33525,7503,22500,3522,26393,7376,18154,863,23787,10837,12950
NHSCT,360672,54208,21972,32236,58296,30689,20324,4817,1562,904,130070,56639,19868,23055,20731,9777,50739,7740,38252,4747,38928,8400,29280,1248,28431,11504,16927
SEHSCT,270942,38888,15137,23751,42302,22648,14610,3403,1051,590,96794,41402,15117,17142,15662,7471,40684,6184,30766,3734,30533,6402,23303,828,21741,8992,12749
SHSCT,274244,43760,16308,27452,50274,25864,18042,3891,1493,984,98955,40334,17473,17870,15899,7379,35950,5555,26404,3991,26286,5875,19455,956,19019,7759,11260
WHSCT,225842,36622,13207,23415,38982,20913,12506,3377,1282,904,81890,34444,13104,14558,13477,6307,31497,5340,22332,3825,21771,4958,15802,1011,15080,5998,9082
BELB,224006,41332,22159,19173,44819,29069,10662,3386,1213,489,72527,37975,9980,9743,9878,4951,26482,6334,17243,2905,20489,6005,13736,748,18357,8550,9807
NEELB,332245,49348,20176,29172,52876,27863,18408,4472,1365,768,120101,52675,18157,21272,19024,8973,47113,7245,35540,4328,36267,7840,27276,1151,26540,10752,15788
SEELB,324604,46124,18058,28066,50177,27256,17114,3937,1206,664,116968,50367,18184,20569,18904,8944,47727,7353,36023,4351,36437,7773,27721,943,27171,11279,15892
SELB,302671,48620,18104,30516,55694,28690,19958,4236,1690,1120,108924,44298,19184,19653,17606,8183,39576,6050,29116,4410,28947,6435,21459,1053,20910,8511,12399
