GeographyCode,QS104NI0001,QS104NI0002,QS104NI0003,QS104NI0004,QS104NI0005,QS104NI0006,QS104NI0007,QS104NI0008,QS104NI0009,QS104NI0010,QS104NI0011,QS104NI0012,QS104NI0013,QS104NI0014,QS104NI0015,QS104NI0016,QS104NI0017,QS104NI0018,QS104NI0019,QS104NI0020
N92000002,1810863,124382,111287,119034,126241,126013,124099,119839,122260,131848,131645,116933,99272,94290,82121,63479,50358,36366,21165,10231
BHSCT,348204,22097,18386,20434,24812,29904,28003,24886,22664,23581,24587,22367,17804,15974,14583,12203,10548,8204,4836,2331
NHSCT,463297,31135,28790,30283,31773,30809,29035,29567,31578,34476,34260,30175,25962,25028,22154,17161,13476,9587,5458,2590
SEHSCT,346911,23159,21024,22432,23136,21231,21358,21502,22657,25537,25682,23487,20457,20436,17982,12872,10121,7184,4343,2311
SHSCT,358034,27546,24097,24699,24690,24204,25606,24727,25194,26348,25490,22158,18640,17472,14951,11593,9000,6303,3650,1666
WHSCT,294417,20445,18990,21186,21830,19865,20097,19157,20167,21906,21626,18746,16409,15380,12451,9650,7213,5088,2878,1333
BELB,280962,18046,14618,16267,20403,26122,24285,20707,18094,18384,18981,17476,14049,12639,11346,9475,8193,6254,3737,1886
NEELB,426284,28333,26346,27780,29108,28017,26334,26838,28921,31932,31742,27913,24098,23254,20631,16000,12640,8913,5085,2399
SEELB,414153,27210,24792,26599,27545,25013,25076,25681,27227,30734,31288,28378,24212,23771,21219,15600,12476,9134,5442,2756
SELB,395047,30348,26541,27202,27355,26996,28307,27456,27851,28892,28008,24420,20504,19246,16474,12754,9836,6977,4023,1857
WELB,294417,20445,18990,21186,21830,19865,20097,19157,20167,21906,21626,18746,16409,15380,12451,9650,7213,5088,2878,1333
UKN01,280962,18046,14618,16267,20403,26122,24285,20707,18094,18384,18981,17476,14049,12639,11346,9475,8193,6254,3737,1886
UKN02,390597,25902,23263,24622,26393,24026,23849,25024,26084,29115,29677,26629,22327,21373,19296,14587,11942,8868,5136,2484
UKN03,438823,30461,27599,28696,28676,27710,28087,27936,29855,33062,32460,28620,24822,24635,21485,16010,12427,8681,5071,2530
UKN04,288597,19209,17995,20341,21562,20088,18948,18038,19448,21756,21573,18447,15928,15128,12981,10190,7538,5196,2912,1319
UKN05,411884,30764,27812,29108,29207,28067,28930,28134,28779,29531,28954,25761,22146,20515,17013,13217,10258,7367,4309,2012
95AA,53428,3975,3555,3685,3494,3426,3618,3613,3914,4111,3998,3294,2851,2823,2442,1747,1320,831,493,238
95BB,78078,4747,4654,4879,4782,4404,4366,4526,5112,5851,5865,5532,4886,5208,4590,3153,2341,1677,966,539
95CC,59340,4309,3881,4128,4173,3977,4059,3763,4073,4208,4189,3808,3184,3166,2691,2080,1529,1167,667,288
95DD,64044,4099,3957,3990,4040,3932,3980,3967,4367,4983,4486,4071,3836,3682,3286,2520,2064,1540,843,401
95EE,31224,2110,1999,2099,2078,2043,2014,2084,2196,2421,2366,1995,1622,1545,1488,1114,907,643,345,155
95FF,48339,3661,3234,3260,3093,2951,3063,3275,3481,3814,3684,3163,2558,2406,2139,1585,1277,893,544,258
95GG,280962,18046,14618,16267,20403,26122,24285,20707,18094,18384,18981,17476,14049,12639,11346,9475,8193,6254,3737,1886
95HH,39114,2350,2282,2496,2726,2412,2197,2272,2551,3081,3227,2780,2307,2180,1993,1508,1212,828,475,237
95II,67242,4051,3768,4167,4409,3782,3718,4179,4570,5197,5606,4891,3755,3335,3237,2728,2355,1950,1099,445
95JJ,59067,3470,3348,3843,4410,4222,3288,3315,3662,4245,4525,4029,3450,3371,3020,2529,1904,1290,790,356
95KK,37013,2802,2444,2503,2665,2792,2701,2729,2657,2544,2518,2262,1864,1774,1523,1161,836,674,373,191
