GeographyCode,QS214NI0001,QS214NI0002,QS214NI0003,QS214NI0004,QS214NI0005,QS214NI0006,QS214NI0007,QS214NI0008,QS214NI0009,QS214NI0010
N92000002,1735711,70501,24677,5659,993,7414,2802,64847,8005,1550813
BHSCT,334560,14158,5607,1241,232,1474,510,15326,1781,294231
NHSCT,444578,14493,4974,1033,206,1429,498,11713,1477,408755
SEHSCT,333088,8713,2864,671,108,820,294,7031,887,311700
SHSCT,341383,18297,6143,1444,254,2159,806,17407,2115,292758
WHSCT,282102,14840,5089,1270,193,1532,694,13370,1745,243369
BELB,269804,12777,5198,1075,205,1345,461,14141,1635,232967
NEELB,409258,12457,4208,902,179,1236,404,10036,1269,378567
SEELB,397844,10094,3273,837,135,949,343,8216,1033,372964
SELB,376703,20333,6909,1575,281,2352,900,19084,2323,322946
WELB,282102,14840,5089,1270,193,1532,694,13370,1745,243369
UKN01,269804,12777,5198,1075,205,1345,461,14141,1635,232967
UKN02,374966,8137,2712,728,104,778,274,6987,827,354419
UKN03,420580,12529,3921,950,180,1327,437,9934,1209,390093
UKN04,277050,11861,4252,997,165,1243,503,11186,1423,245420
UKN05,393311,25197,8594,1909,339,2721,1127,22599,2911,327914
95AA,51042,1737,598,121,29,181,53,1404,160,46759
95BB,75313,1097,241,79,21,87,41,676,86,72985
95CC,56792,2969,913,254,45,318,132,2738,347,49076
95DD,61601,1505,431,112,21,142,36,900,114,58340
95EE,29937,951,351,47,11,87,27,710,142,27611
95FF,46112,1239,348,97,25,141,48,1005,124,43085
95GG,269804,12777,5198,1075,205,1345,461,14141,1635,232967
95HH,37739,378,94,46,5,32,15,253,18,36898
95II,64756,1381,409,166,27,129,49,1185,146,61264
95JJ,56990,1450,501,119,34,153,47,1197,156,53333
95KK,35320,2036,766,131,27,193,94,1677,208,30188
95LL,88565,3378,1156,264,41,410,133,3268,366,79549
95MM,103341,5152,1913,475,55,582,241,5547,640,88736
95NN,66882,2921,980,222,37,323,107,2307,310,59675
95OO,55075,3629,1330,243,49,472,167,3696,464,45025
95PP,59282,3049,1011,271,53,322,157,2498,405,51516
95QQ,31065,652,167,55,6,43,19,374,49,29700
95RR,32150,1352,441,119,12,150,53,996,147,28880
95SS,114825,3538,1394,250,35,307,118,3380,389,105414
95TT,42883,3087,1127,180,35,308,107,2739,341,34959
95UU,16423,1014,373,76,16,83,36,958,117,13750
95VV,94839,7082,2396,586,94,818,326,6700,814,76023
95WW,81578,1683,566,146,22,207,64,1501,172,77217
95XX,76068,1157,249,120,15,103,28,668,102,73626
95YY,49120,3345,1051,244,36,290,144,2551,332,41127
95ZZ,38209,1942,673,161,37,188,99,1778,221,33110
