GeographyCode,QS406NI0001,QS406NI0002,QS406NI0003,QS406NI0004,QS406NI0005,QS406NI0006,QS406NI0007,QS406NI0008,QS406NI0009,QS406NI0010
N92000002,703275,1920,12475,42470,90961,207898,143058,80187,58093,66213
BHSCT,148328,613,4579,13511,30391,44146,28864,12637,7064,6523
NHSCT,177914,372,2201,9419,18463,51331,38199,21710,16457,19762
SEHSCT,136698,300,1983,7524,17462,39682,26854,16298,12173,14422
SHSCT,131129,321,1731,6198,12943,39075,27110,16361,12601,14789
WHSCT,109206,314,1981,5818,11702,33664,22031,13181,9798,10717
BELB,120595,546,4256,12027,26955,35592,21781,9510,5127,4801
NEELB,165010,344,2059,8935,17289,47938,35353,19936,15100,18056
SEELB,164431,367,2306,9008,20898,48236,33937,19425,14110,16144
SELB,144033,349,1873,6682,14117,42468,29956,18135,13958,16495
WELB,109206,314,1981,5818,11702,33664,22031,13181,9798,10717
UKN01,120595,546,4256,12027,26955,35592,21781,9510,5127,4801
UKN02,156882,346,2090,9249,19338,47446,33585,17887,12651,14290
UKN03,170132,343,2187,8753,19059,50834,34581,20323,15481,18571
UKN04,109318,333,2026,6222,11789,34472,22424,12682,9155,10215
UKN05,146348,352,1916,6219,13820,39554,30687,19785,15679,18336
95AA,20064,37,225,1090,1897,6407,3827,2396,1867,2318
95BB,31514,59,467,1630,4410,9596,5956,3532,2661,3203
95CC,21594,53,233,754,1961,6291,4494,2842,2275,2691
95DD,24817,48,292,1276,2506,6349,5419,3283,2556,3088
95EE,11508,30,152,444,1097,3162,2628,1485,1108,1402
95FF,18303,27,215,801,2040,5148,3395,2303,1887,2487
95GG,120595,546,4256,12027,26955,35592,21781,9510,5127,4801
95HH,16200,30,214,1161,2008,4909,3334,1676,1294,1574
95II,27733,67,323,1484,3436,8554,7083,3127,1937,1722
95JJ,23508,62,375,1326,2334,6560,4871,2968,2267,2745
95KK,12904,28,142,484,1174,3393,2846,1774,1357,1706
95LL,35931,92,478,1875,3472,12253,7708,4000,2867,3186
95MM,40779,153,1056,2844,5102,14291,7822,4110,2653,2748
95NN,26206,58,366,1352,2985,7448,5228,3255,2517,2997
95OO,20270,52,307,1011,1867,5595,4140,2630,2132,2536
95PP,23069,50,274,947,2359,6011,4860,3211,2500,2857
95QQ,13297,22,144,729,1749,3633,3048,1554,1126,1292
95RR,12098,19,140,560,1112,3805,2504,1536,1184,1238
95SS,45723,85,688,2528,5782,13860,8835,5264,3844,4837
95TT,15037,23,164,474,1219,3765,3307,2148,1794,2143
95UU,6608,26,90,373,652,1808,1421,853,663,722
95VV,35031,97,498,1757,3603,9788,7373,4586,3440,3889
95WW,33971,66,403,2062,3827,11345,7498,3573,2425,2772
95XX,33255,98,462,2014,4285,8778,6835,4247,3151,3385
95YY,18443,49,298,792,1637,4711,3667,2594,2181,2514
95ZZ,14817,43,213,675,1492,4846,3178,1730,1280,1360
