GeographyCode,QS407NI0001,QS407NI0002,QS407NI0003,QS407NI0004,QS407NI0005,QS407NI0006
N92000002,703275,398759,157740,98249,34993,13534
BHSCT,148328,66517,38714,27919,10898,4280
NHSCT,177914,109987,37093,21555,6881,2398
SEHSCT,136698,81834,29898,17658,5454,1854
SHSCT,131129,78909,28053,15830,5856,2481
WHSCT,109206,61512,23982,15287,5904,2521
BELB,120595,49665,32441,24457,10048,3984
NEELB,165010,101943,34523,20079,6346,2119
SEELB,164431,98686,36171,21120,6304,2150
SELB,144033,86953,30623,17306,6391,2760
WELB,109206,61512,23982,15287,5904,2521
UKN01,120595,49665,32441,24457,10048,3984
UKN02,156882,93996,34659,20471,5859,1897
UKN03,170132,103568,37162,20699,6453,2250
UKN04,109318,61226,24070,15644,5935,2443
UKN05,146348,90304,29408,16978,6698,2960
95AA,20064,12255,4290,2488,777,254
95BB,31514,18697,7281,4036,1174,326
95CC,21594,13733,4433,2268,819,341
95DD,24817,16023,4827,2778,856,333
95EE,11508,7327,2286,1248,469,178
95FF,18303,11590,3936,1971,632,174
95GG,120595,49665,32441,24457,10048,3984
95HH,16200,9606,3683,2179,588,144
95II,27733,16852,6273,3462,850,296
95JJ,23508,14784,4572,2813,991,348
95KK,12904,8044,2570,1476,535,279
95LL,35931,21091,8279,4454,1479,628
95MM,40779,19420,9923,7252,2922,1262
95NN,26206,15699,5619,3364,1104,420
95OO,20270,12206,4020,2459,1035,550
95PP,23069,14689,4576,2524,901,379
95QQ,13297,8213,2930,1608,431,115
95RR,12098,7202,2620,1557,504,215
95SS,45723,26347,10046,6334,2199,797
95TT,15037,9558,2942,1573,680,284
95UU,6608,4077,1288,820,309,114
95VV,35031,20289,7385,4678,1891,788
95WW,33971,20100,7705,4572,1245,349
95XX,33255,21091,6952,3924,977,311
95YY,18443,11785,3482,2000,837,339
95ZZ,14817,8416,3381,1954,740,326
