GeographyCode,QS207NI0001,QS207NI0002,QS207NI0003,QS207NI0004,QS207NI0005,QS207NI0006,QS207NI0007,QS207NI0008,QS207NI0009,QS207NI0010,QS207NI0011,QS207NI0012,QS207NI0013,QS207NI0014,QS207NI0015,QS207NI0016,QS207NI0017,QS207NI0018,QS207NI0019,QS207NI0020,QS207NI0021
N92000002,1810863,1777449,1691677,64717,15455,1608853,2552,100,37833,39,693,47207,45290,1917,5581,17293,6999,194,875,2468,4
BHSCT,348204,336542,320587,10737,2842,306518,467,23,6378,7,84,9486,8919,567,2006,6950,1779,50,250,627,0
NHSCT,463297,456609,440972,16096,4375,419808,669,24,5023,9,158,10447,10040,407,1171,3262,1422,38,158,634,3
SEHSCT,346911,340886,330295,16625,3672,309263,716,19,4764,6,182,5639,5257,382,1220,2535,1452,43,154,621,0
SHSCT,358034,352593,326878,10975,2084,313382,413,24,9184,8,147,16376,15968,408,788,2812,1203,28,252,358,0
WHSCT,294417,290819,272945,10284,2482,259882,287,10,12484,9,122,5259,5106,153,396,1734,1143,35,61,228,1
BELB,280962,271094,257120,8674,2233,245839,360,14,5422,6,72,8474,8001,473,1699,5885,1499,41,211,533,0
NEELB,426284,419951,405970,15170,4177,385964,639,20,4594,9,149,9229,8852,377,1098,3134,1303,38,142,615,3
SEELB,414153,406334,393762,18688,4281,369942,823,28,5720,7,194,6651,6175,476,1527,3600,1732,52,193,715,0
SELB,395047,389251,361880,11901,2282,347226,443,28,9613,8,156,17594,17156,438,861,2940,1322,28,268,377,0
WELB,294417,290819,272945,10284,2482,259882,287,10,12484,9,122,5259,5106,153,396,1734,1143,35,61,228,1
UKN01,280962,271094,257120,8674,2233,245839,360,14,5422,6,72,8474,8001,473,1699,5885,1499,41,211,533,0
UKN02,390597,382332,370809,16718,4125,349183,750,33,5026,10,176,6311,5839,472,1608,4128,1588,45,192,702,2
UKN03,438823,432493,415143,16432,3910,394099,682,20,4986,3,190,12171,11750,421,1167,3029,1289,47,199,598,1
UKN04,288597,284959,272028,10062,2907,258675,374,10,8682,7,127,4115,3933,182,455,1826,986,34,66,270,1
UKN05,411884,406571,376577,12831,2280,361057,386,23,13717,13,128,16136,15767,369,652,2425,1637,27,207,365,0
95AA,53428,52326,49959,2773,552,46523,109,2,626,0,14,1727,1671,56,205,597,172,4,16,108,0
95BB,78078,77065,75192,3184,806,71048,154,0,782,0,31,1060,967,93,175,451,248,10,33,96,0
95CC,59340,58720,54727,1739,326,52579,80,3,1802,4,18,2169,2078,91,75,249,201,1,34,60,0
95DD,64044,63264,60467,1790,599,58007,71,0,509,2,13,2273,2228,45,139,357,167,6,20,91,0
95EE,31224,31042,30307,991,261,29012,43,0,268,0,13,454,432,22,26,59,61,2,8,26,0
95FF,48339,47781,46397,1630,369,44322,72,4,620,0,19,745,702,43,133,193,148,9,16,59,0
95GG,280962,271094,257120,8674,2233,245839,360,14,5422,6,72,8474,8001,473,1699,5885,1499,41,211,533,0
95HH,39114,38489,37622,1665,519,35363,73,2,332,0,19,516,470,46,160,250,138,3,15,58,1
95II,67242,65448,63467,2063,609,60679,107,9,956,1,12,1012,918,94,307,1065,280,9,39,94,0
95JJ,59067,58058,55643,2481,676,52377,107,2,978,0,20,1417,1363,54,165,504,221,7,21,91,0
95KK,37013,36658,35002,926,198,33844,30,4,429,0,9,1218,1188,30,73,128,119,0,16,19,0
95LL,93023,91398,85208,2773,629,81682,116,8,1103,0,59,5028,4921,107,277,987,177,10,84,90,0
95MM,107877,106183,100330,3680,963,95583,99,5,4455,4,53,1341,1275,66,176,952,434,21,23,87,1
95NN,69731,68776,66582,3065,503,62894,115,5,1097,1,43,1053,996,57,175,343,295,5,23,114,0
95OO,57852,56443,50540,1433,247,48818,41,1,1313,1,24,4565,4506,59,159,952,176,3,67,52,0
95PP,61805,61105,55298,2901,422,51917,57,1,4116,1,15,1675,1640,35,106,319,203,10,9,53,0
95QQ,32180,31883,31338,1217,452,29623,45,1,249,0,11,285,265,20,63,101,82,3,7,40,1
95RR,33536,33207,32322,1147,316,30806,53,0,547,0,3,335,313,22,33,134,124,0,10,28,0
95SS,120165,118000,114031,5105,1125,107566,230,5,1689,4,48,2228,2090,138,429,980,476,11,61,208,0
95TT,45038,44657,42997,944,237,41784,29,3,516,2,5,1137,1118,19,40,128,148,6,14,45,0
95UU,17050,16882,16438,695,247,15455,39,2,263,1,17,163,148,15,29,66,53,2,1,17,0
95VV,99480,98251,90006,3400,513,85981,104,8,4346,3,27,3869,3761,108,144,431,501,5,51,97,0
95WW,85139,83350,81199,2614,634,77820,123,8,853,4,37,1257,1157,100,271,1072,261,5,40,139,1
95XX,78937,77045,74490,5271,1238,67755,217,9,1196,1,60,1298,1204,94,441,761,433,17,37,203,0
95YY,51356,50737,48007,1488,337,46134,45,3,1195,2,30,1503,1476,27,55,218,289,2,16,39,0
95ZZ,39843,39587,36988,1068,444,35442,33,1,2171,2,21,405,402,3,26,111,93,2,3,21,0
