GeographyCode,QS404NI0001,QS404NI0002,QS404NI0003,QS404NI0004,QS404NI0005,QS404NI0006,QS404NI0007
N92000002,174624,127085,570,20139,8309,9595,8926
BHSCT,36174,23772,91,5859,3206,1590,1656
NHSCT,45967,34325,156,4828,1679,2579,2400
SEHSCT,35574,26991,132,3537,1536,1811,1567
SHSCT,31433,23601,104,3040,865,2003,1820
WHSCT,25476,18396,87,2875,1023,1612,1483
BELB,28312,17679,63,4924,2876,1413,1357
NEELB,42812,31819,142,4618,1613,2391,2229
SEELB,43436,33084,160,4472,1866,1988,1866
SELB,34588,26107,118,3250,931,2191,1991
WELB,25476,18396,87,2875,1023,1612,1483
UKN01,28312,17679,63,4924,2876,1413,1357
UKN02,40838,30997,152,4541,1998,1534,1616
UKN03,43141,31877,134,4518,1519,2712,2381
UKN04,26328,18553,107,3365,1132,1734,1437
UKN05,36005,27979,114,2791,784,2202,2135
95AA,4464,3380,19,487,108,217,253
95BB,8659,6441,22,975,367,461,393
95CC,5572,4362,13,489,100,291,317
95DD,6817,5098,15,657,255,393,399
95EE,3007,2188,9,344,67,207,192
95FF,4393,3253,7,467,107,244,315
95GG,28312,17679,63,4924,2876,1413,1357
95HH,4136,2955,12,511,302,179,177
95II,7862,6093,28,935,330,177,299
95JJ,6480,4733,35,734,234,411,333
95KK,3155,2506,14,210,66,188,171
95LL,8411,5885,35,1050,364,616,461
95MM,8421,5550,35,1324,604,525,383
95NN,6764,5136,23,543,178,498,386
95OO,4827,3761,10,385,92,296,283
95PP,6068,4715,17,426,172,355,383
95QQ,3633,2684,13,339,140,283,174
95RR,2760,2021,12,323,67,189,148
95SS,10712,7941,32,1394,472,371,502
95TT,3652,2830,10,284,77,219,232
95UU,1934,1416,4,186,55,156,117
95VV,8230,6340,39,649,202,556,444
95WW,8689,6535,25,1076,375,326,352
95XX,9439,7473,55,625,519,481,286
95YY,4501,3465,11,348,75,297,305
95ZZ,3726,2645,12,454,105,246,264
